framework,nameProject,total,add,modify,delete,tipoDistinct,java,javaDistinct,properties,jar,jarDistinct,build.gradle,buildDistinct,pom.xml,pomDistinct,manifest.xml,manifestDistinct,xml,xmlDistinct,bat,batDistinct,md,adoc,read,yaml,yamlDistinct,txt,txtDistinct,sh,shDistinct,travisyml,yml,ymlDistinct,cmd,cmdDistinct,kt,ktDistinct,json,jsonDistinct,other
Android,RxRecyclerView,223,69,143,11,12,116,28,4,1,1,17,3,0,0,5,2,34,17,1,1,22,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
Android,Skycons,365,126,198,41,12,188,50,7,3,2,10,6,0,0,12,3,92,36,4,2,22,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
Android,SettingView,106,92,13,1,11,27,15,2,2,2,0,0,0,0,2,2,27,27,0,0,2,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,44
Android,Bluetooth-LE-Library---Android,682,210,420,52,20,311,124,6,15,11,23,3,0,0,17,4,171,78,1,1,17,0,17,0,0,2,2,0,0,0,1,1,0,0,0,0,0,0,135
Android,Practice,289,137,137,15,12,103,50,2,1,1,20,5,0,0,25,3,112,51,1,1,9,0,9,0,0,0,0,0,0,0,0,0,0,0,13,10,0,0,28
Android,LikeView,164,70,85,9,15,40,14,4,1,1,23,3,0,0,2,2,51,22,1,1,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
Android,ListOfThings,299,129,159,11,14,158,74,3,1,1,15,4,0,0,7,2,74,34,1,1,23,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
Android,android-percent-support-extend,400,226,47,127,17,66,39,8,3,2,13,7,0,0,12,7,180,103,1,1,13,0,13,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,111
Android,JavaWebsocketClient,469,164,227,78,16,260,113,18,21,16,44,7,0,0,10,7,26,18,1,1,21,0,21,0,0,8,3,8,8,8,5,2,0,0,0,0,0,0,57
Android,wwmmo,24711,8499,11457,4755,60,9064,1914,405,560,323,168,13,0,0,255,11,2045,811,5,3,22,0,22,60,9,98,52,89,49,0,0,0,0,0,0,0,13,5,12182
Android,AppStarter,131,126,5,0,12,25,25,2,1,1,2,2,0,0,1,1,37,37,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
Android,mosby,3857,1190,2345,322,21,2267,750,84,5,2,286,28,0,0,95,23,499,218,2,1,66,0,66,0,0,0,0,22,7,48,15,4,0,0,114,62,5,5,492
Android,AndroidStudyCode,203,71,111,21,9,72,24,0,0,0,9,1,0,0,12,1,69,22,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
Android,SpannableTextView,56,43,13,0,7,11,6,0,0,0,4,3,0,0,2,2,11,11,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
Android,ADBKeyBoard,102,51,25,26,18,7,4,3,7,4,4,2,0,0,3,2,8,7,1,1,19,0,19,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,52
Android,ExoMedia,2218,330,1705,183,11,1438,176,10,9,2,212,3,0,0,14,2,228,68,2,1,88,0,88,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,211
Android,android-PlacesAutocompleteTextView,308,117,182,9,14,142,59,18,1,1,30,3,0,0,3,2,41,20,1,1,29,0,29,0,0,1,1,2,2,9,0,0,0,0,0,0,0,0,43
