framework,projeto,caminho,minSdkVersion,targetSdkVersion,,api level,min,target,,,,,,,,,,,,
Android,mkch/android-wifi-connecter,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/mkch/android-wifi-connecter/app/build.gradle,3,14,,,,,,,,,,,,,,,,
Android,benniaobuguai/android-dynamic-action,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/benniaobuguai/android-dynamic-action/dynamicaction/build.gradle,8,17,,11,12,0,,,,,,,,,,,,
Android,aliyun/alicloud-android-demo,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/aliyun/alicloud-android-demo/feedback_android_demo/build.gradle,9,17,,14,70,1,,,,,,,,,,,,
Android,wrapp-archive/floatlabelededittext,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/wrapp-archive/floatlabelededittext/example/build.gradle,7,19,,15,35,0,,,,,,,,,,,,
Android,wrapp-archive/floatlabelededittext,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/wrapp-archive/floatlabelededittext/library/build.gradle,7,19,,16,24,0,,,,,,,,,,,,
Android,arturogutierrez/Badges,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/arturogutierrez/Badges/badges/build.gradle,8,19,,19,17,16,,,,,,,,,,,,
Android,manmal/hn-android,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/manmal/hn-android/app/build.gradle,8,19,,21,83,13,,,,,,,,,,,,
Android,arturogutierrez/Badges,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/arturogutierrez/Badges/sample/build.gradle,9,19,,22,0,23,,,,,,,,,,,,
Android,aliyun/alicloud-android-demo,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/aliyun/alicloud-android-demo/man_android_demo/build.gradle,10,19,,23,30,58,,,,,,,,,,,,
Android,aliyun/alicloud-android-demo,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/aliyun/alicloud-android-demo/httpdns_android_demo/build.gradle,11,19,,24,0,21,,,,,,,,,,,,
Android,aporter/coursera-android,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/aporter/coursera-android/Examples2018/ContentProviderWithCursorLoader/ContentProviderWithSimpleCursorAdapter/app/build.gradle,14,19,,25,0,19,,,,,,,,,,,,
Android,flavienlaurent/singleinputform,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/flavienlaurent/singleinputform/app/build.gradle,14,19,,26,4,124,,,,,,,,,,,,
Android,MiEcosystem/NewXmPluginSDK,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/MiEcosystem/NewXmPluginSDK/common_ui/build.gradle,14,19,,27,1,18,,,,,,,,,,,,
Android,MiEcosystem/NewXmPluginSDK,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/MiEcosystem/NewXmPluginSDK/pluglib/build.gradle,14,19,,28,0,35,,,,,,,,,,,,
Android,MiEcosystem/NewXmPluginSDK,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/MiEcosystem/NewXmPluginSDK/plugProject/BleMeshDemo/build.gradle,14,19,,,,,,,,,,,,,,,,
Android,MiEcosystem/NewXmPluginSDK,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/MiEcosystem/NewXmPluginSDK/plugProject/EmptyDemo/build.gradle,14,19,,,,,,,,,,,,,,,,
Android,MiEcosystem/NewXmPluginSDK,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/MiEcosystem/NewXmPluginSDK/plugProject/PluginDemo/build.gradle,14,19,,,22,12,70,35,24,17,83,0,30,0,0,4,1,0
Android,MiEcosystem/NewXmPluginSDK,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/MiEcosystem/NewXmPluginSDK/plugProject/SpecDemo/build.gradle,14,19,,,0,0,1,0,0,16,13,23,58,21,19,124,18,35
Android,MiEcosystem/NewXmPluginSDK,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/MiEcosystem/NewXmPluginSDK/plugProject/xiaomi_bledemov2/build.gradle,14,19,,,,,,,,,,,,,,,,
Android,codesoup/android-cubic-bezier-interpolator,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/codesoup/android-cubic-bezier-interpolator/cubic-bezier/build.gradle,15,20,,,,,,,,,,,,,,,,
Android,eowise/recyclerview-stickyheaders,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/eowise/recyclerview-stickyheaders/samples/build.gradle,7,21,,,,,,,,,,,,,,,,
Android,47deg/appsly-android-rest,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/47deg/appsly-android-rest/android-rest-example/build.gradle,9,21,,,,,,,,,,,,,,,,
