framework,projeto,caminho,versao,,vesoes,repeticoes,,,
Spring,joshlong/boot-examples,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/joshlong/boot-examples/pom.xml,1.0.0.RELEASE,,1.0.0.RELEASE,1,,1.X.X,90
Spring,liaokailin/springcloud,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/liaokailin/springcloud/pom.xml,1.2.3.RELEASE,,1.2.3.RELEASE,1,,2.0.X,16
Spring,tonyboxes/netty-chat,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/tonyboxes/netty-chat/pom.xml,1.3.3.RELEASE,,1.3.3.RELEASE,1,,2.1.X,32
Spring,spring-projects/spring-security-oauth,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/spring-projects/spring-security-oauth/tests/xml/pom.xml,1.3.5.RELEASE,,1.3.5.RELEASE,1,,,
Spring,Coding/WebIDE-Backend,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/Coding/WebIDE-Backend/pom.xml,1.4.0.RELEASE,,1.4.0.RELEASE,30,,,
Spring,roncoo/spring-boot-demo,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/roncoo/spring-boot-demo/spring-boot-demo-02-1/pom.xml,1.4.0.RELEASE,,1.4.1.RELEASE,4,,,
Spring,roncoo/spring-boot-demo,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/roncoo/spring-boot-demo/spring-boot-demo-03-1/pom.xml,1.4.0.RELEASE,,1.4.2.RELEASE,2,,,
Spring,roncoo/spring-boot-demo,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/roncoo/spring-boot-demo/spring-boot-demo-03-2/pom.xml,1.4.0.RELEASE,,1.5.1.RELEASE,1,,,
Spring,roncoo/spring-boot-demo,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/roncoo/spring-boot-demo/spring-boot-demo-04-1/pom.xml,1.4.0.RELEASE,,1.5.10.RELEASE,2,,,
Spring,roncoo/spring-boot-demo,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/roncoo/spring-boot-demo/spring-boot-demo-04-2/pom.xml,1.4.0.RELEASE,,1.5.13.RELEASE,1,,,
Spring,roncoo/spring-boot-demo,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/roncoo/spring-boot-demo/spring-boot-demo-05-1/pom.xml,1.4.0.RELEASE,,1.5.17.RELEASE,2,,,
Spring,roncoo/spring-boot-demo,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/roncoo/spring-boot-demo/spring-boot-demo-05-2/pom.xml,1.4.0.RELEASE,,1.5.2.RELEASE,12,,,
Spring,roncoo/spring-boot-demo,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/roncoo/spring-boot-demo/spring-boot-demo-06-1/pom.xml,1.4.0.RELEASE,,1.5.3.RELEASE,1,,,
Spring,roncoo/spring-boot-demo,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/roncoo/spring-boot-demo/spring-boot-demo-07-1/pom.xml,1.4.0.RELEASE,,1.5.6.RELEASE,1,,,
Spring,roncoo/spring-boot-demo,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/roncoo/spring-boot-demo/spring-boot-demo-08-1/pom.xml,1.4.0.RELEASE,,1.5.7.RELEASE,8,,,
Spring,roncoo/spring-boot-demo,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/roncoo/spring-boot-demo/spring-boot-demo-09-1/pom.xml,1.4.0.RELEASE,,1.5.8.RELEASE,5,,,
Spring,roncoo/spring-boot-demo,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/roncoo/spring-boot-demo/spring-boot-demo-10-1/pom.xml,1.4.0.RELEASE,,1.5.9.RELEASE,17,,,
Spring,roncoo/spring-boot-demo,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/roncoo/spring-boot-demo/spring-boot-demo-11-1/pom.xml,1.4.0.RELEASE,,2.0.0.RELEASE,2,,,
Spring,roncoo/spring-boot-demo,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/roncoo/spring-boot-demo/spring-boot-demo-12-1/pom.xml,1.4.0.RELEASE,,2.0.2.RELEASE,3,,,
Spring,roncoo/spring-boot-demo,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/roncoo/spring-boot-demo/spring-boot-demo-13-1/pom.xml,1.4.0.RELEASE,,2.0.3.RELEASE,3,,,
Spring,roncoo/spring-boot-demo,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/roncoo/spring-boot-demo/spring-boot-demo-14-1/pom.xml,1.4.0.RELEASE,,2.0.4.RELEASE,3,,,
Spring,roncoo/spring-boot-demo,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/roncoo/spring-boot-demo/spring-boot-demo-15-1/pom.xml,1.4.0.RELEASE,,2.0.5.RELEASE,4,,,
Spring,roncoo/spring-boot-demo,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/roncoo/spring-boot-demo/spring-boot-demo-16-1/pom.xml,1.4.0.RELEASE,,2.0.6.RELEASE,1,,,
Spring,roncoo/spring-boot-demo,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/roncoo/spring-boot-demo/spring-boot-demo-17-1/pom.xml,1.4.0.RELEASE,,2.1.1.RELEASE,3,,,
Spring,roncoo/spring-boot-demo,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/roncoo/spring-boot-demo/spring-boot-demo-18-1/pom.xml,1.4.0.RELEASE,,2.1.2.RELEASE,3,,,
Spring,roncoo/spring-boot-demo,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/roncoo/spring-boot-demo/spring-boot-demo-19-1/pom.xml,1.4.0.RELEASE,,2.1.3.RELEASE,4,,,
Spring,roncoo/spring-boot-demo,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/roncoo/spring-boot-demo/spring-boot-demo-20-1/pom.xml,1.4.0.RELEASE,,2.1.5.RELEASE,2,,,
Spring,roncoo/spring-boot-demo,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/roncoo/spring-boot-demo/spring-boot-demo-21-1/pom.xml,1.4.0.RELEASE,,2.1.6.RELEASE,3,,,
Spring,roncoo/spring-boot-demo,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/roncoo/spring-boot-demo/spring-boot-demo-22-1/pom.xml,1.4.0.RELEASE,,2.2.0.RELEASE,1,,,
Spring,roncoo/spring-boot-demo,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/roncoo/spring-boot-demo/spring-boot-demo-23-1/pom.xml,1.4.0.RELEASE,,,,,,
