framework,projeto,arquivo,minSdkVersion/version,targetSdk/groupId,compileSdk/artifactId
Android,exallium/RxRecyclerView,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/exallium/RxRecyclerView/build.gradle,information not found,information not found,information not found
Android,exallium/RxRecyclerView,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/exallium/RxRecyclerView/lib/build.gradle,14,22,22
Android,exallium/RxRecyclerView,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/exallium/RxRecyclerView/app/build.gradle,19,22,22
Android,torryharris/Skycons,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/torryharris/Skycons/Skycons/build.gradle,information not found,information not found,information not found
Android,torryharris/Skycons,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/torryharris/Skycons/Skycons/SkyconDemo/build.gradle,14,25,25
Android,torryharris/Skycons,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/torryharris/Skycons/Skycons/SkyconsLibrary/build.gradle,14,25,25
Android,alt236/Bluetooth-LE-Library---Android,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/alt236/Bluetooth-LE-Library---Android/build.gradle,information not found,information not found,information not found
Android,alt236/Bluetooth-LE-Library---Android,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/alt236/Bluetooth-LE-Library---Android/sample_app/build.gradle,,,rootProject.compileSdkVersion
Android,alt236/Bluetooth-LE-Library---Android,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/alt236/Bluetooth-LE-Library---Android/library/build.gradle,,,rootProject.compileSdkVersion
Android,yazhidev/Practice,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/yazhidev/Practice/build.gradle,information not found,information not found,information not found
Android,yazhidev/Practice,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/yazhidev/Practice/app/build.gradle,15,25,25
Android,qkxyjren/LikeView,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/qkxyjren/LikeView/build.gradle,information not found,information not found,information not found
Android,qkxyjren/LikeView,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/qkxyjren/LikeView/lib/build.gradle,14,26,26
Android,qkxyjren/LikeView,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/qkxyjren/LikeView/app/build.gradle,14,26,27
Android,toddway/ListOfThings,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/toddway/ListOfThings/build.gradle,information not found,information not found,information not found
Android,toddway/ListOfThings,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/toddway/ListOfThings/core/build.gradle,information not found,information not found,information not found
Android,toddway/ListOfThings,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/toddway/ListOfThings/app/build.gradle,21,23,24
Android,toddway/ListOfThings,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/toddway/ListOfThings/data/build.gradle,21,23,23
Android,hongyangAndroid/android-percent-support-extend,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/hongyangAndroid/android-percent-support-extend/build.gradle,information not found,information not found,information not found
Android,hongyangAndroid/android-percent-support-extend,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/hongyangAndroid/android-percent-support-extend/percent-support-extends-sample/build.gradle,7,22,22
