framework,projeto,stars,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,?,numberOfJavaFiles,Lifetime,commits,stars
Spring,naturalprogrammer/spring-lemon,344,126,126,130,119,1131,171,768,144,0,0,0,0,163,45,126,653,0,687,574,216,619,0,27,28,90,474,0,12090,2798,7489,3946,3245,1875,0,0,0,3799,4634,3074,1560,0,0,0,0,0,179,178,190,137,0,0,47,0,0,0,3,2889,750,749,767,674,149,1534,499,344
Spring,binarywang/weixin-java-miniapp-demo,334,13,13,13,8,91,8,71,11,0,0,0,0,10,4,3,26,0,26,14,15,18,0,0,2,0,16,0,561,88,386,213,166,89,0,0,0,203,250,166,84,0,0,0,0,0,19,19,19,12,0,0,7,0,0,0,1,235,45,45,45,30,9,749,42,334
Spring,system-sekkei/isolating-the-domain,272,103,103,104,103,414,15,374,18,0,0,0,0,108,17,4,499,0,527,486,193,503,0,122,9,0,372,0,4453,859,3139,1815,868,455,0,0,0,1555,2158,1507,651,0,0,0,0,0,133,133,136,112,0,0,24,0,0,0,100,1708,553,553,558,523,137,1492,789,272
Spring,ysrc/Liudao,270,43,42,47,24,224,7,185,27,0,0,0,0,35,6,22,146,0,143,143,61,149,0,5,8,0,136,0,2198,372,1437,615,696,392,0,0,0,736,1002,552,450,0,0,0,0,0,64,61,75,34,0,0,24,0,0,0,0,646,253,250,307,190,25,1061,12,270
Spring,shzlw/poli,269,63,63,66,56,550,20,503,17,0,0,0,0,73,22,68,377,0,377,341,120,363,0,0,23,2,338,0,4977,761,4124,1958,2119,95,0,0,0,2230,2789,1607,1182,0,0,0,0,0,110,110,122,84,0,0,36,0,0,0,0,122,505,505,528,421,54,219,145,269
Spring,cwenao/springboot_cwenao,257,52,52,54,46,330,38,229,53,0,0,0,0,56,19,5,145,0,163,143,56,162,0,18,4,3,137,0,2797,522,1420,848,396,861,0,0,0,777,1022,710,312,0,0,0,0,0,63,63,67,53,0,0,12,0,0,0,19,2027,185,185,193,156,55,885,25,257
Spring,jhipster/jhipster,257,103,103,105,94,780,20,572,155,0,0,0,0,194,31,98,920,0,922,775,323,806,0,12,40,43,711,0,12409,1849,7368,3548,3718,3213,0,0,0,4274,5400,2948,2452,0,0,0,0,0,178,178,185,116,0,0,47,0,0,0,88,3621,1084,1084,1104,952,108,934,1169,257
Spring,whyalwaysmea/Spring-Security,256,78,78,78,65,432,38,340,53,0,0,0,0,75,1,3,173,0,181,184,106,185,0,10,6,12,157,0,2994,566,1784,1120,506,657,0,0,0,992,1277,943,334,0,0,0,0,0,94,94,95,67,0,0,25,0,0,0,10,2650,212,212,213,178,72,473,22,256
Spring,sofastack/sofa-registry,239,710,708,768,536,5275,293,3987,797,0,0,0,0,709,172,426,3544,0,3935,3647,1465,3819,0,458,264,53,3044,0,66468,8741,36026,16730,16739,21854,0,0,0,18485,24773,14082,10691,0,0,0,0,0,1520,1503,1708,864,0,0,659,0,0,0,613,26293,5713,5693,6071,4041,583,102,9,239
Spring,pkainulainen/gradle-examples,236,26,26,26,26,104,6,98,0,0,0,0,0,27,7,10,41,0,41,34,11,41,0,0,1,0,40,0,586,125,383,256,83,78,0,0,0,194,262,214,48,0,0,0,0,0,26,26,26,26,0,0,0,0,0,0,0,707,41,41,41,41,26,1860,34,236
Spring,eclipse/hono,232,554,552,566,509,5439,169,3177,1794,0,0,0,0,612,500,881,6364,0,6569,4081,973,4581,0,328,735,646,2872,0,98971,12124,52115,22752,28265,34842,0,0,0,27730,34598,18548,16050,0,0,0,0,0,1252,1210,1367,753,0,0,467,0,0,0,501,25899,8531,8447,8794,6760,538,1242,3132,232
Spring,spring-guides/gs-uploading-files,223,14,14,15,14,67,3,63,0,0,0,0,0,16,2,0,49,0,61,54,12,56,0,13,0,0,43,0,645,137,482,278,142,29,0,0,0,238,312,224,88,0,0,0,0,0,19,19,20,18,0,0,4,0,0,0,0,108,62,62,64,53,16,2263,212,223
Spring,joshlong/boot-examples,219,15,15,15,14,60,2,56,0,0,0,0,0,41,6,8,111,0,114,108,41,114,0,30,1,9,74,0,1244,249,920,569,239,77,0,0,0,450,622,450,172,0,0,0,0,0,23,23,23,16,0,0,9,0,0,0,0,115,126,126,127,113,14,2026,52,219
Spring,bitkylin/ClusterDeviceControlPlatform,216,419,389,445,338,2066,30,1769,215,0,0,0,0,378,115,263,1528,0,1551,1381,782,1496,0,96,147,50,1203,0,20022,2941,13201,6318,5767,3885,0,0,0,7606,10023,5837,4186,0,0,0,0,0,762,661,867,473,0,0,183,0,0,0,67,8406,2268,2146,2430,1717,369,862,143,216
Spring,cloudfoundry/java-buildpack-auto-reconfiguration,215,24,24,24,21,128,10,116,1,0,0,0,0,22,30,8,112,0,114,74,13,104,0,19,27,0,58,0,1401,279,775,393,298,350,0,0,0,392,534,337,197,0,0,0,0,0,32,32,33,22,0,0,7,0,0,0,6,1189,130,130,131,118,22,3005,318,215
Spring,aws-samples/amazon-ecs-java-microservices,214,146,146,157,124,610,11,508,77,0,0,0,0,166,11,17,566,0,584,567,198,578,0,18,5,44,511,0,10533,1547,4872,3054,1079,4116,0,0,0,2371,3232,2381,851,0,0,0,0,0,225,225,247,159,0,0,79,0,0,0,192,6190,689,689,711,601,177,756,58,214
Spring,nosqlcoco/springboot-weapp-demo,200,53,53,56,40,379,12,301,65,0,0,0,0,44,6,21,90,0,99,93,84,99,0,9,2,2,86,0,2180,275,1565,895,617,349,0,0,0,933,1146,746,400,0,0,0,0,0,88,88,99,60,0,0,31,0,0,0,2,911,172,172,187,133,38,992,31,200
Spring,1ssqq1lxr/iot_push,198,100,94,103,72,494,6,433,39,0,0,0,0,112,58,64,434,0,481,346,185,404,0,54,45,36,269,0,6555,1091,4482,2262,2361,1048,0,0,0,2214,2886,1687,1199,0,0,0,0,0,216,187,232,101,0,0,78,0,0,0,10,2611,731,683,759,489,87,566,181,198
Spring,Coding/WebIDE-Backend,186,135,135,138,118,692,66,585,13,0,0,0,0,170,50,29,690,0,781,716,394,766,0,114,90,10,552,0,12811,3044,8568,4158,4007,1288,0,0,0,4659,6029,3295,2734,0,0,0,0,0,259,256,287,169,0,0,89,0,0,0,25,3859,1167,1161,1232,803,144,1024,62,186
Spring,nonocast/todolist,184,76,76,84,51,336,23,309,1,0,0,0,0,60,3,17,303,0,311,313,130,316,0,24,3,6,283,0,3014,583,2418,1358,780,28,0,0,0,1254,1681,1084,597,0,0,0,0,0,101,101,112,61,0,0,36,0,0,0,0,52,386,386,397,326,48,1106,127,184
