framework,projeto,data_do_commit,hoje,Lifetime,commits,stars
Spring,qiurunze123/miaosha,2018-09-14 12:34:02,2019-07-04 18:53:45.743336,293,205,6856
Spring,alibaba/nacos,2018-07-21 00:27:23,2019-07-04 18:53:45.743336,348,1462,6667
Spring,Activiti/Activiti,2010-06-18 12:33:58,2019-07-04 18:53:45.743336,3303,7791,5287
Spring,abel533/Mapper,2014-11-20 10:44:09,2019-07-04 18:53:45.743336,1687,698,4005
Spring,spring-projects/spring-security-oauth,2010-07-08 23:28:19,2019-07-04 18:53:45.743336,3282,1280,3585
Spring,apache/dubbo-admin,2018-01-11 13:30:18,2019-07-04 18:53:45.743336,539,47,1677
Spring,roncoo/spring-boot-demo,2016-08-22 10:54:02,2019-07-04 18:53:45.743336,1046,155,1511
Spring,rubenlagus/TelegramBots,2016-01-14 01:14:53,2019-07-04 18:53:45.743336,1267,642,1421
Spring,yu199195/myth,2017-12-01 14:30:08,2019-07-04 18:53:45.743336,580,96,1344
Spring,spring-cloud/spring-cloud-sleuth,2015-03-06 15:51:47,2019-07-04 18:53:45.743336,1581,2224,1073
Spring,dearbinge/dubbo-spring-boot-mybatis-redis,2016-04-05 17:22:35,2019-07-04 18:53:45.743336,1185,6,788
Spring,JThink/SkyEye,2017-02-27 14:58:00,2019-07-04 18:53:45.743336,857,202,663
Spring,mattia-battiston/clean-architecture-example,2016-03-10 15:34:36,2019-07-04 18:53:45.743336,1211,125,631
Spring,OysterQAQ/Pixiv-Illustration-Collection,2018-10-06 15:54:40,2019-07-04 18:53:45.743336,271,50,629
Spring,wyh-spring-ecosystem-student/spring-boot-student,2017-05-24 16:38:38,2019-07-04 18:53:45.743336,771,395,628
Spring,souyunku/SpringBootExamples,2017-10-30 10:44:43,2019-07-04 18:53:45.743336,612,86,618
Spring,sanshengshui/netty-learning-example,2018-09-18 13:46:33,2019-07-04 18:53:45.743336,289,201,570
Spring,ngbdf/redis-manager,2018-05-18 14:43:10,2019-07-04 18:53:45.743336,412,271,564
Spring,sofastack/sofa-tracer,2018-05-16 00:23:57,2019-07-04 18:53:45.743336,414,178,561
Spring,jhipster/jhipster-registry,2016-02-05 16:19:37,2019-07-04 18:53:45.743336,1245,864,505
Spring,dangdangdotcom/config-toolkit,2014-10-21 17:29:23,2019-07-04 18:53:45.743336,1717,238,488
Spring,didi/tinyid,2018-09-26 21:05:08,2019-07-04 18:53:45.743336,280,16,470
Spring,spring-projects/spring-xd,2013-04-10 08:31:45,2019-07-04 18:53:45.743336,2276,2768,466
Spring,DSpace/DSpace,2002-05-03 20:19:46,2019-07-04 18:53:45.743336,6270,10788,452
