framework,projeto,stars,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,?,numberOfJavaFiles,Lifetime,commits,stars
Spring,qiurunze123/miaosha,6856,274,274,280,229,1624,45,1266,283,0,0,0,0,295,156,197,1064,0,1192,1090,810,1246,0,135,48,37,1026,0,16845,2744,10804,5796,4393,3462,0,0,0,6028,7762,4842,2920,0,0,0,0,0,372,372,403,284,0,0,117,0,0,0,375,4203,1511,1511,1573,1195,282,293,205,6856
Spring,alibaba/nacos,6667,667,666,726,448,4145,315,3392,311,0,0,0,0,740,640,910,3529,0,3692,3074,1264,3714,0,237,273,14,3190,0,65464,9919,40573,15901,22230,15086,0,0,0,21304,28904,14207,14697,0,0,0,0,0,1684,1669,1884,890,0,0,552,0,0,0,368,18295,6968,6947,7426,4435,461,348,1462,6667
Spring,Activiti/Activiti,5287,3056,3043,3409,1974,20552,2258,16502,1260,0,0,0,0,2463,543,1449,13956,0,16480,15801,4058,16344,0,2379,405,1502,12058,0,244571,44503,154948,60763,83907,45477,0,0,0,87878,114814,55599,59215,0,0,0,0,0,6029,5977,6867,2568,0,0,2082,0,0,0,829,78464,23812,23696,25506,15007,2212,3303,7791,5287
Spring,abel533/Mapper,4005,315,314,334,232,2421,78,1942,352,0,0,0,0,423,129,69,1837,0,1908,1795,545,1924,0,88,50,115,1671,0,32823,3930,18696,8406,9656,11150,0,0,0,9546,12968,6696,6272,0,0,0,0,0,604,601,661,308,0,0,233,0,0,0,394,14275,2691,2686,2850,1976,349,1687,698,4005
Spring,spring-projects/spring-security-oauth,3585,898,896,941,624,5699,307,4766,537,0,0,0,0,1171,179,323,4213,0,4460,4299,1275,4478,0,308,293,398,3479,0,71603,10599,45183,22529,20445,16390,0,0,0,24214,31650,19021,12629,0,0,0,0,0,1811,1809,1927,930,0,0,539,0,0,0,472,26769,6430,6426,6677,4643,761,3282,1280,3585
Spring,apache/dubbo-admin,1677,131,130,145,97,668,14,627,16,0,0,0,0,113,88,109,748,0,822,735,241,823,0,85,57,4,677,0,10903,1604,7327,3277,3579,2029,0,0,0,3890,5372,2946,2426,0,0,0,0,0,278,263,326,152,0,0,92,0,0,0,19,3970,1334,1316,1512,895,99,539,47,1677
Spring,roncoo/spring-boot-demo,1511,476,476,476,437,2895,147,2104,641,0,0,0,0,497,145,131,1868,0,2096,1951,448,2096,0,228,39,104,1725,0,22695,4287,14448,8033,4681,4134,0,0,0,7767,10379,6700,3679,0,0,0,0,0,565,565,571,479,0,0,92,0,0,0,39,8180,2156,2156,2162,2011,451,1046,155,1511
Spring,rubenlagus/TelegramBots,1421,291,279,294,261,1333,17,1237,47,0,0,0,0,429,124,1058,3114,0,3206,3020,1064,3144,0,91,102,33,2918,0,31591,4782,22975,10237,10366,4618,0,0,0,10619,14907,8422,6485,0,0,0,0,0,834,798,1041,500,0,0,261,0,0,0,68,6611,4091,4055,4343,3408,292,1267,642,1421
Spring,yu199195/myth,1344,240,238,253,203,1942,70,1285,549,0,0,0,0,270,72,132,723,0,809,694,443,766,0,124,72,2,568,0,18894,2685,8676,5078,3101,7542,0,0,0,4889,6125,4177,1948,0,0,0,0,0,372,369,395,239,0,0,139,0,0,0,303,13439,1026,1022,1065,787,261,580,96,1344
Spring,spring-cloud/spring-cloud-sleuth,1073,343,343,352,312,1821,41,1690,35,0,0,0,0,740,140,224,3209,0,3317,2759,970,2899,0,640,293,60,1906,0,43428,7418,28217,14910,10958,7935,0,0,0,13070,17290,10749,6541,0,0,0,0,0,608,606,650,400,0,0,214,0,0,0,139,12947,3908,3907,3982,3343,335,1581,2224,1073
Spring,dearbinge/dubbo-spring-boot-mybatis-redis,788,18,18,18,15,139,1,108,31,0,0,0,0,18,14,14,65,0,71,59,30,73,0,6,3,0,64,0,1026,126,542,287,202,364,0,0,0,306,409,264,145,0,0,0,0,0,28,28,28,15,0,0,12,0,0,0,6,257,94,94,94,67,18,1185,6,788
Spring,JThink/SkyEye,663,294,291,306,198,1705,61,1421,181,0,0,0,0,267,71,338,1207,0,1217,1177,531,1248,0,39,89,3,1117,0,16853,2514,10803,5223,4672,3538,0,0,0,5887,7878,4646,3232,0,0,0,0,0,593,589,632,263,0,0,202,0,0,0,47,7577,1834,1826,1885,1294,223,857,202,663
Spring,mattia-battiston/clean-architecture-example,631,55,55,55,53,253,14,227,0,0,0,0,0,73,1,48,301,0,313,309,104,310,0,14,116,12,168,0,3243,793,2426,1332,927,27,0,0,0,1391,1792,1158,634,0,0,0,0,0,70,70,72,55,0,0,16,0,0,0,0,47,329,329,331,303,70,1211,125,631
Spring,OysterQAQ/Pixiv-Illustration-Collection,629,22,22,22,15,133,1,128,4,0,0,0,0,29,3,64,107,0,107,67,71,70,0,0,15,0,55,0,1504,159,1274,672,664,123,0,0,0,723,861,564,297,0,0,0,0,0,37,37,39,17,0,0,13,0,0,0,0,117,165,164,178,109,26,271,50,629
Spring,wyh-spring-ecosystem-student/spring-boot-student,628,386,385,393,315,2722,179,2001,518,0,0,0,0,393,122,169,1556,0,1710,1524,593,1646,0,170,100,9,1367,0,23816,4263,14601,7782,5883,5366,0,0,0,8110,10490,6577,3913,0,0,0,0,0,586,585,612,370,0,0,195,0,0,0,44,8927,2110,2109,2167,1671,358,771,395,628
Spring,souyunku/SpringBootExamples,618,124,124,130,97,836,144,565,125,0,0,0,0,114,82,39,496,0,552,445,143,527,0,30,10,0,487,0,8071,1668,4312,2331,1662,2137,0,0,0,2378,3137,1967,1170,0,0,0,0,0,186,186,201,102,0,0,46,0,0,0,23,3888,656,656,684,504,110,612,86,618
Spring,sanshengshui/netty-learning-example,570,171,168,175,147,1084,68,927,68,0,0,0,0,173,28,65,376,0,420,362,211,390,0,42,28,37,283,0,6197,1173,4493,2558,1671,533,0,0,0,2585,3270,2188,1082,0,0,0,0,0,259,245,271,170,0,0,81,0,0,0,14,2007,547,533,566,404,169,289,201,570
Spring,ngbdf/redis-manager,564,148,143,156,95,801,12,717,54,0,0,0,0,128,113,87,889,0,963,851,291,964,0,58,42,26,838,0,11435,1558,8849,4175,4304,1046,0,0,0,4665,6326,3624,2702,0,0,0,0,0,313,305,358,149,0,0,139,0,0,0,13,1764,1490,1467,1571,987,109,412,271,564
Spring,sofastack/sofa-tracer,561,516,515,553,394,3803,154,3071,481,0,0,0,0,505,262,423,2331,0,2469,2223,715,2485,0,175,176,140,1994,0,42586,4953,23484,11001,11537,14209,0,0,0,12601,16664,9186,7478,0,0,0,0,0,969,969,1054,572,0,0,338,0,0,0,380,20660,3611,3603,3804,2599,426,414,178,561
Spring,jhipster/jhipster-registry,505,86,86,89,73,551,20,466,42,0,0,0,0,82,13,34,310,0,316,283,122,296,0,15,34,3,244,0,4778,836,3531,1849,1522,447,0,0,0,2025,2505,1572,933,0,0,0,0,0,145,145,154,95,0,0,52,0,0,0,22,804,420,420,439,337,82,1245,864,505
Spring,dangdangdotcom/config-toolkit,488,84,84,85,57,438,23,391,13,0,0,0,0,71,16,34,207,0,222,205,63,221,0,17,18,16,170,0,3517,625,2186,1048,946,708,0,0,0,1160,1595,970,625,0,0,0,0,0,124,124,133,73,0,0,62,0,0,0,19,2034,354,351,366,231,62,1717,238,488
Spring,didi/tinyid,470,49,49,53,35,230,5,223,1,0,0,0,0,40,11,26,138,0,145,136,59,147,0,9,14,3,121,0,1793,303,1289,636,528,203,0,0,0,693,953,585,368,0,0,0,0,0,84,84,91,47,0,0,33,0,0,0,11,703,220,220,235,158,37,280,16,470
