ecosystem,group,nameProject,forks,diskUsage_KB,stargazers,watchers,issues,commits,pullRequests,updatedAt,numberofFilesJava,CountDeclFunction,CountDeclInstanceMethod,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,RelativeMethodPublic,RelativeLineCode,CyclomaticPerMethod,RelativeLineComment,Commit,Contributor,Lifetime,LifetimePerCommit,LifetimePerCont,BC,relativeBC,NBC,relativeNBC,total
Spring,TOP,gs-rest-service,1262,908,672,97,47,325,39,2018-11-14T22:21:00Z,4,7.0,6.0,7.0,0.0,0.0,0.0,7.0,105.0,21.0,69.0,46.0,14.0,15.0,50.0,7.0,7.0,7.0,1.0,0.66,1.0,0.14,298,17,2033,6.0,119.0,298,14.3,1788,85.7,2086
Spring,TOP,tut-spring-boot-oauth2,404,169,466,53,66,76,26,2018-11-19T11:05:03Z,16,57.0,45.0,54.0,0.0,5.0,6.0,43.0,970.0,122.0,578.0,403.0,128.0,276.0,429.0,58.0,58.0,58.0,0.8,0.6,1.07,0.28,76,12,1087,14.0,90.0,456,37.5,760,62.5,1216
Spring,TOP,gs-spring-boot,635,477,351,55,27,174,29,2018-11-14T20:21:18Z,6,9.0,6.0,8.0,0.0,0.0,0.0,8.0,157.0,38.0,119.0,85.0,23.0,1.0,3.0,11.0,11.0,11.0,1.0,0.76,1.38,0.01,169,14,1924,11.0,137.0,0,0.0,169,100.0,169
Spring,TOP,gs-spring-boot-docker,480,435,305,48,35,119,27,2018-11-14T06:48:21Z,3,4.0,2.0,4.0,0.0,0.0,0.0,4.0,83.0,15.0,53.0,42.0,6.0,16.0,57.0,4.0,4.0,4.0,1.0,0.64,1.0,0.19,117,15,1315,11.0,87.0,0,0.0,0,0.0,0
Spring,TOP,tut-rest,163,350,222,34,47,63,18,2018-11-11T04:59:01Z,37,82.0,58.0,62.0,49.0,0.0,0.0,13.0,977.0,230.0,711.0,431.0,210.0,36.0,64.0,87.0,87.0,87.0,0.21,0.73,1.4,0.04,61,9,1636,26.0,181.0,0,0.0,183,100.0,183
Spring,TOP,gs-messaging-stomp-websocket,240,5742,203,38,27,128,20,2018-11-09T08:11:00Z,6,20.0,19.0,20.0,0.0,0.0,0.0,20.0,225.0,51.0,174.0,96.0,52.0,2.0,8.0,24.0,24.0,24.0,1.0,0.77,1.2,0.01,123,14,1911,15.0,136.0,738,42.9,984,57.1,1722
Spring,TOP,gs-uploading-files,239,466,196,31,34,201,18,2018-11-18T06:28:15Z,16,61.0,54.0,56.0,13.0,0.0,0.0,43.0,645.0,137.0,482.0,278.0,142.0,29.0,108.0,62.0,62.0,64.0,0.77,0.75,1.11,0.04,194,13,2022,10.0,155.0,1746,47.4,1940,52.6,3686
Spring,TOP,getting-started-guides,93,381,141,39,54,95,21,2018-11-19T15:19:09Z,3,3.0,2.0,3.0,0.0,0.0,0.0,3.0,72.0,12.0,45.0,35.0,4.0,15.0,60.0,3.0,3.0,3.0,1.0,0.63,1.0,0.21,95,5,1834,19.0,366.0,0,0.0,0,0.0,0
Spring,TOP,gs-serving-web-content,289,367,140,40,12,164,14,2018-11-19T15:00:41Z,5,5.0,4.0,5.0,0.0,0.0,0.0,5.0,86.0,17.0,53.0,36.0,9.0,16.0,52.0,5.0,5.0,5.0,1.0,0.62,1.0,0.19,159,9,1938,12.0,215.0,0,0.0,0,0.0,0
Spring,TOP,gs-securing-web,199,667,112,33,19,217,18,2018-11-13T08:10:40Z,6,11.0,9.0,11.0,0.0,0.0,1.0,10.0,169.0,30.0,139.0,83.0,44.0,0.0,0.0,11.0,11.0,11.0,0.91,0.82,1.0,0.0,201,14,1996,9.0,142.0,2613,65.0,1407,35.0,4020
Spring,TOP,gs-accessing-data-jpa,162,385,95,36,12,186,21,2018-11-04T16:42:16Z,4,13.0,9.0,10.0,1.0,0.0,1.0,8.0,164.0,34.0,106.0,57.0,39.0,24.0,84.0,13.0,13.0,13.0,0.8,0.65,1.3,0.15,177,14,1944,10.0,138.0,1239,50.0,1239,50.0,2478
Spring,TOP,gs-maven,281,141,86,38,10,131,15,2018-11-16T05:21:05Z,5,5.0,3.0,5.0,0.0,0.0,0.0,5.0,51.0,11.0,40.0,24.0,10.0,0.0,0.0,5.0,5.0,5.0,1.0,0.78,1.0,0.0,124,12,2026,16.0,168.0,0,0.0,0,0.0,0
Spring,TOP,gs-messaging-rabbitmq,105,416,82,31,8,177,9,2018-11-07T02:24:25Z,5,12.0,10.0,12.0,5.0,0.0,0.0,7.0,162.0,36.0,111.0,75.0,24.0,15.0,62.0,12.0,12.0,12.0,0.58,0.69,1.0,0.09,175,11,2014,11.0,183.0,525,42.9,700,57.1,1225
Spring,TOP,gs-gradle,199,340,77,33,9,133,15,2018-11-10T00:05:15Z,5,8.0,6.0,8.0,0.0,1.0,0.0,7.0,75.0,17.0,58.0,34.0,16.0,0.0,0.0,8.0,8.0,8.0,0.88,0.77,1.0,0.0,126,11,2026,16.0,184.0,0,0.0,0,0.0,0
Spring,TOP,gs-accessing-data-rest,126,373,73,26,13,97,6,2018-11-11T11:50:07Z,4,14.0,13.0,14.0,1.0,0.0,0.0,13.0,201.0,48.0,138.0,80.0,53.0,15.0,16.0,13.0,13.0,13.0,0.93,0.69,0.93,0.07,96,6,1715,17.0,285.0,288,75.0,96,25.0,384
Spring,TOP,gs-multi-module,47,203,71,28,8,34,3,2018-11-11T13:56:00Z,5,9.0,8.0,9.0,0.0,0.0,0.0,9.0,119.0,30.0,86.0,62.0,9.0,3.0,25.0,9.0,9.0,9.0,1.0,0.72,1.0,0.03,34,4,649,19.0,162.0,34,50.0,34,50.0,68
Spring,TOP,gs-batch-processing,165,448,70,29,12,192,15,2018-11-11T10:43:53Z,5,18.0,15.0,16.0,0.0,0.0,0.0,16.0,195.0,39.0,152.0,85.0,50.0,4.0,6.0,19.0,19.0,19.0,1.0,0.78,1.19,0.02,182,11,1999,10.0,181.0,3458,55.9,2730,44.1,6188
Spring,TOP,gs-consuming-rest,149,440,62,25,13,194,15,2018-11-05T01:47:38Z,4,17.0,15.0,16.0,0.0,0.0,0.0,16.0,148.0,31.0,102.0,60.0,25.0,16.0,87.0,17.0,17.0,17.0,1.0,0.69,1.06,0.11,183,14,2028,11.0,144.0,366,11.8,2745,88.2,3111
Spring,TOP,gs-accessing-data-mongodb,89,383,58,28,12,178,10,2018-09-17T15:49:11Z,4,11.0,10.0,11.0,0.0,0.0,0.0,11.0,164.0,47.0,99.0,57.0,32.0,18.0,47.0,11.0,11.0,11.0,1.0,0.6,1.0,0.11,169,10,1943,11.0,194.0,0,0.0,169,100.0,169
Spring,TOP,gs-producing-web-service,105,393,58,24,7,116,8,2018-09-26T15:10:24Z,5,10.0,9.0,10.0,0.0,0.0,0.0,10.0,187.0,33.0,139.0,89.0,47.0,19.0,58.0,10.0,10.0,10.0,1.0,0.74,1.0,0.1,113,8,1834,16.0,229.0,452,80.0,113,20.0,565
Spring,TOP,gs-scheduling-tasks,92,412,56,26,4,206,9,2018-11-15T19:30:21Z,3,3.0,2.0,3.0,0.0,0.0,0.0,3.0,76.0,16.0,44.0,35.0,5.0,16.0,94.0,3.0,3.0,3.0,1.0,0.58,1.0,0.21,198,11,2028,10.0,184.0,792,40.0,1188,60.0,1980
