nameProject,total,add,modify,delete,tipoDistinct,java,javaDistinct,properties,jar,jarDistinct,build.gradle,buildDistinct,pom.xml,pomDistinct,manifest.xml,manifestDistinct,xml,xmlDistinct,bat,batDistinct,md,adoc,read,yaml,yamlDistinct,txt,txtDistinct,sh,shDistinct,travisyml,yml,ymlDistinct,cmd,cmdDistinct,kt,ktDistinct,json,jsonDistinct,other
MaTriXy/RxRecyclerView,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erikthorselius/Skycons,12,0,12,0,1,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
andreasjacobsen93/Skycons-for-Xamarin.Android,90,12,3,75,11,27,27,2,1,1,3,3,0,0,2,2,26,26,1,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
iambas/Bluetooth-LE-Library---Android,21,6,15,0,6,6,5,1,1,1,3,3,0,0,1,1,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
dlage/Bluetooth-LE-Library---Android,3,0,3,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
leedsd/Bluetooth-LE-Library---Android,2,0,2,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abhishekkumardwivedi/Bluetooth-LE-Library---Android,17,3,9,5,5,0,0,1,0,0,1,1,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
joeyvanderbie/Bluetooth-LE-Library---Android,266,230,31,5,12,9,9,0,1,1,3,2,0,0,3,2,107,100,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145
Pixplicity/Bluetooth-LE-Library---Android,60,9,46,5,4,24,12,0,0,0,0,0,0,0,4,2,24,13,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
cheolhee/Bluetooth-LE-Library---Android,4,0,4,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
TylerCarberry/ListOfThings,6,0,6,0,3,1,1,2,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xiaofei-dev/android-percent-support-extend,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChinaCoolder/android-percent-support-extend,20,0,20,0,5,1,1,2,0,0,8,4,0,0,3,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
bryant1410/android-percent-support-extend,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lcf2013/android-percent-support-extend,9,1,8,0,3,0,0,0,0,0,2,2,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SemonCat/android-percent-support-extend,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HKMOpen/android-percent-support-extend,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Garzas/JavaWebsocketClient,55,24,11,20,5,26,26,1,0,0,3,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,0,0,0
rs146/JavaWebsocketClient,67,8,30,29,5,52,40,0,0,0,4,3,0,0,1,1,3,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0
MaTriXy/JavaWebsocketClient,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MrSewerPickle/wwmmo,7,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xeddmc/wwmmo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sydroid-Shi/wwmmo,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sotaof/wwmmo,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyrix/AppStarter,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
github-tongchen/mosby,772,0,382,390,14,449,408,10,0,0,28,16,0,0,9,9,143,143,0,0,4,0,4,0,0,0,0,4,4,1,2,2,0,0,0,0,5,5,127
pymetrics/mosby,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gaulazat/mosby,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gmetal/mosby,9,0,9,0,3,7,7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
MaximPestryakov/mosby,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mseroczynski/mosby,2,0,2,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
guyca/mosby,14,3,11,0,4,1,1,3,0,0,6,4,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
su3233/mosby,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
johnwilde/mosby,3,0,3,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nick252/mosby,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
atarasenko/mosby,2,0,2,0,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nikhilmaurya10/mosby,8,4,4,0,5,3,3,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Sherchen/ArchitectureTemplate,266,250,16,0,12,120,120,4,2,2,15,12,0,0,3,3,78,78,2,2,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
lenguyenthanh/mosby,3,0,3,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
maoqis/mosby,4,3,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
leonardo2204/mosby,22,11,11,0,3,17,13,0,0,0,1,1,0,0,1,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
drampelt/mosby,46,40,6,0,9,19,19,0,0,0,5,5,0,0,1,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
sswierczek/mosby,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MaTriXy/mosby,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PaulWoitaschek/mosby,15,0,15,0,1,15,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
robl2e/mosby,5,0,5,0,2,0,0,1,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heralight/mosby,35,34,1,0,8,12,12,0,0,0,1,1,0,0,1,1,11,11,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,7
NikolajLund/mosby,2,0,2,0,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050utopia/mosby,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
