framework,projeto,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,?,numberOfJavaFiles
Android,ChengangFeng/TickView,11,11,11,10,54,3,46,3,0,0,0,0,21,2,7,80,0,81,81,38,83,0,7,18,3,55,0,875,153,621,231,322,101,0,0,0,341,457,224,233,0,0,0,0,0,22,20,22,10,0,0,5,0,0,0,1,299,113,109,113,80,11
Android,DingMouRen/LayoutManagerGroup,31,30,32,24,184,2,164,8,0,0,0,0,63,2,21,219,0,227,225,160,227,0,8,29,7,183,0,3873,641,2252,1016,1162,1005,0,0,0,1350,1707,915,792,0,0,0,0,0,88,82,92,31,0,0,26,0,0,0,1,593,330,323,341,228,28
Android,ikew0ng/SwitchButton,6,6,7,4,44,1,35,5,0,0,0,0,19,2,62,36,0,36,34,45,36,0,1,10,4,21,0,1121,159,525,242,297,444,0,0,0,317,404,227,177,0,0,0,0,0,30,28,37,6,0,0,8,0,0,0,4,113,78,76,85,38,6
Android,facebook/shimmer-android,5,4,6,3,24,0,23,1,0,0,0,0,9,1,1,64,0,65,64,36,65,0,9,5,4,47,0,822,93,649,209,384,80,0,0,0,320,437,182,255,0,0,0,0,0,34,28,37,3,0,0,4,0,0,0,0,39,126,116,143,64,3
Android,aryarohit07/PicassoFaceDetectionTransformation,5,5,5,3,26,2,22,3,0,0,0,0,3,5,4,14,0,14,9,2,14,0,0,5,0,9,0,261,40,172,70,97,57,0,0,0,96,131,68,63,0,0,0,0,0,9,9,10,5,0,0,4,0,0,0,0,114,32,32,33,20,3
Android,Jasonette/JASONETTE-Android,225,223,235,68,1437,136,1173,110,0,0,0,0,163,50,29,437,0,439,389,156,439,0,6,53,18,362,0,12448,1722,9338,2752,6261,1434,0,0,0,5051,6833,2851,3982,0,0,0,0,0,540,534,609,119,0,0,160,0,0,0,2,656,1736,1724,1870,549,50
Android,DingMouRen/FallingView,7,7,7,7,38,3,32,2,0,0,0,0,11,1,14,38,0,38,37,22,38,0,0,7,3,28,0,417,69,322,145,160,29,0,0,0,192,245,146,99,0,0,0,0,0,13,10,16,7,0,0,3,0,0,0,0,166,48,45,53,38,7
Android,naman14/MaterialPowerMenu,13,13,13,12,142,19,117,1,0,0,0,0,58,12,31,142,0,161,149,80,161,0,0,22,6,133,0,2018,438,1485,523,931,99,0,0,0,876,1094,521,573,0,0,0,0,0,31,31,31,14,0,0,9,0,0,0,0,177,203,203,205,144,12
Android,vilic/cordova-plugin-tts,2,2,2,1,16,1,13,0,0,0,0,0,2,0,4,10,0,10,10,3,10,0,0,4,0,6,0,207,38,159,60,92,10,0,0,0,85,115,56,59,0,0,0,0,0,8,8,8,5,0,0,2,0,0,0,0,6,28,28,28,18,1
Android,finnfu/stepcount,9,9,10,6,39,0,36,1,0,0,0,0,16,0,1,37,0,40,40,42,40,0,1,4,4,31,0,547,71,382,151,200,96,0,0,0,221,292,147,145,0,0,0,0,0,16,16,19,8,0,0,7,0,0,0,0,386,60,60,69,39,9
