Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"FaceAdapter.java",1,1,1,1,8,0,6,2,,,,,2,0,0,5,,5,5,5,5,,0,0,0,5,,78,17,51,27,20,10,,,,30,38,23,15,,,,,,2,2,2,1,,,1,,,,0,20,6,6,6,5
File,"FaceCategroyAdapter.java",1,1,1,1,4,0,3,0,,,,,1,0,0,8,,8,8,2,8,,0,0,0,8,,78,24,46,24,15,8,,,,25,34,21,13,,,,,,2,2,2,1,,,0,,,,0,17,9,9,9,8
File,"FacePageFragment.java",1,1,1,1,10,1,8,0,,,,,4,0,2,14,,14,14,9,14,,0,0,0,14,,192,43,149,63,75,0,,,,88,109,58,51,,,,,,5,5,5,1,,,2,,,,0,00,21,21,21,14
File,"FunctionAdapter.java",1,1,1,1,6,0,6,0,,,,,2,0,0,5,,5,5,5,5,,0,0,0,5,,64,12,52,27,20,0,,,,31,39,23,16,,,,,,2,2,2,1,,,1,,,,0,00,6,6,6,5
File,"MainActivity.java",1,1,1,1,22,4,16,1,,,,,5,0,0,10,,10,10,3,10,,0,3,1,6,,204,47,149,51,100,8,,,,103,121,58,63,,,,,,6,6,6,1,,,1,,,,0,05,19,18,19,10
File,"Message.java",1,1,1,1,3,0,3,0,,,,,1,0,6,23,,23,23,11,23,,0,0,0,23,,131,29,102,45,39,2,,,,52,76,43,33,,,,,,1,1,1,1,,,0,,,,0,02,23,23,23,23
File,"MessageAdapter.java",3,2,3,1,22,3,18,0,,,,,2,1,0,10,,10,9,12,10,,0,0,0,10,,293,66,222,68,150,8,,,,142,170,62,108,,,,,,18,16,24,1,,,3,,,,0,04,30,28,37,10
File,"MessageInputToolBox.java",1,1,1,1,12,1,10,0,,,,,11,2,1,34,,34,32,18,34,,0,1,1,32,,402,80,302,81,187,20,,,,171,219,98,121,,,,,,5,5,5,1,,,2,,,,0,07,49,49,52,34
File,"OnOperationListener.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,3,3,0,3,,0,0,0,3,,13,7,6,5,0,0,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"Option.java",1,1,1,1,3,0,3,0,,,,,1,0,0,6,,6,6,2,6,,0,0,0,6,,39,10,29,12,10,0,,,,15,22,12,10,,,,,,1,1,1,1,,,0,,,,0,00,6,6,6,6
File,"PagerSlidingTabStrip.java",1,1,1,1,7,1,6,0,,,,,7,0,2,55,,56,56,30,56,,0,6,1,49,,579,143,410,141,231,26,,,,237,315,138,177,,,,,,5,5,6,1,,,4,,,,0,06,75,75,78,55
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.astuetz",1,1,1,1,7,1,6,0,,,,,7,0,2,,1,,56,30,56,,0,6,1,49,,579,143,410,141,231,26,,,,237,315,138,177,,,,,,5,5,6,1,,,4,,,,0,06,75,75,78,55
Public Class,"com.astuetz.PagerSlidingTabStrip",1,1,1,1,8,1,6,0,1,3,3,0,,0,1,,,,45,29,45,45,0,5,1,39,,533,138,384,115,231,11,,,,212,290,113,177,,,,,,5,5,6,1,,2,4,,93,84,0,03,60,60,63,45
Public Interface,"com.astuetz.PagerSlidingTabStrip.IconTabProvider",0,0,0,0,0,0,0,0,0,0,0,1,,0,0,,,,1,0,1,1,0,0,0,1,,3,0,3,2,0,0,,,,1,2,2,0,,,,,,0,0,0,0,,0,0,,0,0,0,00,0,0,0,0
Public Abstract Method,"com.astuetz.PagerSlidingTabStrip.IconTabProvider.getPageIconResId",,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,,,,,0,,0,0,,,0,00,0,0,0,0
Private Class,"com.astuetz.PagerSlidingTabStrip.PageListener",2,2,2,1,9,1,7,0,2,1,1,0,,0,0,,,,3,0,3,3,0,0,0,3,,36,9,27,7,12,0,,,,8,16,4,12,,,,,,3,3,3,1,,1,1,,0,0,0,00,7,7,7,3
Public Method,"com.astuetz.PagerSlidingTabStrip.PageListener.onPageScrollStateChanged",,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,1,8,1,4,0,3,4,1,2,5,1,4,3,3,3,1,0,,,,,0,,1,0,,,0,00,3,3,3,1
Public Method,"com.astuetz.PagerSlidingTabStrip.PageListener.onPageScrolled",,,,,,,,,,,,,,,,,,,,,,,,,,,5,13,4,9,1,6,0,7,2,0,5,7,1,6,2,2,2,1,0,,,,,0,,1,0,,,0,00,2,2,2,1
Public Method,"com.astuetz.PagerSlidingTabStrip.PageListener.onPageSelected",,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,0,5,1,2,0,1,2,0,1,3,1,2,2,2,2,1,0,,,,,0,,1,0,,,0,00,2,2,2,1
Public Constructor,"com.astuetz.PagerSlidingTabStrip.PagerSlidingTabStrip",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Constructor,"com.astuetz.PagerSlidingTabStrip.PagerSlidingTabStrip",,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Constructor,"com.astuetz.PagerSlidingTabStrip.PagerSlidingTabStrip",,,,,,,,,,,,,,,,,,,,,,,,,,,28,63,16,45,3,42,2,39,2,0,41,43,3,40,2,2,2,1,0,,,,,0,,1,0,,,0,04,2,2,2,1
Static Class,"com.astuetz.PagerSlidingTabStrip.SavedState",1,1,1,1,3,0,3,0,1,0,0,0,,0,1,,,,3,1,3,3,0,1,0,2,,30,5,25,8,12,0,,,,9,15,8,7,,,,,,1,1,1,1,,2,0,,33,33,0,00,3,3,3,3
