Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ApplicationTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,13,2,8,5,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"ApplicationTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,13,2,8,5,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"LockScreenView.java",1,1,1,1,4,0,4,0,,,,,1,0,0,5,,5,5,2,5,,0,1,0,4,,42,9,33,15,14,0,,,,20,26,14,12,,,,,,1,1,1,1,,,0,,,,0,00,5,5,5,5
File,"Lockscreen.java",1,1,1,1,5,0,5,0,,,,,1,1,3,5,,5,4,1,5,,0,2,0,3,,48,9,38,18,18,1,,,,21,29,18,11,,,,,,3,3,3,1,,,2,,,,0,03,7,7,7,5
File,"LockscreenActivity.java",1,1,1,1,8,0,7,0,,,,,3,0,2,10,,10,10,3,10,,0,3,4,3,,136,31,100,40,52,5,,,,53,70,34,36,,,,,,5,5,5,1,,,2,,,,0,05,17,16,17,10
File,"LockscreenService.java",2,2,2,1,8,0,8,0,,,,,2,0,0,10,,10,10,6,10,,0,5,0,5,,132,22,109,39,58,1,,,,51,75,35,40,,,,,,4,4,4,1,,,3,,,,0,01,23,23,23,10
File,"LockscreenUtil.java",1,1,1,1,8,0,7,0,,,,,2,1,1,8,,8,7,2,8,,0,2,0,6,,79,14,65,27,34,1,,,,33,48,28,20,,,,,,3,3,3,1,,,2,,,,0,02,14,14,14,8
File,"LockscreenViewService.java",2,2,2,1,13,0,12,0,,,,,6,0,0,22,,22,22,28,22,,0,11,0,11,,375,44,327,84,216,9,,,,175,226,90,136,,,,,,9,7,9,5,,,4,,,,0,03,51,49,56,26
File,"MainActivity.java",1,1,1,1,12,1,10,1,,,,,2,0,0,5,,5,5,2,5,,0,0,2,3,,85,16,64,28,31,5,,,,38,47,25,22,,,,,,2,2,2,1,,,1,,,,0,08,8,8,8,5
File,"PermissionActivity.java",2,2,2,1,10,1,9,0,,,,,1,0,0,2,,2,2,0,2,,0,0,2,0,,40,7,32,17,12,1,,,,15,20,13,7,,,,,,3,3,3,1,,,2,,,,0,03,4,4,4,2
File,"RemoveViewUtil.java",3,3,3,1,8,0,8,0,,,,,1,1,2,3,,3,2,0,3,,0,1,0,2,,40,7,33,10,13,0,,,,13,24,11,13,,,,,,5,5,6,1,,,3,,,,0,00,9,9,10,3
File,"SharedPreferencesUtil.java",1,1,1,1,5,0,4,0,,,,,2,5,2,9,,7,4,2,9,,0,1,0,8,,68,15,53,20,25,0,,,,25,38,19,19,,,,,,3,3,3,1,,,1,,,,0,00,14,14,16,9
