Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AbsPrinter.java",1,1,1,1,3,0,3,0,,,,,1,0,0,12,,12,12,5,12,,0,1,0,11,,90,20,61,31,18,9,,,,23,37,22,15,,,,,,2,2,2,1,,,1,,,,0,15,13,13,14,12
File,"Category.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,0,2,,2,0,0,0,,21,3,7,6,0,11,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,1,57,0,0,0,0
File,"CrashHandler.java",1,1,1,1,8,0,7,1,,,,,1,1,1,5,,5,4,1,5,,0,2,0,3,,69,13,46,19,22,10,,,,24,34,17,17,,,,,,3,3,3,1,,,2,,,,0,22,8,8,8,5
File,"CrashPrinter.java",2,2,2,1,14,1,10,2,,,,,1,2,3,7,,7,5,1,7,,0,2,1,4,,145,24,95,36,50,26,,,,44,60,32,28,,,,,,6,6,6,1,,,2,,,,0,27,15,15,16,7
File,"DebugPrinter.java",3,2,3,1,15,1,13,1,,,,,1,0,0,4,,4,4,1,4,,0,0,0,4,,94,13,68,22,39,14,,,,35,45,17,28,,,,,,11,6,11,1,,,3,,,,0,21,14,9,15,4
File,"DefaultFormatter.java",2,2,3,1,12,0,10,2,,,,,3,1,6,11,,11,10,6,11,,1,5,0,5,,226,25,152,55,79,49,,,,67,101,51,50,,,,,,9,9,10,5,,,3,,,,0,32,29,29,36,19
File,"FilePrinter.java",2,2,2,1,14,0,9,4,,,,,5,0,8,17,,19,19,10,19,,3,4,2,10,,395,42,223,89,117,130,,,,118,159,80,79,,,,,,7,7,10,4,,,2,,,,0,58,42,36,50,22
File,"FilePrinterHelper.java",6,5,7,3,40,1,24,14,,,,,1,2,0,2,,2,0,0,2,,2,0,0,0,,104,9,62,24,36,34,,,,34,46,23,23,,,,,,8,6,9,4,,,3,,,,0,55,12,10,15,7
File,"Formatter.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,30,1,4,3,0,25,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,6,25,0,0,0,0
File,"Interceptor.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,27,3,9,8,0,15,,,,5,6,6,0,,,,,,0,0,0,0,,,0,,,,1,67,0,0,0,0
File,"IssueRegistry.java",1,1,1,1,4,0,4,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,17,3,11,7,2,3,,,,5,7,5,2,,,,,,1,1,1,1,,,0,,,,0,27,1,1,1,1
File,"JSONEntity.java",0,0,0,0,0,0,0,0,,,,,1,0,3,0,,0,0,0,0,,0,0,0,0,,58,3,50,8,47,5,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,0,10,0,0,0,0
File,"JSONFormatter.java",2,2,3,1,18,0,7,11,,,,,1,0,1,2,,2,2,0,2,,0,0,1,1,,59,5,22,10,9,32,,,,10,16,9,7,,,,,,4,4,5,1,,,2,,,,1,45,5,5,6,2
File,"LintTestCase.java",1,1,1,1,7,1,5,0,,,,,1,0,0,2,,2,2,0,2,,2,0,0,0,,31,9,16,8,6,6,,,,10,13,8,5,,,,,,1,1,1,1,,,0,,,,0,38,2,2,2,2
File,"LogEngine.java",3,3,4,1,20,1,14,4,,,,,2,9,4,12,,12,3,0,12,,3,6,0,3,,300,43,201,63,121,58,,,,86,131,53,78,,,,,,22,22,27,4,,,4,,,,0,29,47,47,58,17
File,"LogRequest.java",1,1,1,1,4,0,3,0,,,,,1,0,0,19,,19,19,7,19,,2,0,0,17,,138,25,85,31,32,30,,,,37,59,29,30,,,,,,2,2,2,1,,,1,,,,0,35,21,21,21,19
File,"LogWrapper.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,195,2,4,3,0,189,,,,1,2,2,0,,,,,,0,0,0,0,,,0,,,,47,25,0,0,0,0
File,"LoggingIssueDetector.java",2,2,2,2,12,0,8,2,,,,,2,2,3,5,,5,3,0,5,,2,1,0,2,,131,15,90,41,44,26,,,,41,54,35,19,,,,,,5,5,6,5,,,3,,,,0,29,11,11,13,11
File,"LoremIpsum.java",0,0,0,0,0,0,0,0,,,,,1,0,1,0,,0,0,0,0,,0,0,0,0,,109,1,101,4,98,7,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,0,07,0,0,0,0
File,"MainActivity.java",1,1,1,1,11,1,8,1,,,,,10,0,8,37,,37,37,15,37,,13,7,1,16,,563,97,424,183,231,42,,,,233,283,152,131,,,,,,9,3,9,1,,,1,,,,0,10,53,46,57,37
File,"ObjectFormatter.java",4,4,4,1,24,2,19,3,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,45,5,26,9,14,14,,,,12,17,9,8,,,,,,4,4,4,1,,,1,,,,0,54,4,4,4,1
File,"ObjectUtil.java",8,8,10,2,45,0,32,11,,,,,1,4,3,4,,4,0,0,4,,0,3,0,1,,227,13,148,50,102,66,,,,80,108,47,61,,,,,,17,17,23,4,,,4,,,,0,45,34,34,40,10
File,"PLog.java",1,1,1,1,6,0,3,2,,,,,1,21,1,22,,22,1,0,22,,0,3,0,19,,179,27,81,31,26,71,,,,29,53,29,24,,,,,,2,2,2,1,,,1,,,,0,88,23,23,23,22
File,"PLogApplication.java",2,2,2,1,20,3,16,1,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,44,6,28,12,13,10,,,,14,17,11,6,,,,,,2,2,2,1,,,1,,,,0,36,2,2,2,1
File,"PLogConfig.java",1,1,1,1,7,0,4,2,,,,,2,3,3,29,,29,26,20,29,,0,1,0,28,,341,40,175,69,72,126,,,,94,131,62,69,,,,,,4,4,5,1,,,1,,,,0,72,35,35,36,29
File,"PrintLevel.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,22,4,12,11,0,6,,,,7,8,8,0,,,,,,0,0,0,0,,,0,,,,0,50,0,0,0,0
File,"Printer.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,5,5,0,5,,5,0,0,0,,49,7,13,12,0,29,,,,8,9,9,0,,,,,,0,0,0,0,,,0,,,,2,23,0,0,0,0
File,"SimpleCategory.java",1,1,1,1,4,0,4,0,,,,,1,1,1,5,,5,4,1,5,,0,1,0,4,,55,9,37,19,12,9,,,,15,23,13,10,,,,,,2,2,2,1,,,1,,,,0,24,7,7,7,5
File,"Singleton.java",2,2,2,1,9,0,7,1,,,,,1,1,1,2,,2,1,0,2,,0,1,0,1,,33,4,19,6,9,10,,,,7,13,6,7,,,,,,3,3,3,1,,,2,,,,0,53,4,4,4,2
File,"SoftWrapper.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,2,1,,1,0,0,0,,25,8,9,8,2,8,,,,7,8,8,0,,,,,,0,0,0,0,,,0,,,,0,89,0,0,0,0
File,"Style.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,3,3,0,3,,3,0,0,0,,32,5,10,9,0,17,,,,5,6,6,0,,,,,,0,0,0,0,,,0,,,,1,70,0,0,0,0
File,"TextViewPrinter.java",2,1,2,1,8,0,7,0,,,,,2,0,0,6,,6,6,2,6,,0,1,0,5,,81,9,64,27,30,8,,,,34,42,22,20,,,,,,7,2,7,1,,,1,,,,0,12,12,7,12,6
File,"ThrowableFormatter.java",3,3,5,1,19,0,12,7,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,40,4,19,9,8,17,,,,9,13,8,5,,,,,,3,3,5,1,,,1,,,,0,89,3,3,5,1
File,"TimingLogger.java",1,1,1,1,9,0,7,2,,,,,1,0,0,6,,6,6,4,6,,0,1,0,5,,97,12,55,23,29,30,,,,34,43,23,20,,,,,,2,2,2,1,,,1,,,,0,55,8,8,8,6
File,"User.java",1,1,2,1,6,0,6,0,,,,,2,0,0,2,,2,2,6,2,,0,0,0,2,,38,7,25,13,7,6,,,,14,19,12,7,,,,,,2,2,3,1,,,1,,,,0,24,3,3,4,2
File,"WordBreakWrapper.java",5,5,5,3,56,2,22,32,,,,,1,3,1,4,,4,1,0,4,,0,2,0,2,,256,19,97,21,62,140,,,,46,68,19,49,,,,,,14,14,14,6,,,4,,,,1,44,21,21,22,12
File,"WordLengthWrapper.java",5,5,6,1,47,7,27,15,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,64,13,33,14,20,20,,,,17,23,11,12,,,,,,5,5,6,1,,,2,,,,0,61,5,5,6,1
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"org.mym",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"org.mym.plog",1,1,1,1,8,0,5,1,,,,,14,31,6,,13,,56,16,87,,18,11,0,58,,1062,168,597,254,250,302,,,,263,393,208,185,,,,,,22,22,27,4,,,4,,,,0,51,125,120,138,79
Public Abstract Class,"org.mym.plog.AbsPrinter",1,1,1,1,3,0,3,0,2,5,5,3,,0,0,,,,12,5,12,12,0,1,0,11,,85,18,58,28,18,9,,,,20,34,19,15,,,,,,2,2,2,1,,1,1,,81,76,0,16,13,13,14,12
Public Constructor,"org.mym.plog.AbsPrinter.AbsPrinter",,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,0,4,1,2,0,3,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Constructor,"org.mym.plog.AbsPrinter.AbsPrinter",,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Private Method,"org.mym.plog.AbsPrinter.doDefaultInit",,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,0,9,3,6,3,3,2,0,3,5,2,3,2,2,2,1,1,,,,,0,,1,0,,,0,33,2,2,2,1
Public Method,"org.mym.plog.AbsPrinter.getFormatter",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"org.mym.plog.AbsPrinter.getMaxLengthPerLine",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"org.mym.plog.AbsPrinter.getSoftWrapper",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"org.mym.plog.AbsPrinter.getStyle",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"org.mym.plog.AbsPrinter.onIntercept",,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,0,4,2,1,0,2,1,0,1,2,1,1,1,1,2,1,0,,,,,0,,0,0,,,0,00,1,1,2,1
Public Method,"org.mym.plog.AbsPrinter.setFormatter",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"org.mym.plog.AbsPrinter.setInterceptor",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"org.mym.plog.AbsPrinter.setSoftWrapper",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"org.mym.plog.AbsPrinter.setStyle",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Interface,"org.mym.plog.Category",0,0,0,0,0,0,0,0,0,0,0,1,,0,0,,,,2,0,2,2,2,0,0,0,,12,1,5,4,0,6,,,,2,3,3,0,,,,,,0,0,0,0,,0,0,,0,0,1,20,0,0,0,0
Abstract Method,"org.mym.plog.Category.getName",,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,,,,,0,,0,0,,,0,00,0,0,0,0
Abstract Method,"org.mym.plog.Category.isSameAs",,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,0,1,1,0,6,1,0,0,1,1,1,0,0,0,0,0,0,,,,,0,,0,0,,,6,00,0,0,0,0
Public Class,"org.mym.plog.DebugPrinter",3,2,3,1,15,1,13,1,1,3,3,0,,0,0,,,,4,1,4,16,0,0,0,4,,84,11,60,14,39,14,,,,28,38,10,28,,,,,,11,6,11,1,,2,3,,50,25,0,23,14,9,15,4
Public Constructor,"org.mym.plog.DebugPrinter.DebugPrinter",,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Constructor,"org.mym.plog.DebugPrinter.DebugPrinter",,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,0,4,1,2,0,3,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"org.mym.plog.DebugPrinter.onIntercept",,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,0,4,2,1,1,2,1,0,1,2,1,1,1,1,2,1,0,,,,,0,,0,0,,,0,25,1,1,2,1
Public Method,"org.mym.plog.DebugPrinter.print",,,,,,,,,,,,,,,,,,,,,,,,,,,9,50,6,42,4,35,3,10,13,1,23,29,5,24,11,6,11,1,17,,,,,0,,3,0,,,0,07,11,6,11,1
Public Interface,"org.mym.plog.Formatter",0,0,0,0,0,0,0,0,0,0,0,4,,0,0,,,,1,0,1,1,1,0,0,0,,23,0,3,2,0,20,,,,1,2,2,0,,,,,,0,0,0,0,,0,0,,0,0,6,67,0,0,0,0
Abstract Method,"org.mym.plog.Formatter.format",,,,,,,,,,,,,,,,,,,,,,,,,,,2,14,0,1,1,0,13,1,0,0,1,1,1,0,0,0,0,0,0,,,,,0,,0,0,,,13,00,0,0,0,0
Public Interface,"org.mym.plog.Interceptor",0,0,0,0,0,0,0,0,0,2,2,2,,0,0,,,,1,0,1,1,1,0,0,0,,16,1,5,4,0,10,,,,1,2,2,0,,,,,,0,0,0,0,,0,0,,0,0,2,00,0,0,0,0
Abstract Method,"org.mym.plog.Interceptor.onIntercept",,,,,,,,,,,,,,,,,,,,,,,,,,,2,12,0,2,2,0,10,1,0,0,1,1,1,0,0,0,0,0,0,,,,,0,,0,0,,,5,00,0,0,0,0
Class,"org.mym.plog.LogEngine",4,4,6,1,26,2,18,5,1,11,11,0,,9,3,,,,0,0,9,9,3,6,0,0,,287,39,192,54,121,58,,,,77,122,44,78,,,,,,22,22,27,4,,1,4,,77,77,0,30,44,44,55,14
Private Static Class,"org.mym.plog.LogEngine.DefaultStyle",1,1,1,1,3,0,3,0,2,0,0,0,,0,1,,,,3,0,3,3,0,0,0,3,,22,4,18,11,4,1,,,,4,8,5,3,,,,,,1,1,1,1,,1,0,,100,100,0,06,3,3,3,3
Public Method,"org.mym.plog.LogEngine.DefaultStyle.lineHeader",,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"org.mym.plog.LogEngine.DefaultStyle.msgPrefix",,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"org.mym.plog.LogEngine.DefaultStyle.msgSuffix",,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Static Method,"org.mym.plog.LogEngine.appendPrinter",,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Private Static Method,"org.mym.plog.LogEngine.generateAutoTag",,,,,,,,,,,,,,,,,,,,,,,,,,,3,42,3,27,8,19,13,13,24,1,15,21,8,13,7,7,8,3,2,,,,,2,,2,2,,,0,48,7,7,8,3
Private Static Method,"org.mym.plog.LogEngine.generateLineInfo",,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,0,6,1,4,0,6,1,0,1,2,1,1,2,2,2,1,0,,,,,0,,0,0,,,0,00,2,2,2,1
Private Static Method,"org.mym.plog.LogEngine.generateThreadInfo",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,2,1,0,1,2,1,1,2,2,2,1,0,,,,,0,,0,0,,,0,00,2,2,2,1
Private Static Method,"org.mym.plog.LogEngine.getLogStackElement",,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,0,7,2,4,2,3,2,0,3,5,2,3,2,2,3,1,1,,,,,0,,1,0,,,0,29,2,2,3,1
Private Static Method,"org.mym.plog.LogEngine.getLogStackForDiagnosis",,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,0,3,1,1,6,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,2,00,1,1,1,1
Static Method,"org.mym.plog.LogEngine.handleLogRequest",,,,,,,,,,,,,,,,,,,,,,,,,,,9,135,20,93,16,72,22,38,6152,4,41,62,18,44,22,22,27,4,7,,,,,4,,4,2,,,0,24,22,22,27,4
Private Static Method,"org.mym.plog.LogEngine.prepareFinalTag",,,,,,,,,,,,,,,,,,,,,,,,,,,4,17,0,14,3,8,3,6,6,1,5,9,2,7,4,4,7,1,1,,,,,0,,1,0,,,0,21,4,4,7,1
Static Method,"org.mym.plog.LogEngine.setPrinters",,,,,,,,,,,,,,,,,,,,,,,,,,,4,10,0,8,1,4,2,3,3,0,2,5,1,4,3,3,4,1,0,,,,,0,,2,0,,,0,25,3,3,4,1
Public Class,"org.mym.plog.LogRequest",1,1,1,1,4,0,3,0,1,4,4,0,,0,0,,,,19,7,19,19,2,0,0,17,,134,23,83,29,32,30,,,,35,57,27,30,,,,,,2,2,2,1,,1,1,,88,87,0,36,21,21,21,19
Public Constructor,"org.mym.plog.LogRequest.LogRequest",,,,,,,,,,,,,,,,,,,,,,,,,,,16,4,0,3,1,1,1,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,33,1,1,1,1
Public Method,"org.mym.plog.LogRequest.category",,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,0,3,1,1,0,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
