Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ConfigurationSet.java",1,1,1,1,3,0,3,0,,,,,1,0,0,6,,6,6,5,6,,0,0,0,6,,42,7,30,13,10,5,,,,16,23,13,10,,,,,,1,1,1,1,,,0,,,,0,17,6,6,6,6
File,"OnZoomLevelChangedListener.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,10,1,4,3,0,5,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,1,25,0,0,0,0
File,"Tile.java",2,2,2,2,6,0,5,0,,,,,1,0,0,4,,4,4,2,4,,0,0,0,4,,40,8,31,13,15,1,,,,15,24,10,14,,,,,,5,5,6,5,,,1,,,,0,03,8,8,9,8
File,"TiledScrollView.java",1,1,1,1,7,0,6,0,,,,,5,0,0,15,,13,15,7,15,,0,2,0,13,,145,27,110,33,63,8,,,,55,74,32,42,,,,,,4,3,4,1,,,2,,,,0,07,24,20,25,15
File,"TiledScrollViewSample.java",1,1,1,1,12,2,9,1,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,20,4,15,7,7,1,,,,8,10,6,4,,,,,,1,1,1,1,,,0,,,,0,07,1,1,1,1
File,"TiledScrollViewWorker.java",2,2,2,1,15,2,12,1,,,,,4,0,4,30,,30,30,16,30,,0,7,5,18,,524,100,361,126,233,63,,,,207,272,128,144,,,,,,10,8,10,3,,,4,,,,0,17,62,60,70,34
File,"TwoDScrollView.java",3,2,3,1,17,1,11,4,,,,,1,0,2,28,,28,28,8,28,,0,4,9,15,,618,73,371,123,230,174,,,,185,263,106,157,,,,,,19,17,22,3,,,3,,,,0,47,86,79,97,42
File,"ZoomingFrameLayout.java",1,1,1,1,4,0,4,0,,,,,1,0,0,4,,4,4,0,4,,0,0,0,4,,36,7,24,11,8,5,,,,13,18,10,8,,,,,,1,1,1,1,,,0,,,,0,21,4,4,4,4
Package,"asia",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"asia.ivity",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"asia.ivity.android",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"asia.ivity.android.tiledscrollview",2,2,2,1,13,1,9,1,,,,,15,0,6,,8,,89,38,89,,1,13,14,61,,1435,227,946,329,566,262,,,,501,687,308,379,,,,,,19,17,22,5,,,4,,,,0,28,191,178,212,110
Public Class,"asia.ivity.android.tiledscrollview.ConfigurationSet",1,1,1,1,3,0,3,0,1,0,0,0,,0,0,,,,6,5,6,6,0,0,0,6,,40,6,29,12,10,5,,,,15,22,12,10,,,,,,1,1,1,1,,1,0,,66,66,0,17,6,6,6,6
Public Constructor,"asia.ivity.android.tiledscrollview.ConfigurationSet.ConfigurationSet",,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,0,7,1,5,0,6,1,0,5,6,1,5,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"asia.ivity.android.tiledscrollview.ConfigurationSet.getFilePattern",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"asia.ivity.android.tiledscrollview.ConfigurationSet.getImageHeight",,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"asia.ivity.android.tiledscrollview.ConfigurationSet.getImageWidth",,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
