Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"APWidget.java",2,2,2,1,13,1,10,2,,,,,1,0,2,5,,5,5,1,5,,0,3,0,2,,110,16,68,31,39,26,,,,48,58,30,28,,,,,,4,4,6,1,,,1,,,,0,38,10,10,12,5
File,"ClientScanResult.java",1,1,1,1,3,0,3,0,,,,,1,0,0,9,,9,9,4,9,,0,0,0,9,,64,11,38,15,13,15,,,,18,28,15,13,,,,,,1,1,1,1,,,0,,,,0,39,9,9,9,9
File,"ExampleInstrumentedTest.java",1,1,1,1,6,1,4,1,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,26,5,15,12,2,6,,,,9,11,10,1,,,,,,1,1,1,1,,,0,,,,0,40,1,1,1,1
File,"ExampleUnitTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,17,3,9,6,1,5,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,56,1,1,1,1
File,"FinishScanListener.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,0,0,0,1,,28,4,5,4,0,19,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,,3,80,0,0,0,0
File,"MainActivity.java",1,1,1,1,12,1,9,0,,,,,2,0,0,6,,6,6,2,6,,0,1,1,4,,101,18,64,20,35,19,,,,39,49,20,29,,,,,,4,2,4,1,,,1,,,,0,30,10,8,10,6
File,"WIFI_AP_STATE.java",1,1,1,1,0,0,0,0,,,,,1,0,0,2,,0,2,5,2,,0,0,0,2,,21,2,4,3,0,15,,,,1,2,2,0,,,,,,1,1,1,1,,,0,,,,3,75,2,2,2,2
File,"WifiApManager.java",2,2,2,1,19,1,13,5,,,,,3,0,0,11,,11,11,2,11,,0,0,0,11,,217,24,125,46,68,69,,,,63,89,46,43,,,,,,7,7,9,1,,,2,,,,0,55,25,25,28,11
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.whitebyte",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.whitebyte.hotspotmanagerdemo",1,1,2,1,12,1,10,1,,,,,3,0,2,,2,,11,3,11,,0,4,1,6,,211,34,132,51,74,45,,,,87,107,50,57,,,,,,4,4,6,1,,,1,,,,0,34,20,18,22,11
