Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ACT.java",1,1,1,1,4,0,4,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,13,4,9,5,1,0,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"Activity2.java",1,1,1,1,5,1,4,0,,,,,1,0,0,1,,1,1,0,1,,0,0,1,0,,18,5,13,9,2,0,,,,8,10,8,2,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"ExceptionHandler.java",5,5,7,2,24,0,24,0,,,,,2,0,0,20,,20,20,41,20,,0,0,1,19,,563,35,528,158,383,0,,,,297,413,151,262,,,,,,41,41,75,25,,,4,,,,0,00,115,113,151,55
File,"MainActivity.java",1,1,1,1,7,1,6,0,,,,,1,0,0,1,,1,1,0,1,,0,0,1,0,,20,6,14,8,4,0,,,,9,11,7,4,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"PostValuesPair.java",1,1,1,1,4,0,4,0,,,,,1,0,0,3,,3,3,2,3,,0,0,0,3,,20,4,16,6,5,0,,,,6,10,6,4,,,,,,1,1,1,1,,,0,,,,0,00,3,3,3,3
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.example",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.example.act_sample",1,1,1,1,6,1,5,0,,,,,2,0,0,,2,,2,0,2,,0,0,2,0,,38,11,27,17,6,0,,,,17,21,15,6,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
Public Class,"com.example.act_sample.Activity2",1,1,1,1,5,1,4,0,1,0,0,0,,0,0,,,,1,0,1,1,0,0,1,0,,9,2,7,3,2,0,,,,2,4,2,2,,,,,,1,1,1,1,,2,0,,0,0,0,00,1,1,1,1
Protected Method,"com.example.act_sample.Activity2.onCreate",,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,1,4,1,2,0,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
