Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AnimUtil.java",1,1,1,1,8,0,8,0,,,,,4,2,0,8,,8,6,0,8,,0,0,0,8,,86,9,68,30,32,9,,,,35,47,27,20,,,,,,2,2,2,1,,,0,,,,0,13,10,10,10,8
File,"ApplicationTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,13,2,8,5,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"ApplicationTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,13,2,8,5,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"BaseActivity.java",1,1,1,1,8,0,5,2,,,,,1,0,0,15,,15,15,2,15,,0,0,15,0,,171,22,104,36,53,45,,,,57,78,35,43,,,,,,3,3,3,1,,,1,,,,0,43,20,20,20,15
File,"BaseCardLayout.java",1,1,1,1,9,0,3,6,,,,,1,0,0,6,,6,6,0,6,,0,1,3,2,,81,9,24,11,6,48,,,,10,17,11,6,,,,,,1,1,1,1,,,0,,,,2,00,6,6,6,6
File,"BaseObjectAdapter.java",1,1,1,1,9,0,5,3,,,,,1,2,0,18,,18,16,3,18,,0,0,2,16,,222,21,124,43,61,77,,,,66,96,43,53,,,,,,4,4,4,4,,,2,,,,0,62,28,28,28,24
File,"CardFrameLayout.java",1,1,1,1,7,0,7,0,,,,,4,0,0,36,,36,36,17,36,,0,9,3,24,,366,44,305,101,177,17,,,,160,224,98,126,,,,,,7,6,7,5,,,2,,,,0,06,67,63,69,44
File,"CreativeView.java",1,1,1,1,5,0,4,0,,,,,1,0,0,5,,5,5,0,5,,0,1,3,1,,52,12,37,23,11,3,,,,21,27,19,8,,,,,,1,1,1,1,,,0,,,,0,08,5,5,5,5
File,"DramaView.java",1,1,1,1,5,0,4,0,,,,,1,0,0,5,,5,5,0,5,,0,1,3,1,,52,12,37,23,11,3,,,,21,27,19,8,,,,,,1,1,1,1,,,0,,,,0,08,5,5,5,5
File,"DrawableUtil.java",1,1,1,1,7,0,7,0,,,,,2,8,0,9,,9,1,0,9,,0,0,0,9,,90,10,72,22,37,8,,,,34,52,22,30,,,,,,6,6,6,1,,,1,,,,0,11,17,17,17,9
File,"MainActivity.java",1,1,1,1,21,0,11,9,,,,,5,0,0,13,,14,14,15,14,,4,1,3,6,,350,36,185,77,96,129,,,,125,152,73,79,,,,,,5,5,5,3,,,2,,,,0,70,21,21,21,15
