Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"CarouselPicker.java",1,1,1,1,6,0,5,0,,,,,5,0,0,24,,27,27,9,27,,3,3,1,20,,251,43,195,85,90,13,,,,105,143,73,70,,,,,,5,5,5,1,,,3,,,,0,07,35,33,35,24
File,"CustomPageTransformer.java",1,1,1,1,4,0,4,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,28,8,17,9,4,3,,,,9,13,9,4,,,,,,2,2,2,1,,,1,,,,0,18,3,3,3,2
File,"ExampleInstrumentedTest.java",1,1,1,1,6,1,4,1,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,26,5,15,12,2,6,,,,9,11,10,1,,,,,,1,1,1,1,,,0,,,,0,40,1,1,1,1
File,"ExampleInstrumentedTest.java",1,1,1,1,6,1,4,1,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,26,5,15,12,2,6,,,,9,11,10,1,,,,,,1,1,1,1,,,0,,,,0,40,1,1,1,1
File,"ExampleUnitTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,17,3,9,6,1,5,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,56,1,1,1,1
File,"ExampleUnitTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,17,3,9,6,1,5,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,56,1,1,1,1
File,"MainActivity.java",1,1,1,1,11,2,8,0,,,,,4,0,0,10,,10,10,4,10,,0,0,1,9,,104,24,80,20,55,0,,,,45,56,28,28,,,,,,1,1,1,1,,,0,,,,0,00,10,10,10,10
Package,"in",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"in.goodiebag",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"in.goodiebag.carouselpicker",1,1,1,1,5,0,5,0,,,,,8,0,0,,4,,31,10,31,,3,3,1,24,,322,59,236,112,97,27,,,,127,173,97,76,,,,,,5,5,5,1,,,3,,,,0,11,40,38,40,28
Public Class,"in.goodiebag.carouselpicker.CarouselPicker",2,1,2,1,10,0,9,0,1,1,1,0,,0,0,,,,6,2,6,6,0,2,1,3,,230,39,178,68,90,13,,,,88,126,56,70,,,,,,5,3,5,1,,2,2,,75,41,0,07,12,10,12,6
Public Constructor,"in.goodiebag.carouselpicker.CarouselPicker.CarouselPicker",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Constructor,"in.goodiebag.carouselpicker.CarouselPicker.CarouselPicker",,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,0,5,1,3,0,3,1,0,3,4,1,3,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Static Class,"in.goodiebag.carouselpicker.CarouselPicker.CarouselViewAdapter",1,1,1,1,6,0,6,0,1,2,2,0,,0,0,,,,8,4,8,8,0,1,0,7,,75,10,65,23,36,0,,,,32,46,19,27,,,,,,5,5,5,1,,2,3,,65,65,0,00,13,13,13,8
Public Constructor,"in.goodiebag.carouselpicker.CarouselPicker.CarouselViewAdapter.CarouselViewAdapter",,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,0,8,1,5,0,4,2,0,4,6,1,5,2,2,2,1,0,,,,,0,,1,0,,,0,00,2,2,2,1
Public Method,"in.goodiebag.carouselpicker.CarouselPicker.CarouselViewAdapter.destroyItem",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
