Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ApplicationTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,13,2,8,5,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"CircleIndicator.java",1,1,1,1,7,0,6,0,,,,,4,0,0,28,,24,28,23,28,,0,10,2,16,,269,28,231,89,129,10,,,,135,177,85,92,,,,,,4,4,4,4,,,1,,,,0,04,44,42,44,31
File,"MainActivity.java",1,1,1,1,5,1,4,0,,,,,2,0,0,8,,8,8,4,8,,0,1,1,6,,91,21,70,29,34,0,,,,43,53,34,19,,,,,,2,2,2,1,,,1,,,,0,00,9,9,9,8
File,"ShapeHolder.java",1,1,1,1,3,0,3,0,,,,,1,0,0,17,,17,17,6,17,,0,0,0,17,,89,18,67,30,23,5,,,,31,49,30,19,,,,,,1,1,1,1,,,0,,,,0,07,17,17,17,17
Package,"pers",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"pers.medusa",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"pers.medusa.circleindicator",1,1,1,1,3,0,3,0,,,,,1,0,0,,1,,1,0,1,,0,0,0,1,,13,2,8,5,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
Public Class,"pers.medusa.circleindicator.ApplicationTest",1,1,1,1,3,0,3,0,1,0,0,0,,0,0,,,,1,0,1,1,0,0,0,1,,7,0,4,2,1,3,,,,1,3,2,1,,,,,,1,1,1,1,,2,0,,0,0,0,75,1,1,1,1
Public Constructor,"pers.medusa.circleindicator.ApplicationTest.ApplicationTest",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Package,"pers.medusa.circleindicator.activity",1,1,1,1,5,1,4,0,,,,,2,0,0,,1,,8,4,8,,0,1,1,6,,91,21,70,29,34,0,,,,43,53,34,19,,,,,,2,2,2,1,,,1,,,,0,00,9,9,9,8
Public Class,"pers.medusa.circleindicator.activity.MainActivity",1,1,1,1,10,1,9,0,1,1,1,0,,0,0,,,,2,4,2,2,0,1,1,0,,68,16,52,11,34,0,,,,25,35,16,19,,,,,,2,2,2,1,,2,1,,50,37,0,00,3,3,3,2
Anonymous Class,"pers.medusa.circleindicator.activity.MainActivity.(Anon_1)",1,1,1,1,4,1,3,0,1,1,1,0,,0,0,,,,6,0,6,6,0,0,0,6,,39,12,27,1,21,0,,,,7,13,6,7,,,,,,1,1,1,1,,2,0,,0,0,0,00,6,6,6,6
Public Method,"pers.medusa.circleindicator.activity.MainActivity.(Anon_1).destroyItem",,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,1,4,0,3,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"pers.medusa.circleindicator.activity.MainActivity.(Anon_1).getCount",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,3,0,2,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"pers.medusa.circleindicator.activity.MainActivity.(Anon_1).getItemPosition",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,3,0,2,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"pers.medusa.circleindicator.activity.MainActivity.(Anon_1).getPageTitle",,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,1,3,0,2,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"pers.medusa.circleindicator.activity.MainActivity.(Anon_1).instantiateItem",,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,1,4,0,3,0,3,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"pers.medusa.circleindicator.activity.MainActivity.(Anon_1).isViewFromObject",,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,1,3,0,2,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Private Method,"pers.medusa.circleindicator.activity.MainActivity.initData",,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,0,9,3,6,0,4,2,0,7,9,4,5,2,2,2,1,0,,,,,0,,1,0,,,0,00,2,2,2,1
Protected Method,"pers.medusa.circleindicator.activity.MainActivity.onCreate",,,,,,,,,,,,,,,,,,,,,,,,,,,4,11,2,9,1,7,0,8,1,0,7,8,1,7,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Package,"pers.medusa.circleindicator.widget",1,1,1,1,7,0,6,0,,,,,4,0,0,,1,,28,23,28,,0,10,2,16,,269,28,231,89,129,10,,,,135,177,85,92,,,,,,4,4,4,4,,,1,,,,0,04,44,42,44,31
Public Class,"pers.medusa.circleindicator.widget.CircleIndicator",1,1,1,1,8,0,8,0,1,3,3,0,,0,0,,,,22,17,22,22,0,10,2,10,,247,24,213,71,129,10,,,,117,159,67,92,,,,,,4,4,4,4,,2,1,,88,71,0,05,36,34,36,25
Public Constructor,"pers.medusa.circleindicator.widget.CircleIndicator.CircleIndicator",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,1,2,0,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Constructor,"pers.medusa.circleindicator.widget.CircleIndicator.CircleIndicator",,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,4,1,2,0,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Constructor,"pers.medusa.circleindicator.widget.CircleIndicator.CircleIndicator",,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,0,4,1,2,0,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Enum Type,"pers.medusa.circleindicator.widget.CircleIndicator.Gravity",1,1,1,1,0,0,0,0,1,0,0,0,,0,0,,,,2,3,2,2,0,0,0,2,,5,0,5,4,0,0,,,,0,1,1,0,,,,,,1,1,1,1,,1,0,,,,0,00,2,2,2,2
Public Method,"pers.medusa.circleindicator.widget.CircleIndicator.Gravity.valueOf",,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"pers.medusa.circleindicator.widget.CircleIndicator.Gravity.values",,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Enum Type,"pers.medusa.circleindicator.widget.CircleIndicator.Mode",1,1,1,1,0,0,0,0,1,0,0,0,,0,0,,,,2,3,2,2,0,0,0,2,,5,0,5,4,0,0,,,,0,1,1,0,,,,,,1,1,1,1,,1,0,,,,0,00,2,2,2,2
Public Method,"pers.medusa.circleindicator.widget.CircleIndicator.Mode.valueOf",,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"pers.medusa.circleindicator.widget.CircleIndicator.Mode.values",,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Private Method,"pers.medusa.circleindicator.widget.CircleIndicator.createMovingItem",,,,,,,,,,,,,,,,,,,,,,,,,,,7,22,2,20,4,17,0,7,4,1,13,15,4,11,4,2,4,1,3,,,,,0,,1,0,,,0,00,4,2,4,1
Private Method,"pers.medusa.circleindicator.widget.CircleIndicator.createTabItems",,,,,,,,,,,,,,,,,,,,,,,,,,,4,12,0,12,5,9,0,8,2,0,10,12,6,6,2,2,2,1,0,,,,,0,,1,0,,,0,00,2,2,2,1
Private Method,"pers.medusa.circleindicator.widget.CircleIndicator.drawItem",,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,0,7,1,4,0,7,1,0,4,5,1,4,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Private Method,"pers.medusa.circleindicator.widget.CircleIndicator.handleTypedArray",,,,,,,,,,,,,,,,,,,,,,,,,,,9,14,0,14,4,12,0,13,2,0,11,13,4,9,2,2,2,1,1,,,,,0,,1,0,,,0,00,2,2,2,1
Private Method,"pers.medusa.circleindicator.widget.CircleIndicator.init",,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,0,4,1,2,0,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Private Method,"pers.medusa.circleindicator.widget.CircleIndicator.layoutMovingItem",,,,,,,,,,,,,,,,,,,,,,,,,,,7,15,2,13,3,9,0,9,4,1,7,10,3,7,3,3,3,1,1,,,,,0,,1,0,,,0,00,3,3,3,1
Private Method,"pers.medusa.circleindicator.widget.CircleIndicator.layoutTabItems",,,,,,,,,,,,,,,,,,,,,,,,,,,6,15,1,14,5,10,0,6,4,1,10,13,6,7,3,3,3,1,0,,,,,0,,1,0,,,0,00,3,3,3,1
Protected Method,"pers.medusa.circleindicator.widget.CircleIndicator.onDraw",,,,,,,,,,,,,,,,,,,,,,,,,,,8,18,1,17,3,13,0,7,4,1,6,10,3,7,3,3,3,1,0,,,,,0,,1,0,,,0,00,3,3,3,1
Protected Method,"pers.medusa.circleindicator.widget.CircleIndicator.onLayout",,,,,,,,,,,,,,,,,,,,,,,,,,,7,8,0,8,3,6,0,6,1,0,6,7,3,4,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"pers.medusa.circleindicator.widget.CircleIndicator.setIndicatorBackground",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"pers.medusa.circleindicator.widget.CircleIndicator.setIndicatorLayoutGravity",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
