Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"BuildConfig.java",0,0,0,0,0,0,0,0,,,,,1,0,1,0,,0,0,0,0,,0,0,0,0,,6,1,4,3,1,1,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,0,25,0,0,0,0
File,"ColorPhrase.java",1,1,1,1,9,0,6,3,,,,,5,5,1,32,,34,29,15,34,,12,11,1,10,,430,52,246,92,115,138,,,,124,183,86,97,,,,,,6,6,7,6,,,3,,,,0,56,57,57,60,40
File,"MainActivity.java",1,1,1,1,8,0,8,0,,,,,2,0,0,3,,3,3,3,3,,0,0,1,2,,43,6,36,20,14,1,,,,24,28,19,9,,,,,,1,1,1,1,,,0,,,,0,03,3,3,3,3
File,"R.java",0,0,0,0,0,0,0,0,,,,,9,0,15,0,,0,0,0,0,,0,0,0,0,,72,11,34,25,15,27,,,,16,25,25,0,,,,,,0,0,0,0,,,0,,,,0,79,0,0,0,0
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.example",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.example.colorphrase",1,1,1,1,8,0,8,0,,,,,12,0,16,,3,,3,3,3,,0,0,1,2,,121,18,74,48,30,29,,,,42,56,47,9,,,,,,1,1,1,1,,,0,,,,0,39,3,3,3,3
Public Class,"com.example.colorphrase.BuildConfig",0,0,0,0,0,0,0,0,1,0,0,0,,0,1,,,,0,0,0,0,0,0,0,0,,3,0,2,2,1,1,,,,1,2,2,0,,,,,,0,0,0,0,,1,0,,0,0,0,50,0,0,0,0
Public Class,"com.example.colorphrase.MainActivity",1,1,1,1,10,0,9,0,1,4,4,0,,0,0,,,,2,3,2,2,0,0,1,1,,30,3,26,10,14,1,,,,14,18,9,9,,,,,,1,1,1,1,,2,0,,50,50,0,04,2,2,2,2
Protected Method,"com.example.colorphrase.MainActivity.onCreate",,,,,,,,,,,,,,,,,,,,,,,,,,,6,16,1,15,3,12,0,7,1,0,9,11,4,7,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Anonymous Class,"com.example.colorphrase.MainActivity.onCreate.(Anon_1)",1,1,1,1,5,0,5,0,1,2,2,0,,0,0,,,,1,0,1,1,0,0,0,1,,8,1,7,2,6,0,,,,3,4,3,1,,,,,,1,1,1,1,,2,0,,0,0,0,00,1,1,1,1
Public Method,"com.example.colorphrase.MainActivity.onCreate.(Anon_1).onClick",,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,0,5,2,4,0,8,1,0,3,4,3,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.example.colorphrase.MainActivity.onCreateOptionsMenu",,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,0,4,1,2,1,3,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,25,1,1,1,1
Public Class,"com.example.colorphrase.R",0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,63,9,33,24,15,21,,,,15,24,24,0,,,,,,0,0,0,0,,1,0,,0,0,0,64,0,0,0,0
Public Static Class,"com.example.colorphrase.R.attr",0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,2,0,2,1,0,0,,,,0,1,1,0,,,,,,0,0,0,0,,1,0,,0,0,0,00,0,0,0,0
Public Static Class,"com.example.colorphrase.R.dimen",0,0,0,0,0,0,0,0,1,0,0,0,,0,2,,,,0,0,0,0,0,0,0,0,,10,2,4,3,2,4,,,,2,3,3,0,,,,,,0,0,0,0,,1,0,,0,0,1,00,0,0,0,0
Public Static Class,"com.example.colorphrase.R.drawable",0,0,0,0,0,0,0,0,1,0,0,0,,0,1,,,,0,0,0,0,0,0,0,0,,3,0,3,2,1,0,,,,1,2,2,0,,,,,,0,0,0,0,,1,0,,0,0,0,00,0,0,0,0
Public Static Class,"com.example.colorphrase.R.id",0,0,0,0,0,0,0,0,1,0,0,0,,0,4,,,,0,0,0,0,0,0,0,0,,6,0,6,5,4,0,,,,4,5,5,0,,,,,,0,0,0,0,,1,0,,0,0,0,00,0,0,0,0
Public Static Class,"com.example.colorphrase.R.layout",0,0,0,0,0,0,0,0,1,0,0,0,,0,1,,,,0,0,0,0,0,0,0,0,,3,0,3,2,1,0,,,,1,2,2,0,,,,,,0,0,0,0,,1,0,,0,0,0,00,0,0,0,0
Public Static Class,"com.example.colorphrase.R.menu",0,0,0,0,0,0,0,0,1,0,0,0,,0,1,,,,0,0,0,0,0,0,0,0,,3,0,3,2,1,0,,,,1,2,2,0,,,,,,0,0,0,0,,1,0,,0,0,0,00,0,0,0,0
Public Static Class,"com.example.colorphrase.R.string",0,0,0,0,0,0,0,0,1,0,0,0,,0,4,,,,0,0,0,0,0,0,0,0,,6,0,6,5,4,0,,,,4,5,5,0,,,,,,0,0,0,0,,1,0,,0,0,0,00,0,0,0,0
Public Static Class,"com.example.colorphrase.R.style",0,0,0,0,0,0,0,0,1,0,0,0,,0,2,,,,0,0,0,0,0,0,0,0,,28,7,4,3,2,17,,,,2,3,3,0,,,,,,0,0,0,0,,1,0,,0,0,4,25,0,0,0,0
Package,"com.medusa",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.medusa.lib",1,1,1,1,9,0,6,3,,,,,5,5,1,,1,,29,15,34,,12,11,1,10,,430,52,246,92,115,138,,,,124,183,86,97,,,,,,6,6,7,6,,,3,,,,0,56,57,57,60,40
Public Class,"com.medusa.lib.ColorPhrase",2,2,2,1,11,0,7,4,1,4,4,0,,5,1,,,,16,8,21,21,0,11,0,10,,416,50,234,80,115,138,,,,112,171,74,97,,,,,,6,6,7,6,,1,3,,83,60,0,59,44,44,47,29
Private Constructor,"com.medusa.lib.ColorPhrase.ColorPhrase",,,,,,,,,,,,,,,,,,,,,,,,,,,3,10,1,8,1,6,4,9,1,0,6,7,1,6,2,2,2,1,0,,,,,0,,0,0,,,0,50,2,2,2,1
Private Static Class,"com.medusa.lib.ColorPhrase.InnerToken",1,1,1,1,6,0,4,1,1,0,0,0,,0,0,,,,3,2,3,7,3,0,0,0,,30,5,20,10,8,5,,,,10,14,8,6,,,,,,1,1,1,1,,2,0,,16,16,0,25,3,3,3,3
Constructor,"com.medusa.lib.ColorPhrase.InnerToken.InnerToken",,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,0,5,1,3,0,4,1,0,3,4,1,3,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Method,"com.medusa.lib.ColorPhrase.InnerToken.expand",,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,1,6,3,4,1,4,1,0,4,5,3,2,1,1,1,1,0,,,,,0,,0,0,,,0,17,1,1,1,1
Method,"com.medusa.lib.ColorPhrase.InnerToken.getFormattedLength",,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,0,3,1,1,3,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,1,00,1,1,1,1
Private Static Class,"com.medusa.lib.ColorPhrase.LeftSeparatorToken",1,1,1,1,4,0,3,0,1,0,0,0,,0,0,,,,3,1,3,7,3,0,0,0,,21,3,16,8,5,2,,,,6,10,6,4,,,,,,1,1,1,1,,2,0,,33,33,0,12,3,3,3,3
Constructor,"com.medusa.lib.ColorPhrase.LeftSeparatorToken.LeftSeparatorToken",,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,0,4,1,2,0,3,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Method,"com.medusa.lib.ColorPhrase.LeftSeparatorToken.expand",,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,4,2,2,0,3,1,0,2,3,2,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Method,"com.medusa.lib.ColorPhrase.LeftSeparatorToken.getFormattedLength",,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,3,1,1,1,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,33,1,1,1,1
Private Static Class,"com.medusa.lib.ColorPhrase.OuterToken",1,1,1,1,4,0,4,0,1,0,0,0,,0,0,,,,3,2,3,7,3,0,0,0,,24,4,19,10,7,1,,,,9,13,8,5,,,,,,1,1,1,1,,2,0,,16,16,0,05,3,3,3,3
Constructor,"com.medusa.lib.ColorPhrase.OuterToken.OuterToken",,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,0,5,1,3,0,4,1,0,3,4,1,3,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Method,"com.medusa.lib.ColorPhrase.OuterToken.expand",,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,1,5,3,3,0,2,1,0,3,4,3,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
