Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"Adapter.java",5,3,52,1,28,1,26,0,,,,,2,0,1,6,,7,7,5,7,,0,0,0,7,,224,27,191,62,145,8,,,,108,133,56,77,,,,,,28,18,312,1,,,1,,,,0,04,33,23,317,6
File,"Adapter2.java",3,3,3,1,17,0,15,1,,,,,2,0,0,6,,7,7,5,7,,0,0,0,7,,155,21,128,67,77,11,,,,86,106,59,47,,,,,,14,14,17,1,,,1,,,,0,09,19,19,22,6
File,"AutoCheck.java",1,1,2,1,8,0,8,0,,,,,10,1,2,34,,35,34,24,35,,0,3,0,32,,463,70,349,134,187,46,,,,178,257,127,130,,,,,,8,8,12,5,,,3,,,,0,13,67,67,78,42
File,"ChartActivity.java",6,4,7,1,35,2,29,4,,,,,3,0,2,6,,6,6,10,6,,0,3,1,2,,277,51,207,59,160,28,,,,163,187,67,120,,,,,,26,16,36,1,,,2,,,,0,14,36,26,46,6
File,"ChatActivity.java",1,1,1,1,14,1,13,0,,,,,3,0,0,3,,3,3,2,3,,0,0,1,2,,66,9,54,21,30,4,,,,32,37,22,15,,,,,,2,2,2,1,,,0,,,,0,07,4,4,4,3
File,"ClearEditText.java",1,1,1,1,6,0,5,1,,,,,1,0,0,8,,8,8,1,8,,0,1,0,7,,89,17,59,26,22,15,,,,25,39,21,18,,,,,,4,4,5,1,,,3,,,,0,25,13,13,14,8
File,"CreditScoreView.java",8,8,16,1,23,1,17,3,,,,,1,0,0,16,,16,16,17,16,,0,10,1,5,,446,47,319,83,252,80,,,,259,390,86,304,,,,,,94,94,223,1,,,2,,,,0,25,131,131,260,16
File,"DensityUtils.java",1,1,1,1,6,0,5,1,,,,,1,2,0,2,,2,0,0,2,,0,0,0,2,,24,4,14,9,6,6,,,,8,11,9,2,,,,,,1,1,1,1,,,0,,,,0,43,2,2,2,2
File,"Detail.java",7,7,8,1,88,8,78,2,,,,,2,0,1,2,,2,2,0,2,,0,0,1,1,,204,24,174,66,140,7,,,,126,141,65,76,,,,,,13,13,15,1,,,2,,,,0,04,14,14,16,2
File,"Eetail.java",15,12,15,2,97,6,89,3,,,,,2,0,0,2,,2,2,0,2,,0,0,1,1,,221,19,194,69,160,9,,,,136,161,70,91,,,,,,30,23,30,3,,,0,,,,0,05,31,24,31,4
File,"EnviScoreView.java",7,7,12,1,22,1,16,3,,,,,1,0,0,16,,16,16,17,16,,0,10,1,5,,430,48,302,84,235,81,,,,242,356,87,269,,,,,,77,77,167,1,,,2,,,,0,27,114,114,204,16
File,"ExampleInstrumentedTest.java",1,1,1,1,6,1,4,1,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,26,5,15,12,2,6,,,,9,11,10,1,,,,,,1,1,1,1,,,0,,,,0,40,1,1,1,1
File,"ExampleInstrumentedTest.java",1,1,1,1,6,1,4,1,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,26,5,15,12,2,6,,,,9,11,10,1,,,,,,1,1,1,1,,,0,,,,0,40,1,1,1,1
File,"ExampleUnitTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,17,3,9,6,1,5,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,56,1,1,1,1
File,"ExampleUnitTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,17,3,9,6,1,5,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,56,1,1,1,1
File,"IAdapter.java",2,2,2,1,9,1,7,0,,,,,1,0,0,5,,5,5,3,5,,0,0,0,5,,87,22,62,31,23,4,,,,34,45,25,20,,,,,,7,7,7,1,,,1,,,,0,06,11,11,11,5
File,"InitConfig.java",1,1,1,1,3,0,3,0,,,,,1,0,0,8,,8,8,6,8,,0,1,0,7,,83,21,41,20,12,21,,,,22,31,19,12,,,,,,1,1,1,1,,,0,,,,0,51,8,8,8,8
File,"IntentService.java",1,1,1,1,2,0,2,0,,,,,1,0,0,8,,8,8,0,8,,0,0,0,8,,52,12,33,23,1,7,,,,8,17,16,1,,,,,,1,1,1,1,,,0,,,,0,21,8,8,8,8
File,"ItemGroup.java",1,1,1,1,13,0,10,3,,,,,3,0,0,10,,11,11,6,11,,1,2,0,8,,179,23,124,59,72,42,,,,88,103,59,44,,,,,,4,3,4,1,,,2,,,,0,34,15,14,15,10
File,"JSONParser.java",4,4,4,1,21,0,19,2,,,,,1,0,3,2,,2,2,0,2,,0,0,0,2,,79,9,62,33,33,8,,,,41,48,31,17,,,,,,7,7,7,1,,,2,,,,0,13,8,8,8,2
File,"LineChartManager.java",2,2,2,1,33,3,20,17,,,,,1,5,2,5,,5,0,0,5,,0,0,0,5,,198,29,117,36,88,90,,,,105,116,41,75,,,,,,4,4,4,1,,,1,,,,0,77,10,10,10,5
File,"MActivity.java",4,3,5,1,28,1,23,2,,,,,13,1,13,33,,33,32,30,33,,0,7,1,25,,926,85,760,226,561,97,,,,465,580,228,352,,,,,,27,21,32,4,,,4,,,,0,13,140,113,168,36
File,"MPermissionsActivity.java",1,1,2,1,12,0,7,4,,,,,3,0,0,11,,11,11,2,11,,0,5,0,6,,161,16,98,31,50,47,,,,40,65,35,30,,,,,,4,4,4,4,,,2,,,,0,48,21,21,22,16
File,"MainActivity.java",2,2,2,1,19,1,15,3,,,,,8,0,9,31,,31,31,15,31,,0,8,3,20,,607,56,477,175,310,86,,,,274,338,171,167,,,,,,10,10,11,1,,,5,,,,0,18,67,63,69,31
File,"MainHandlerConstant.java",0,0,0,0,0,0,0,0,,,,,1,0,4,0,,0,0,0,0,,0,0,0,0,,13,3,7,6,4,3,,,,5,6,6,0,,,,,,0,0,0,0,,,0,,,,0,43,0,0,0,0
File,"MapActivity.java",1,1,1,1,16,3,10,2,,,,,3,0,0,9,,9,9,13,9,,0,0,4,5,,209,44,145,65,76,29,,,,99,115,60,55,,,,,,3,3,3,3,,,1,,,,0,20,14,14,14,11
File,"MessageListener.java",1,1,1,1,7,0,3,3,,,,,1,0,1,10,,10,10,0,10,,0,2,1,7,,104,17,47,23,13,40,,,,14,26,16,10,,,,,,2,2,2,1,,,1,,,,0,85,11,11,11,10
File,"NActivity.java",3,2,3,1,22,1,18,2,,,,,12,1,10,27,,27,26,21,27,,0,5,1,21,,655,69,531,178,369,67,,,,315,395,177,218,,,,,,28,21,28,3,,,3,,,,0,13,87,79,91,29
File,"NotificationUtil.java",1,1,1,1,30,0,20,11,,,,,2,3,0,4,,4,1,1,4,,0,0,0,4,,134,9,81,31,56,46,,,,52,59,32,27,,,,,,3,3,3,1,,,2,,,,0,57,6,6,6,4
File,"PHPActivity.java",1,1,1,1,53,14,37,2,,,,,2,0,0,2,,2,2,12,2,,0,0,1,1,,116,31,79,32,47,8,,,,57,61,32,29,,,,,,2,2,2,1,,,1,,,,0,10,3,3,3,2
File,"PostRoute.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,19,3,10,9,0,7,,,,7,8,8,0,,,,,,0,0,0,0,,,0,,,,0,70,0,0,0,0
File,"PowerLED.java",2,2,2,1,13,0,10,5,,,,,1,0,0,4,,4,4,2,4,,0,0,0,4,,72,8,49,14,24,21,,,,23,34,14,20,,,,,,3,3,3,1,,,2,,,,0,43,10,10,10,4
File,"PrefManager.java",1,1,1,1,4,0,4,0,,,,,1,0,2,3,,3,3,4,3,,0,0,0,3,,34,6,23,13,9,5,,,,15,19,13,6,,,,,,1,1,1,1,,,0,,,,0,22,3,3,3,3
File,"PullToZoomListView.java",2,1,2,1,8,0,8,0,,,,,3,0,4,27,,27,27,18,27,,0,4,2,21,,307,32,272,81,165,4,,,,150,204,79,125,,,,,,14,9,15,10,,,4,,,,0,01,62,53,65,36
File,"PushService.java",1,1,1,1,3,0,3,0,,,,,1,0,0,5,,5,5,0,5,,0,0,0,5,,39,8,31,16,9,0,,,,14,20,11,9,,,,,,1,1,1,1,,,0,,,,0,00,5,5,5,5
File,"ShowActivity.java",1,1,1,1,14,1,11,2,,,,,4,0,1,11,,11,11,4,11,,0,2,3,6,,194,32,149,72,80,19,,,,94,114,68,46,,,,,,3,3,3,1,,,1,,,,0,13,20,18,20,11
File,"StartActivity.java",2,2,2,1,19,0,15,3,,,,,6,4,1,14,,14,10,13,14,,0,2,1,11,,277,20,208,82,136,56,,,,137,164,85,79,,,,,,4,4,4,3,,,2,,,,0,27,28,28,29,16
File,"Tel.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,17,4,10,5,2,3,,,,4,7,5,2,,,,,,1,1,1,1,,,0,,,,0,30,2,2,2,2
File,"TextChangeWatcher.java",1,1,1,1,3,1,2,0,,,,,1,0,0,3,,3,3,0,3,,0,0,0,3,,24,10,14,10,0,0,,,,3,7,7,0,,,,,,1,1,1,1,,,0,,,,0,00,3,3,3,3
File,"Tg.java",1,1,1,1,3,0,3,0,,,,,2,0,0,15,,15,15,7,15,,1,0,0,14,,123,27,58,25,16,38,,,,24,41,25,16,,,,,,1,1,1,1,,,0,,,,0,66,15,15,15,15
File,"Tl.java",1,1,1,1,3,0,3,0,,,,,1,0,0,10,,10,10,5,10,,0,0,0,10,,62,14,38,17,10,10,,,,16,27,17,10,,,,,,1,1,1,1,,,0,,,,0,26,10,10,10,10
File,"UiMessageListener.java",1,1,1,1,7,0,4,2,,,,,1,0,1,6,,6,6,1,6,,0,0,3,3,,73,12,37,17,14,24,,,,18,26,14,12,,,,,,2,2,2,1,,,1,,,,0,65,7,7,7,6
File,"User.java",1,1,1,1,3,0,3,0,,,,,1,0,0,45,,45,45,23,45,,0,0,0,45,,215,48,164,71,47,24,,,,72,118,71,47,,,,,,1,1,1,1,,,0,,,,0,15,45,45,45,45
File,"UserAdapter.java",1,1,1,1,9,0,8,0,,,,,3,0,1,6,,6,6,5,6,,0,0,0,6,,90,17,68,38,27,5,,,,41,52,36,16,,,,,,3,3,3,1,,,1,,,,0,07,9,9,9,6
File,"VoiceActivity.java",3,3,3,1,37,3,24,12,,,,,2,0,1,4,,4,4,7,4,,0,0,3,1,,144,21,96,41,54,38,,,,65,78,39,39,,,,,,9,9,9,1,,,4,,,,0,40,12,12,12,4
