Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AppUtils.java",2,2,2,1,13,0,13,0,,,,,1,7,0,7,,7,0,0,7,,0,6,0,1,,125,12,110,37,72,3,,,,42,60,35,25,,,,,,5,5,5,5,,,3,,,,0,03,16,16,18,11
File,"Constants.java",0,0,0,0,0,0,0,0,,,,,1,0,6,0,,0,0,0,0,,0,0,0,0,,14,2,9,8,6,3,,,,7,8,8,0,,,,,,0,0,0,0,,,0,,,,0,33,0,0,0,0
File,"CrashLogAdapter.java",1,1,1,1,5,0,5,0,,,,,3,0,0,8,,8,8,4,8,,2,0,0,6,,80,17,60,32,21,3,,,,35,45,30,15,,,,,,1,1,1,1,,,0,,,,0,05,8,8,8,8
File,"CrashLogFragment.java",1,1,2,1,7,0,7,0,,,,,1,0,0,6,,6,6,2,6,,0,2,0,4,,93,18,72,39,25,3,,,,45,56,36,20,,,,,,5,5,6,1,,,2,,,,0,04,11,11,12,6
File,"CrashReporter.java",1,1,1,1,4,0,4,0,,,,,1,9,3,10,,10,1,0,10,,0,2,0,8,,72,17,53,21,19,2,,,,24,38,21,17,,,,,,3,3,3,1,,,2,,,,0,04,13,13,13,10
File,"CrashReporterActivity.java",1,1,1,1,10,0,9,0,,,,,4,0,0,9,,9,9,2,9,,0,3,1,5,,112,18,92,41,48,2,,,,53,68,41,27,,,,,,3,3,3,1,,,1,,,,0,02,15,15,16,9
File,"CrashReporterException.java",1,1,1,1,7,0,3,4,,,,,1,0,1,6,,6,6,0,6,,0,0,0,6,,64,8,23,10,7,33,,,,8,15,9,6,,,,,,1,1,1,1,,,0,,,,1,43,6,6,6,6
File,"CrashReporterExceptionHandler.java",1,1,1,1,4,1,3,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,18,6,12,6,3,0,,,,5,8,5,3,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
File,"CrashReporterInitProvider.java",1,1,1,1,4,0,3,0,,,,,1,0,0,8,,8,8,0,8,,0,0,0,8,,68,14,47,23,13,7,,,,17,28,16,12,,,,,,3,3,3,1,,,1,,,,0,15,10,10,10,8
File,"CrashReporterNotInitializedException.java",1,1,1,1,7,0,3,4,,,,,1,0,1,4,,4,4,0,4,,0,0,0,4,,47,6,16,7,5,25,,,,6,11,7,4,,,,,,1,1,1,1,,,0,,,,1,56,4,4,4,4
