Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"App.java",1,1,1,1,8,1,7,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,38,9,29,16,9,0,,,,14,18,13,5,,,,,,2,2,2,1,,,1,,,,0,00,3,3,3,2
File,"AppComponent.java",0,0,0,0,0,0,0,0,,,,,2,0,0,0,,3,3,0,3,,3,0,0,0,,25,4,20,18,0,1,,,,9,11,11,0,,,,,,0,0,0,0,,,0,,,,0,05,0,0,0,0
File,"AppModule.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,0,2,,2,0,0,0,,29,7,19,14,2,3,,,,9,12,10,2,,,,,,1,1,1,1,,,0,,,,0,16,2,2,2,2
File,"BuildersModule.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,19,5,10,9,0,4,,,,6,7,7,0,,,,,,0,0,0,0,,,0,,,,0,40,0,0,0,0
File,"CommonGreetingRepository.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,9,2,7,4,1,0,,,,3,5,4,1,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"LoadCommonGreetingUseCase.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,21,6,15,10,2,0,,,,7,10,8,2,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
File,"LoadGreetingUseCase.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,7,2,5,4,0,0,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"LoadLobbyGreetingUseCase.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,1,2,,1,0,0,1,,21,6,15,10,2,0,,,,7,10,8,2,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
File,"LobbyActivity.java",1,1,1,1,6,0,5,0,,,,,1,0,0,8,,8,7,4,7,,2,4,1,0,,91,21,70,34,27,0,,,,43,52,28,24,,,,,,4,2,4,1,,,1,,,,0,00,11,9,11,8
File,"LobbyGreetingRepository.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,1,0,0,0,,9,2,7,4,1,0,,,,3,5,4,1,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"LobbyModule.java",1,1,1,1,4,0,4,0,,,,,1,0,0,2,,2,2,0,2,,2,0,0,0,,26,5,18,13,2,3,,,,7,10,8,2,,,,,,1,1,1,1,,,0,,,,0,17,2,2,2,2
File,"LobbyViewModel.java",1,1,1,1,3,0,3,0,,,,,1,0,0,9,,9,6,5,6,,4,1,1,0,,61,15,46,23,18,0,,,,21,28,20,8,,,,,,1,1,1,1,,,0,,,,0,00,9,9,9,9
