Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AndroidPermissionService.java",1,1,1,1,9,0,5,3,,,,,1,0,0,3,,3,3,0,3,,3,0,0,0,,61,8,26,13,7,27,,,,12,18,11,7,,,,,,2,2,2,1,,,1,,,,1,04,5,5,5,3
File,"AsyncExecutor.java",1,1,1,1,4,0,4,0,,,,,1,0,1,2,,2,2,1,2,,0,0,0,2,,43,7,17,9,6,19,,,,9,13,9,4,,,,,,2,2,2,1,,,1,,,,1,12,3,3,3,2
File,"BaseMultiplePermissionsListener.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,38,6,13,9,1,19,,,,6,9,8,1,,,,,,1,1,1,1,,,0,,,,1,46,2,2,2,2
File,"BasePermissionListener.java",1,1,1,1,3,0,2,0,,,,,1,0,0,3,,3,3,0,3,,0,0,0,3,,42,8,15,10,1,19,,,,6,10,9,1,,,,,,1,1,1,1,,,0,,,,1,27,3,3,3,3
File,"CompositeMultiplePermissionsListener.java",1,1,1,1,6,0,4,2,,,,,1,0,0,4,,4,4,1,4,,0,0,0,4,,64,8,27,14,6,29,,,,12,21,15,6,,,,,,2,2,2,1,,,1,,,,1,07,6,6,6,4
File,"CompositePermissionListener.java",1,1,1,1,6,0,4,1,,,,,1,0,0,5,,5,5,1,5,,0,0,0,5,,70,9,32,15,8,29,,,,13,25,17,8,,,,,,2,2,2,1,,,1,,,,0,91,8,8,8,5
File,"Dexter.java",1,1,1,1,7,0,5,1,,,,,1,5,1,15,,15,10,4,15,,3,3,0,9,,173,22,99,41,42,52,,,,48,70,37,33,,,,,,2,2,2,1,,,1,,,,0,53,21,21,21,15
File,"DexterActivity.java",2,1,2,1,9,0,9,0,,,,,1,0,0,5,,5,5,0,5,,0,1,3,1,,86,10,61,26,30,15,,,,35,45,25,20,,,,,,6,4,6,1,,,3,,,,0,25,11,9,11,5
File,"DexterBuilder.java",0,0,0,0,0,0,0,0,,,,,4,0,0,0,,8,8,0,8,,8,0,0,0,,47,11,21,17,0,15,,,,13,17,17,0,,,,,,0,0,0,0,,,0,,,,0,71,0,0,0,0
File,"DexterError.java",1,1,1,1,0,0,0,0,,,,,1,0,0,2,,0,2,2,2,,0,0,0,2,,30,3,5,4,0,22,,,,1,2,2,0,,,,,,1,1,1,1,,,0,,,,4,40,2,2,2,2
File,"DexterException.java",1,1,1,1,4,0,4,0,,,,,1,0,0,1,,1,1,1,1,,1,0,0,0,,29,5,9,5,2,15,,,,5,7,5,2,,,,,,1,1,1,1,,,0,,,,1,67,1,1,1,1
File,"DexterInstance.java",1,1,1,1,9,0,7,1,,,,,3,0,2,30,,30,30,14,30,,10,18,0,2,,374,48,263,88,139,63,,,,130,194,88,106,,,,,,6,6,6,3,,,2,,,,0,24,56,54,56,32
File,"DexterInstanceTest.java",1,1,1,1,5,0,5,0,,,,,8,3,2,34,,34,31,9,34,,1,16,0,17,,281,55,211,84,97,15,,,,106,144,81,63,,,,,,1,1,2,1,,,0,,,,0,07,34,34,35,34
File,"DexterTest.java",1,1,1,1,4,0,4,0,,,,,4,0,1,11,,11,11,7,11,,0,4,0,7,,105,17,88,47,35,0,,,,52,64,46,18,,,,,,1,1,1,1,,,0,,,,0,00,11,11,11,11
File,"DialogOnAnyDeniedMultiplePermissionsListener.java",1,1,1,1,4,0,4,0,,,,,3,1,0,15,,15,14,10,15,,0,3,0,12,,136,20,93,39,39,23,,,,50,68,39,29,,,,,,4,4,4,1,,,1,,,,0,25,19,19,19,15
File,"DialogOnDeniedPermissionListener.java",1,1,1,1,4,0,4,0,,,,,3,1,0,14,,14,13,10,14,,0,2,0,12,,129,19,87,37,37,23,,,,48,64,37,27,,,,,,4,4,4,1,,,0,,,,0,26,17,17,17,14
File,"EmptyPermissionRequestErrorListener.java",1,1,1,1,2,0,2,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,22,2,5,3,0,15,,,,1,3,3,0,,,,,,1,1,1,1,,,0,,,,3,00,1,1,1,1
File,"IntentProvider.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,26,3,8,5,1,15,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,1,88,1,1,1,1
File,"MainThread.java",1,1,1,1,3,0,3,0,,,,,1,1,0,4,,4,3,0,4,,1,1,0,2,,44,7,19,8,5,18,,,,6,12,8,4,,,,,,2,2,2,1,,,1,,,,0,95,5,5,5,4
File,"MultiplePermissionListenerThreadDecorator.java",1,1,1,1,7,0,5,2,,,,,3,0,0,5,,5,5,2,5,,1,0,0,4,,66,7,28,12,10,31,,,,12,18,12,6,,,,,,1,1,1,1,,,0,,,,1,11,5,5,5,5
File,"MultiplePermissionListenerThreadDecoratorTest.java",1,1,1,1,4,0,3,0,,,,,3,0,2,7,,7,7,4,7,,0,0,0,7,,87,22,50,30,12,15,,,,29,39,29,10,,,,,,1,1,1,1,,,0,,,,0,30,7,7,7,7
File,"MultiplePermissionsListener.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,0,2,,2,0,0,0,,47,5,10,9,0,32,,,,7,8,8,0,,,,,,0,0,0,0,,,0,,,,3,20,0,0,0,0
File,"MultiplePermissionsListenerToPermissionListenerAdapter.java",1,1,1,1,6,0,6,0,,,,,1,0,0,3,,3,3,1,3,,1,0,0,2,,57,8,30,19,11,19,,,,17,22,17,5,,,,,,2,2,2,1,,,1,,,,0,63,4,4,4,3
File,"MultiplePermissionsReport.java",1,1,1,1,5,0,4,1,,,,,1,0,0,8,,8,8,2,8,,4,0,0,4,,86,14,42,17,15,30,,,,20,32,18,14,,,,,,3,3,3,3,,,2,,,,0,71,10,10,10,10
File,"PermissionDeniedResponse.java",1,1,1,1,4,0,3,0,,,,,1,1,0,5,,5,4,2,5,,0,0,0,5,,56,9,24,12,6,23,,,,10,16,10,6,,,,,,1,1,1,1,,,0,,,,0,96,5,5,5,5
File,"PermissionGrantedResponse.java",1,1,1,1,3,0,3,0,,,,,1,1,0,4,,4,3,1,4,,0,0,0,4,,47,8,17,8,4,22,,,,7,12,8,4,,,,,,1,1,1,1,,,0,,,,1,29,4,4,4,4
File,"PermissionListener.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,3,3,0,3,,3,0,0,0,,54,6,10,9,0,38,,,,8,9,9,0,,,,,,0,0,0,0,,,0,,,,3,80,0,0,0,0
File,"PermissionRationaleToken.java",1,1,1,1,5,0,5,0,,,,,1,0,0,3,,3,3,2,3,,1,0,0,2,,41,6,20,7,8,15,,,,8,14,7,7,,,,,,2,2,2,1,,,1,,,,0,75,5,5,5,3
File,"PermissionRequest.java",1,1,1,1,4,0,3,1,,,,,1,0,0,3,,3,3,1,3,,0,0,0,3,,42,7,14,7,3,21,,,,6,10,7,3,,,,,,1,1,1,1,,,0,,,,1,50,3,3,3,3
File,"PermissionRequestErrorListener.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,27,2,4,3,0,21,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,5,25,0,0,0,0
File,"PermissionToken.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,0,2,,2,0,0,0,,34,4,5,4,0,25,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,,5,00,0,0,0,0
File,"RetryCheckPermissionOnDeniedPermissionListener.java",1,1,1,1,4,0,4,0,,,,,2,0,0,3,,4,4,2,4,,1,0,0,3,,51,8,24,15,4,19,,,,12,17,13,4,,,,,,1,1,1,1,,,0,,,,0,79,3,3,3,3
File,"SampleActivity.java",1,1,1,1,9,0,9,0,,,,,6,0,0,16,,16,16,9,16,,0,2,1,13,,201,21,162,54,95,18,,,,74,92,57,35,,,,,,4,2,4,1,,,1,,,,0,11,20,18,20,16
File,"SampleApplication.java",1,1,1,1,5,0,5,0,,,,,1,0,0,2,,2,2,0,2,,0,1,0,1,,19,4,15,6,5,0,,,,7,11,6,5,,,,,,2,2,2,1,,,1,,,,0,00,3,3,3,2
File,"SampleBackgroundThreadPermissionListener.java",1,1,1,1,5,0,5,0,,,,,4,0,0,7,,7,7,1,7,,0,0,0,7,,61,7,36,14,15,18,,,,15,23,16,7,,,,,,1,1,1,1,,,0,,,,0,50,7,7,7,7
File,"SampleErrorListener.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,11,2,9,6,1,0,,,,5,7,6,1,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"SampleMultiplePermissionListener.java",1,1,1,1,5,0,5,0,,,,,1,0,0,3,,3,3,1,3,,0,0,0,3,,49,8,26,14,6,15,,,,13,21,15,6,,,,,,3,3,3,1,,,1,,,,0,58,5,5,5,3
File,"SamplePermissionListener.java",1,1,1,1,3,0,3,0,,,,,1,0,0,4,,4,4,1,4,,0,0,0,4,,45,8,22,13,4,15,,,,11,16,12,4,,,,,,1,1,1,1,,,0,,,,0,68,4,4,4,4
File,"SnackbarOnAnyDeniedMultiplePermissionsListener.java",1,1,1,1,7,0,5,1,,,,,3,2,0,14,,14,12,12,14,,0,3,0,11,,166,19,100,44,42,47,,,,55,74,40,34,,,,,,3,3,4,1,,,1,,,,0,47,17,17,18,14
File,"SnackbarOnDeniedPermissionListener.java",1,1,1,1,8,0,5,2,,,,,3,2,0,13,,13,11,12,13,,0,2,0,11,,162,18,94,42,40,50,,,,54,71,39,32,,,,,,3,3,4,1,,,1,,,,0,53,15,15,16,13
File,"Thread.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,0,2,,2,0,0,0,,26,3,5,4,0,18,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,,3,60,0,0,0,0
File,"ThreadFactory.java",1,1,1,1,6,0,4,2,,,,,1,3,0,3,,3,0,0,3,,0,1,0,2,,47,6,17,6,6,24,,,,6,11,6,5,,,,,,2,2,2,1,,,1,,,,1,41,4,4,4,3
File,"WorkerThread.java",1,1,1,1,5,0,5,0,,,,,1,0,0,3,,3,3,2,3,,1,0,0,2,,49,7,22,9,8,20,,,,10,16,9,7,,,,,,2,2,2,1,,,1,,,,0,91,5,5,5,3
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.karumi",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.karumi.dexter",1,1,1,1,6,0,5,0,,,,,37,12,8,,20,,131,44,143,,40,40,3,60,,1708,261,977,419,403,470,,,,488,703,405,298,,,,,,6,6,6,3,,,3,,,,0,48,180,176,181,134
Class,"com.karumi.dexter.AndroidPermissionService",1,1,1,1,9,0,5,3,1,0,0,0,,0,0,,,,3,0,3,3,3,0,0,0,,36,5,19,6,7,12,,,,5,11,4,7,,,,,,2,2,2,1,,1,1,,0,0,0,63,5,5,5,3
Method,"com.karumi.dexter.AndroidPermissionService.checkSelfPermission",,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,0,3,1,1,3,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,1,00,1,1,1,1
Method,"com.karumi.dexter.AndroidPermissionService.requestPermissions",,,,,,,,,,,,,,,,,,,,,,,,,,,4,11,1,7,2,3,3,1,2,0,2,4,1,3,2,2,2,1,1,,,,,0,,1,0,,,0,43,2,2,2,1
Method,"com.karumi.dexter.AndroidPermissionService.shouldShowRequestPermissionRationale",,,,,,,,,,,,,,,,,,,,,,,,,,,6,11,1,7,2,3,3,2,2,0,2,4,1,3,2,2,2,1,1,,,,,0,,1,0,,,0,43,2,2,2,1
