Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AFeign.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,26,4,11,10,0,11,,,,7,8,8,0,,,,,,0,0,0,0,,,0,,,,1,00,0,0,0,0
File,"AFeignImpl.java",1,1,1,1,14,4,6,4,,,,,1,0,1,1,,1,1,1,1,,0,0,0,1,,48,11,22,16,5,15,,,,14,16,12,4,,,,,,1,1,1,1,,,0,,,,0,68,1,1,1,1
File,"ARestImpl.java",1,1,1,1,12,2,9,0,,,,,1,0,1,4,,4,4,2,4,,0,0,0,4,,100,22,69,39,30,10,,,,47,54,32,22,,,,,,2,2,2,1,,,1,,,,0,14,6,6,6,4
File,"AbstractDiscoveryEnabledAdapter.java",7,7,7,5,32,4,26,1,,,,,1,0,0,5,,8,8,3,8,,0,4,3,1,,214,38,162,58,92,14,,,,77,118,54,64,,,,,,11,11,11,7,,,3,,,,0,09,37,37,39,25
File,"AbstractDiscoveryEnabledStrategy.java",1,1,1,1,3,0,3,0,,,,,1,0,0,3,,3,3,3,3,,0,1,0,2,,41,10,23,16,3,8,,,,12,16,13,3,,,,,,1,1,1,1,,,0,,,,0,35,3,3,3,3
File,"AbstractDiscoveryListener.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,1,1,,0,0,0,1,,24,5,11,8,1,8,,,,6,8,7,1,,,,,,1,1,1,1,,,0,,,,0,73,1,1,1,1
File,"AbstractFeignImpl.java",3,3,3,1,19,2,17,0,,,,,1,0,0,1,,1,1,1,1,,0,0,0,1,,40,7,25,14,13,8,,,,16,20,13,7,,,,,,3,3,3,1,,,1,,,,0,32,3,3,3,1
File,"AbstractLoadBalanceListener.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,16,4,4,3,0,8,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,2,00,0,0,0,0
File,"AbstractPluginAdapter.java",1,1,1,1,3,0,3,0,,,,,1,0,0,22,,22,22,4,22,,0,0,1,21,,164,34,122,68,32,8,,,,45,71,43,28,,,,,,2,2,2,1,,,1,,,,0,07,25,25,25,22
File,"AbstractRegisterListener.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,1,1,,0,0,0,1,,24,5,11,8,1,8,,,,6,8,7,1,,,,,,1,1,1,1,,,0,,,,0,73,1,1,1,1
File,"AbstractRestImpl.java",3,3,3,1,19,2,17,0,,,,,1,0,0,1,,1,1,1,1,,0,0,0,1,,40,7,25,14,13,8,,,,16,20,13,7,,,,,,3,3,3,1,,,1,,,,0,32,3,3,3,1
File,"AbstractRestInvoker.java",2,2,2,1,14,2,11,0,,,,,1,0,1,5,,9,9,3,9,,0,0,7,2,,120,27,85,43,42,9,,,,56,71,44,27,,,,,,5,5,5,1,,,3,,,,0,11,14,14,14,5
File,"AbstractTopology.java",1,1,1,1,9,1,7,0,,,,,3,0,3,25,,25,25,7,25,,0,1,21,3,,304,71,222,99,124,11,,,,151,185,101,84,,,,,,3,3,3,1,,,1,,,,0,05,37,37,38,25
File,"AbstractWeightRandomLoadBalance.java",3,3,3,3,18,3,14,0,,,,,1,0,0,5,,5,5,1,5,,0,2,1,2,,130,25,93,39,50,12,,,,49,70,38,32,,,,,,7,7,7,7,,,3,,,,0,13,19,19,19,16
File,"AdminApplication.java",1,1,1,1,3,0,3,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,25,4,13,10,1,8,,,,6,8,7,1,,,,,,1,1,1,1,,,0,,,,0,62,1,1,1,1
File,"AdminAutoConfiguration.java",1,1,1,1,3,0,3,0,,,,,3,0,0,5,,5,5,0,5,,0,0,0,5,,59,8,43,30,5,8,,,,17,25,20,5,,,,,,1,1,1,1,,,0,,,,0,19,5,5,5,5
File,"ApolloAutoConfiguration.java",1,1,1,1,5,0,5,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,44,6,30,21,6,8,,,,16,20,16,4,,,,,,2,2,2,1,,,1,,,,0,27,3,3,3,2
File,"ApolloConfigAdapter.java",3,3,3,1,23,5,18,0,,,,,1,0,0,4,,4,4,2,4,,0,0,0,4,,133,30,95,43,58,8,,,,63,76,37,39,,,,,,4,4,4,1,,,1,,,,0,08,12,12,12,4
File,"ApolloConfigAdapter.java",2,2,2,1,12,1,10,0,,,,,2,0,1,9,,9,9,5,9,,0,3,0,6,,147,29,110,51,55,8,,,,62,79,45,34,,,,,,4,4,4,3,,,2,,,,0,07,20,20,20,11
File,"ApolloConfigAutoConfiguration.java",2,2,2,1,9,1,8,0,,,,,1,0,0,2,,2,2,2,2,,0,0,0,2,,76,12,42,29,12,22,,,,26,31,24,7,,,,,,3,3,3,1,,,1,,,,0,52,4,4,4,2
File,"ApolloConfigAutoConfiguration.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,1,1,,0,0,0,1,,51,7,22,17,3,22,,,,14,16,14,2,,,,,,1,1,1,1,,,0,,,,1,00,1,1,1,1
File,"ApolloConstant.java",0,0,0,0,0,0,0,0,,,,,1,0,2,0,,0,0,0,0,,0,0,0,0,,17,3,6,5,2,8,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,1,33,0,0,0,0
File,"ApolloConstant.java",0,0,0,0,0,0,0,0,,,,,1,0,12,0,,0,0,0,0,,0,0,0,0,,28,4,16,15,12,8,,,,14,15,15,0,,,,,,0,0,0,0,,,0,,,,0,50,0,0,0,0
File,"ApolloOperation.java",1,1,1,1,6,0,5,0,,,,,2,0,0,4,,4,4,1,4,,0,0,0,4,,46,9,29,17,10,8,,,,16,21,16,5,,,,,,1,1,1,1,,,0,,,,0,28,4,4,4,4
File,"ApolloSubscribeCallback.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,14,2,4,3,0,8,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,2,00,0,0,0,0
File,"ArrayWeightRandomLoadBalance.java",4,4,4,3,21,3,15,3,,,,,1,0,0,2,,2,2,0,2,,0,1,0,1,,65,12,40,16,21,14,,,,27,36,18,18,,,,,,5,5,5,5,,,2,,,,0,35,8,8,8,6
File,"ArrayWeightRandomLoadBalanceTest.java",5,5,5,2,31,3,26,2,,,,,1,3,0,3,,3,0,0,3,,0,1,0,2,,109,15,89,26,62,6,,,,65,81,30,51,,,,,,7,7,7,5,,,2,,,,0,07,15,15,15,7
File,"AuthenticationResource.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,16,3,5,4,0,8,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,,1,60,0,0,0,0
File,"AuthenticationResourceImpl.java",2,2,2,1,11,1,10,0,,,,,1,0,0,1,,1,1,1,1,,0,0,0,1,,34,6,20,13,7,8,,,,11,14,11,3,,,,,,2,2,2,1,,,1,,,,0,40,2,2,2,1
File,"BFeign.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,26,4,11,10,0,11,,,,7,8,8,0,,,,,,0,0,0,0,,,0,,,,1,00,0,0,0,0
File,"BFeignImpl.java",1,1,1,1,8,2,6,0,,,,,1,0,1,1,,1,1,1,1,,0,0,0,1,,38,8,22,16,5,8,,,,14,16,12,4,,,,,,1,1,1,1,,,0,,,,0,36,1,1,1,1
File,"BRestImpl.java",1,1,1,1,11,2,8,0,,,,,1,0,1,4,,4,4,2,4,,0,0,0,4,,94,21,64,39,26,10,,,,45,51,32,19,,,,,,2,2,2,1,,,1,,,,0,16,5,5,5,4
File,"BasicListener.java",1,1,1,1,3,0,3,0,,,,,1,0,0,4,,4,4,3,4,,0,0,0,4,,44,10,26,17,4,8,,,,12,17,13,4,,,,,,1,1,1,1,,,0,,,,0,31,4,4,4,4
File,"BeanRegisterUtil.java",1,1,1,1,5,0,5,0,,,,,1,3,0,3,,3,0,0,3,,0,0,0,3,,35,5,22,13,9,8,,,,14,18,13,5,,,,,,1,1,1,1,,,0,,,,0,36,3,3,3,3
File,"CFeign.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,26,4,11,10,0,11,,,,7,8,8,0,,,,,,0,0,0,0,,,0,,,,1,00,0,0,0,0
File,"CFeignImpl.java",1,1,1,1,7,2,5,0,,,,,1,0,1,1,,1,1,0,1,,0,0,0,1,,33,7,18,13,4,8,,,,11,13,10,3,,,,,,1,1,1,1,,,0,,,,0,44,1,1,1,1
File,"CRestImpl.java",1,1,1,1,9,1,7,0,,,,,1,0,1,4,,4,4,1,4,,0,0,0,4,,80,17,54,32,21,9,,,,36,42,26,16,,,,,,2,2,2,1,,,1,,,,0,17,5,5,5,4
File,"CallableWrapper.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,17,3,5,4,0,9,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,,1,80,0,0,0,0
File,"ConfigAdapter.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,4,4,0,4,,4,0,0,0,,20,5,7,6,0,8,,,,5,6,6,0,,,,,,0,0,0,0,,,0,,,,1,14,0,0,0,0
File,"ConfigAdapter.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,30,6,16,11,2,8,,,,9,12,10,2,,,,,,1,1,1,1,,,0,,,,0,50,2,2,2,2
File,"ConfigAutoConfiguration.java",1,1,1,1,5,0,5,0,,,,,2,0,0,5,,5,5,1,5,,0,0,1,4,,63,9,46,27,13,8,,,,23,31,22,9,,,,,,3,3,3,3,,,1,,,,0,17,7,7,7,7
File,"ConfigClearRestInvoker.java",1,1,1,1,3,0,3,0,,,,,1,0,0,5,,5,5,0,5,,0,0,4,1,,42,8,26,14,6,8,,,,10,16,10,6,,,,,,1,1,1,1,,,0,,,,0,31,5,5,5,5
File,"ConfigConstant.java",0,0,0,0,0,0,0,0,,,,,1,0,23,0,,0,0,0,0,,0,0,0,0,,36,2,26,25,23,8,,,,24,25,25,0,,,,,,0,0,0,0,,,0,,,,0,31,0,0,0,0
File,"ConfigContextClosedHandler.java",2,2,2,1,5,0,5,0,,,,,1,0,0,1,,1,1,1,1,,0,0,0,1,,28,5,15,10,2,8,,,,7,10,8,2,,,,,,2,2,2,1,,,1,,,,0,53,2,2,2,1
File,"ConfigEndpoint.java",1,1,2,1,9,1,7,0,,,,,1,0,0,9,,9,9,3,9,,0,3,1,5,,165,31,124,77,40,10,,,,61,78,49,29,,,,,,3,3,5,3,,,1,,,,0,08,16,16,18,13
File,"ConfigInitializer.java",4,4,5,1,27,5,21,0,,,,,1,0,1,3,,3,3,5,3,,0,2,0,1,,131,29,90,36,48,12,,,,47,62,30,32,,,,,,7,7,9,3,,,2,,,,0,13,14,14,16,5
File,"ConfigLoader.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,14,2,4,3,0,8,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,2,00,0,0,0,0
File,"ConfigUpdateRestInvoker.java",1,1,1,1,4,0,4,0,,,,,1,0,0,5,,5,5,1,5,,0,0,4,1,,54,12,34,20,10,8,,,,18,24,16,8,,,,,,1,1,1,1,,,0,,,,0,24,5,5,5,5
File,"ConsoleApplication.java",1,1,1,1,3,0,3,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,22,3,11,8,1,8,,,,5,7,6,1,,,,,,1,1,1,1,,,0,,,,0,73,1,1,1,1
File,"ConsoleApplicationContextInitializer.java",4,4,5,1,30,3,13,14,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,54,7,25,14,8,22,,,,14,19,13,6,,,,,,4,4,5,1,,,1,,,,0,88,4,4,5,1
File,"ConsoleAutoConfiguration.java",1,1,1,1,4,0,3,0,,,,,2,0,0,3,,3,3,0,3,,0,0,0,3,,49,7,34,25,5,8,,,,17,22,18,4,,,,,,1,1,1,1,,,0,,,,0,24,3,3,3,3
File,"ConsoleConstant.java",0,0,0,0,0,0,0,0,,,,,1,0,2,0,,0,0,0,0,,0,0,0,0,,15,2,5,4,2,8,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,,1,60,0,0,0,0
File,"ConsoleEndpoint.java",1,1,1,1,7,0,6,0,,,,,1,0,2,34,,34,34,4,34,,0,10,0,24,,429,72,349,203,129,8,,,,146,210,126,84,,,,,,7,7,7,7,,,5,,,,0,02,59,59,61,46
File,"ConsoleFrame.java",1,1,1,1,8,1,6,0,,,,,1,1,2,3,,3,2,0,3,,0,1,0,2,,55,12,35,19,15,8,,,,24,29,19,10,,,,,,2,2,2,1,,,1,,,,0,23,4,4,4,3
File,"ConsoleHierarchy.java",1,1,1,1,11,1,9,0,,,,,3,0,1,5,,5,5,2,5,,0,2,0,3,,111,19,84,43,39,8,,,,65,74,42,32,,,,,,2,2,2,1,,,1,,,,0,10,6,6,6,5
File,"ConsoleIconFactory.java",1,1,1,1,3,0,3,0,,,,,1,1,1,1,,1,0,0,1,,0,0,0,1,,22,5,9,6,2,8,,,,5,7,6,1,,,,,,1,1,1,1,,,0,,,,0,89,1,1,1,1
File,"ConsoleLauncher.java",1,1,1,1,10,1,8,0,,,,,2,1,0,2,,2,1,0,2,,0,0,0,2,,30,6,16,7,8,8,,,,9,12,8,4,,,,,,1,1,1,1,,,0,,,,0,50,2,2,2,2
File,"ConsoleLocale.java",1,1,1,1,3,0,3,0,,,,,1,2,1,2,,2,0,0,2,,0,0,0,2,,26,6,12,7,3,8,,,,6,9,7,2,,,,,,1,1,1,1,,,0,,,,0,67,2,2,2,2
File,"ConsoleLogin.java",1,1,1,1,12,2,10,0,,,,,2,0,2,7,,7,7,2,7,,0,0,2,5,,127,27,92,41,48,8,,,,60,71,36,35,,,,,,3,3,3,1,,,1,,,,0,09,10,10,11,7
File,"ConsoleToggleConstants.java",0,0,0,0,0,0,0,0,,,,,1,0,1,0,,0,0,0,0,,0,0,0,0,,14,2,4,3,1,8,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,2,00,0,0,0,0
File,"ConsoleToggleListener.java",1,1,1,1,6,0,5,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,31,5,18,9,6,8,,,,10,14,9,5,,,,,,2,2,2,1,,,1,,,,0,44,3,3,3,2
File,"ConsoleTogglePanel.java",1,1,1,1,6,0,5,0,,,,,1,0,1,5,,5,5,2,5,,0,0,2,3,,63,15,40,17,17,8,,,,26,33,17,16,,,,,,2,2,2,1,,,1,,,,0,20,6,6,6,5
File,"ConsoleToggleSpace.java",1,1,1,1,9,1,7,0,,,,,1,0,1,2,,2,2,2,2,,0,1,0,1,,45,11,26,14,12,8,,,,17,21,14,7,,,,,,2,2,2,1,,,1,,,,0,31,3,3,3,2
File,"ConsulAdapter.java",2,2,2,1,9,2,7,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,30,7,15,9,4,8,,,,8,11,8,3,,,,,,2,2,2,1,,,1,,,,0,53,2,2,2,1
File,"ConsulApplicationContextInitializer.java",3,3,3,3,28,5,23,0,,,,,1,0,0,1,,1,1,0,1,,0,0,1,0,,55,10,37,18,20,8,,,,28,32,17,15,,,,,,3,3,3,3,,,1,,,,0,22,3,3,3,3
File,"ConsulAutoConfiguration.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,1,1,,0,0,0,1,,51,7,24,19,3,20,,,,15,17,15,2,,,,,,1,1,1,1,,,0,,,,0,83,1,1,1,1
File,"ConsulConstant.java",0,0,0,0,0,0,0,0,,,,,1,0,1,0,,0,0,0,0,,0,0,0,0,,14,2,4,3,1,8,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,2,00,0,0,0,0
File,"ConsulLoadBalanceConfiguration.java",1,1,1,1,8,1,7,0,,,,,1,0,0,1,,1,1,3,1,,0,0,0,1,,47,8,31,25,5,8,,,,21,23,19,4,,,,,,1,1,1,1,,,0,,,,0,26,1,1,1,1
File,"ConsulServerListDecorator.java",1,1,1,1,5,0,4,0,,,,,1,0,0,6,,6,6,2,6,,0,1,0,5,,65,16,41,24,13,8,,,,23,31,22,9,,,,,,2,2,2,1,,,1,,,,0,20,7,7,7,6
File,"ConsulServiceRegistryDecorator.java",2,2,2,1,9,0,8,0,,,,,1,0,0,7,,7,7,3,7,,0,0,0,7,,104,17,74,32,34,13,,,,33,49,27,22,,,,,,3,3,3,1,,,2,,,,0,18,15,15,15,7
File,"ConsumerIsolationDiscoveryStrategy.java",1,1,1,1,5,0,5,0,,,,,1,0,0,3,,3,3,1,3,,0,0,0,3,,50,9,32,22,8,9,,,,16,22,18,4,,,,,,3,3,3,1,,,2,,,,0,28,5,5,5,3
File,"ConsumerIsolationLoadBalanceStrategy.java",2,2,2,1,7,0,7,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,45,7,29,20,8,9,,,,16,21,17,4,,,,,,3,3,3,1,,,2,,,,0,31,4,4,4,2
File,"ConsumerIsolationRegisterStrategy.java",1,1,1,1,7,1,5,0,,,,,1,0,0,8,,8,8,1,8,,0,1,2,5,,100,22,69,38,26,9,,,,34,48,32,16,,,,,,3,3,5,1,,,1,,,,0,13,13,13,15,8
File,"ContextInitializer.java",1,1,1,1,5,0,5,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,18,2,8,3,3,8,,,,4,6,3,3,,,,,,1,1,1,1,,,0,,,,1,00,1,1,1,1
File,"CorsRegistryConfiguration.java",1,1,1,1,6,0,6,1,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,28,3,16,10,4,10,,,,6,8,7,1,,,,,,1,1,1,1,,,0,,,,0,62,1,1,1,1
File,"CorsRegistryConfiguration.java",1,1,1,1,6,0,6,1,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,30,3,18,12,4,10,,,,7,9,8,1,,,,,,1,1,1,1,,,0,,,,0,56,1,1,1,1
File,"CountFilterEntity.java",1,1,1,1,3,0,3,0,,,,,1,0,1,7,,7,7,2,7,,0,0,0,7,,57,12,37,22,9,8,,,,18,26,19,7,,,,,,1,1,1,1,,,0,,,,0,22,7,7,7,7
File,"CountFilterRegisterListener.java",1,1,1,1,9,1,7,0,,,,,1,0,0,7,,7,7,1,7,,0,2,0,5,,105,24,70,38,30,11,,,,35,49,32,17,,,,,,7,7,7,5,,,1,,,,0,16,13,13,13,11
File,"CustomizationEntity.java",1,1,1,1,3,0,3,0,,,,,1,0,1,5,,5,5,1,5,,0,0,0,5,,48,10,30,19,7,8,,,,15,21,16,5,,,,,,1,1,1,1,,,0,,,,0,27,5,5,5,5
File,"CustomizationEvent.java",1,1,1,1,3,0,3,0,,,,,1,0,1,2,,2,2,1,2,,0,0,0,2,,28,7,13,8,3,8,,,,7,10,8,2,,,,,,1,1,1,1,,,0,,,,0,62,2,2,2,2
File,"DataContext.java",1,1,1,1,3,0,3,0,,,,,1,4,2,4,,4,0,0,4,,0,3,0,1,,37,7,22,11,8,8,,,,12,17,11,6,,,,,,1,1,1,1,,,0,,,,0,36,4,4,4,4
File,"DefaultCallableWrapper.java",1,1,1,1,12,1,11,0,,,,,2,0,0,2,,2,2,0,2,,0,0,0,2,,38,7,22,9,10,9,,,,10,14,9,5,,,,,,1,1,1,1,,,1,,,,0,41,2,2,2,2
File,"DefaultCallableWrapper.java",1,1,1,1,12,1,11,0,,,,,2,0,0,2,,2,2,0,2,,0,0,0,2,,39,7,23,10,10,9,,,,11,15,10,5,,,,,,1,1,1,1,,,1,,,,0,39,2,2,2,2
File,"DefaultCallableWrapper.java",1,1,1,1,12,1,11,0,,,,,2,0,0,2,,2,2,0,2,,0,0,0,2,,39,7,23,10,10,9,,,,11,15,10,5,,,,,,1,1,1,1,,,1,,,,0,39,2,2,2,2
File,"DefaultDiscoveryEnabledAdapter.java",1,1,1,1,3,0,3,0,,,,,1,0,0,3,,3,3,1,3,,0,0,3,0,,37,7,22,15,3,8,,,,10,14,11,3,,,,,,1,1,1,1,,,0,,,,0,36,3,3,3,3
File,"DefaultDiscoveryEnabledAdapter.java",1,1,1,1,3,0,3,0,,,,,1,0,0,3,,3,3,1,3,,0,0,3,0,,37,7,22,15,3,8,,,,10,14,11,3,,,,,,1,1,1,1,,,0,,,,0,36,3,3,3,3
File,"DefaultDiscoveryEnabledAdapter.java",1,1,1,1,3,0,3,0,,,,,1,0,0,3,,3,3,1,3,,0,0,3,0,,37,7,22,15,3,8,,,,10,14,11,3,,,,,,1,1,1,1,,,0,,,,0,36,3,3,3,3
File,"DiscoveryAntPathMatcherStrategy.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,1,1,,0,0,0,1,,21,4,9,6,2,8,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,89,1,1,1,1
File,"DiscoveryApplicationA1.java",1,1,1,1,3,0,3,0,,,,,1,1,0,8,,8,7,0,8,,0,0,0,8,,85,13,62,41,12,10,,,,30,40,29,11,,,,,,2,2,2,1,,,1,,,,0,16,9,9,9,8
File,"DiscoveryApplicationA2.java",1,1,1,1,5,1,4,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,26,4,14,10,2,8,,,,7,9,7,2,,,,,,1,1,1,1,,,0,,,,0,57,1,1,1,1
File,"DiscoveryApplicationB1.java",1,1,1,1,5,1,4,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,26,4,14,10,2,8,,,,7,9,7,2,,,,,,1,1,1,1,,,0,,,,0,57,1,1,1,1
File,"DiscoveryApplicationB2.java",1,1,1,1,5,1,4,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,26,4,14,10,2,8,,,,7,9,7,2,,,,,,1,1,1,1,,,0,,,,0,57,1,1,1,1
File,"DiscoveryApplicationC1.java",1,1,1,1,5,1,4,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,26,4,14,10,2,8,,,,7,9,7,2,,,,,,1,1,1,1,,,0,,,,0,57,1,1,1,1
File,"DiscoveryApplicationC2.java",1,1,1,1,5,1,4,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,26,4,14,10,2,8,,,,7,9,7,2,,,,,,1,1,1,1,,,0,,,,0,57,1,1,1,1
File,"DiscoveryApplicationC3.java",1,1,1,1,5,1,4,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,26,4,14,10,2,8,,,,7,9,7,2,,,,,,1,1,1,1,,,0,,,,0,57,1,1,1,1
File,"DiscoveryApplicationGateway.java",1,1,1,1,3,0,3,0,,,,,1,1,0,6,,6,5,0,6,,0,0,0,6,,67,10,41,28,6,16,,,,19,26,20,6,,,,,,1,1,1,1,,,0,,,,0,39,6,6,6,6
File,"DiscoveryApplicationZuul.java",1,1,1,1,3,0,3,0,,,,,1,1,0,6,,6,5,0,6,,0,0,0,6,,60,9,43,30,6,8,,,,20,27,21,6,,,,,,1,1,1,1,,,0,,,,0,19,6,6,6,6
File,"DiscoveryClientDecorator.java",1,1,1,1,6,0,5,0,,,,,1,0,0,7,,7,7,3,7,,0,0,0,7,,86,17,58,29,23,11,,,,29,41,26,15,,,,,,3,3,3,1,,,2,,,,0,19,11,11,11,7
File,"DiscoveryConstant.java",0,0,0,0,0,0,0,0,,,,,1,0,48,0,,0,0,0,0,,0,0,0,0,,69,10,51,50,48,8,,,,49,50,50,0,,,,,,0,0,0,0,,,0,,,,0,16,0,0,0,0
