Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AbstractContentProviderStub.java",3,3,4,2,17,0,13,3,,,,,1,0,1,13,,13,13,2,13,,0,3,1,9,,321,33,221,84,118,67,,,,106,153,74,79,,,,,,10,10,12,5,,,4,,,,0,30,46,46,58,31
File,"AbstractServiceStub.java",2,2,2,1,10,0,10,0,,,,,2,1,2,11,,11,10,2,11,,0,2,0,9,,170,19,127,30,71,24,,,,45,76,24,52,,,,,,5,5,5,3,,,4,,,,0,19,28,28,28,15
File,"ActivityManagerCompat.java",0,0,0,0,0,0,0,0,,,,,1,0,2,0,,0,0,0,0,,0,0,0,0,,32,3,5,4,2,24,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,,4,80,0,0,0,0
File,"ActivityManagerNativeCompat.java",1,1,1,1,4,0,4,0,,,,,1,2,1,2,,2,0,0,2,,0,0,0,2,,46,7,15,7,4,24,,,,7,11,7,4,,,,,,2,2,2,1,,,1,,,,1,60,3,3,3,2
File,"ActivityStub.java",0,0,0,0,0,0,0,0,,,,,258,0,0,0,,0,0,0,0,,0,0,0,0,,830,269,519,261,0,42,,,,3,261,261,0,,,,,,0,0,0,0,,,0,,,,0,08,0,0,0,0
File,"ActivityTestActivity.java",2,2,2,1,8,0,8,0,,,,,1,0,0,3,,3,3,0,3,,0,0,2,1,,41,6,35,14,17,0,,,,19,27,11,16,,,,,,5,5,5,1,,,1,,,,0,00,7,7,7,3
File,"ActivityThreadCompat.java",2,2,2,1,11,0,11,0,,,,,2,4,2,5,,5,1,0,5,,0,1,0,4,,93,13,56,16,30,24,,,,23,37,17,20,,,,,,3,3,4,1,,,2,,,,0,43,11,11,12,5
File,"ApkFragment.java",2,2,2,1,16,1,15,0,,,,,11,0,0,24,,24,24,3,24,,0,4,0,20,,330,41,289,75,174,0,,,,128,192,81,111,,,,,,13,13,18,3,,,5,,,,0,00,62,60,68,26
File,"ApkItem.java",3,3,3,1,21,0,21,0,,,,,1,1,0,3,,3,2,7,3,,2,0,0,1,,88,8,80,31,52,0,,,,55,65,30,35,,,,,,6,6,6,1,,,2,,,,0,00,9,9,9,3
File,"AttributeCache.java",2,2,2,1,9,0,9,0,,,,,3,2,1,8,,8,6,7,8,,0,0,0,8,,142,19,100,37,48,23,,,,46,69,35,34,,,,,,8,8,8,7,,,3,,,,0,23,17,17,17,14
