Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"BaseItem.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,38,7,13,8,2,18,,,,7,10,8,2,,,,,,1,1,1,1,,,0,,,,1,38,2,2,2,2
File,"BaseItemAnimator.java",1,1,2,1,4,0,4,0,,,,,1,0,0,6,,6,6,0,6,,0,0,3,3,,63,9,33,14,9,21,,,,10,20,11,9,,,,,,2,2,3,1,,,1,,,,0,64,9,9,12,6
File,"BaseItemController.java",1,1,1,1,6,0,3,3,,,,,1,0,1,2,,5,5,0,5,,0,0,0,5,,59,9,18,13,3,32,,,,12,15,13,2,,,,,,1,1,1,1,,,0,,,,1,78,2,2,2,2
File,"BasePaginationableAdapter.java",1,1,1,1,6,0,6,0,,,,,7,0,0,23,,26,26,4,26,,1,6,2,17,,217,36,154,65,65,27,,,,66,101,57,44,,,,,,3,3,4,1,,,2,,,,0,18,31,31,34,23
File,"BaseViewHolder.java",1,1,1,1,6,0,3,3,,,,,1,0,0,5,,5,5,0,5,,0,0,0,5,,68,9,24,13,5,35,,,,12,18,13,5,,,,,,1,1,1,1,,,0,,,,1,46,5,5,5,5
File,"BindableItem.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,40,5,14,8,3,21,,,,8,11,8,3,,,,,,1,1,1,1,,,0,,,,1,50,2,2,2,2
File,"BindableItemController.java",1,1,1,1,3,0,3,0,,,,,1,0,0,5,,6,6,0,6,,0,0,2,4,,67,9,27,16,5,31,,,,11,17,12,5,,,,,,2,2,2,1,,,0,,,,1,15,6,6,6,5
File,"BindableViewHolder.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,3,3,0,3,,0,0,0,3,,42,6,14,9,2,22,,,,8,11,9,2,,,,,,1,1,1,1,,,0,,,,1,57,2,2,2,2
File,"DataList.java",1,1,1,1,5,0,5,0,,,,,2,1,4,41,,42,41,6,42,,1,3,0,38,,351,52,268,115,124,31,,,,117,173,85,88,,,,,,7,7,11,6,,,2,,,,0,12,58,58,64,48
File,"DoubleBindableItem.java",1,1,1,1,3,0,3,0,,,,,1,0,0,3,,3,3,2,3,,0,0,0,3,,47,6,19,10,5,22,,,,11,15,10,5,,,,,,1,1,1,1,,,0,,,,1,16,3,3,3,3
File,"DoubleBindableItemController.java",1,1,1,1,4,0,3,0,,,,,1,0,0,5,,6,6,0,6,,0,0,2,4,,69,9,28,16,6,32,,,,11,17,12,5,,,,,,3,3,3,1,,,0,,,,1,14,7,7,7,5
File,"DoubleBindableViewHolder.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,3,3,0,3,,0,0,0,3,,43,6,14,9,2,23,,,,8,11,9,2,,,,,,1,1,1,1,,,0,,,,1,64,2,2,2,2
File,"EasyAdapter.java",1,1,1,1,5,0,4,0,,,,,5,0,0,27,,27,27,9,27,,4,3,2,18,,257,36,172,82,72,49,,,,81,119,73,46,,,,,,3,3,4,1,,,1,,,,0,28,33,33,34,27
File,"ExampleInstrumentedTest.java",1,1,1,1,6,1,4,1,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,26,5,15,12,2,6,,,,9,11,10,1,,,,,,1,1,1,1,,,0,,,,0,40,1,1,1,1
File,"ExampleInstrumentedTest.java",1,1,1,1,6,1,4,1,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,26,5,15,12,2,6,,,,9,11,10,1,,,,,,1,1,1,1,,,0,,,,0,40,1,1,1,1
File,"ExampleUnitTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,17,3,9,6,1,5,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,56,1,1,1,1
File,"ExampleUnitTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,17,3,9,6,1,5,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,56,1,1,1,1
