Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AboutPreferences.java",2,2,2,1,13,1,12,0,,,,,1,0,1,1,,1,1,0,1,,0,0,0,1,,44,6,23,14,9,15,,,,14,17,12,5,,,,,,2,2,2,1,,,1,,,,0,65,2,2,2,1
File,"AbstractCalendarActivity.java",2,2,2,1,6,0,6,0,,,,,1,0,0,1,,1,1,1,1,,0,0,0,1,,30,4,11,5,3,15,,,,5,8,5,3,,,,,,2,2,2,1,,,1,,,,1,36,2,2,2,1
File,"AgendaAdapter.java",6,6,7,1,51,5,42,4,,,,,3,0,3,3,,3,3,23,3,,0,0,0,3,,238,28,181,77,110,29,,,,130,150,76,74,,,,,,14,14,18,1,,,2,,,,0,16,18,18,22,3
File,"AgendaByDayAdapter.java",3,3,4,2,21,1,16,3,,,,,5,0,3,26,,26,26,30,26,,3,0,0,23,,683,65,497,166,316,127,,,,289,385,157,228,,,,,,18,18,19,11,,,6,,,,0,26,95,95,112,65
File,"AgendaFragment.java",3,3,3,1,18,1,14,2,,,,,3,0,4,20,,20,20,20,20,,0,3,0,17,,476,50,358,118,224,68,,,,195,258,100,158,,,,,,8,8,11,4,,,3,,,,0,19,66,66,71,23
File,"AgendaListView.java",2,2,2,1,12,0,10,0,,,,,4,0,3,27,,27,27,10,27,,0,5,1,21,,430,46,338,114,212,51,,,,185,255,113,142,,,,,,10,10,11,8,,,3,,,,0,15,70,70,80,43
File,"AgendaWindowAdapter.java",3,3,4,1,19,1,16,1,,,,,8,1,32,56,,56,55,53,56,,1,19,2,34,,1387,134,1105,316,732,184,,,,564,793,293,500,,,,,,48,46,63,13,,,6,,,,0,17,221,218,259,94
File,"AlarmManagerInterface.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,0,0,0,1,,26,3,5,4,0,18,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,,3,60,0,0,0,0
File,"AlarmScheduler.java",5,5,6,1,47,2,35,10,,,,,1,5,15,5,,5,0,0,5,,1,3,0,1,,337,25,232,93,163,88,,,,132,162,82,80,,,,,,17,17,20,3,,,6,,,,0,38,26,26,30,7
File,"AlarmSchedulerTest.java",1,1,1,1,12,0,10,2,,,,,3,0,1,18,,18,18,10,18,,1,3,1,13,,319,41,221,96,137,59,,,,135,166,85,81,,,,,,5,5,6,3,,,3,,,,0,27,27,27,28,20
File,"AlertActivity.java",1,1,1,1,10,1,9,0,,,,,4,0,16,16,,16,16,6,16,,1,3,7,5,,287,40,220,97,130,43,,,,124,153,86,67,,,,,,5,5,5,4,,,2,,,,0,20,29,29,31,19
