Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"BuildConfig.java",0,0,0,0,0,0,0,0,,,,,1,0,1,0,,0,0,0,0,,0,0,0,0,,6,1,4,3,1,1,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,0,25,0,0,0,0
File,"ExpandTabView.java",2,2,2,1,12,0,10,1,,,,,4,0,0,14,,15,15,11,15,,0,4,0,11,,217,28,165,53,96,24,,,,95,127,55,72,,,,,,5,5,5,1,,,2,,,,0,15,30,30,34,14
File,"MainActivity.java",1,1,1,1,9,2,7,0,,,,,4,0,0,10,,10,10,5,10,,0,5,1,4,,119,33,86,27,47,0,,,,50,65,29,36,,,,,,3,3,3,3,,,2,,,,0,00,14,14,15,12
File,"R.java",0,0,0,0,0,0,0,0,,,,,10,0,40,0,,0,0,0,0,,0,0,0,0,,82,5,61,51,40,16,,,,41,51,51,0,,,,,,0,0,0,0,,,0,,,,0,26,0,0,0,0
File,"TextAdapter.java",2,2,3,1,11,0,10,1,,,,,3,0,0,10,,11,11,10,11,,0,1,0,10,,159,22,122,37,66,17,,,,68,94,37,57,,,,,,8,8,9,3,,,2,,,,0,14,24,24,31,12
File,"ViewBaseAction.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,0,2,,0,0,0,2,,14,3,5,4,0,6,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,,1,20,0,0,0,0
File,"ViewLeft.java",1,1,1,1,6,0,6,0,,,,,3,0,0,9,,10,10,8,10,,0,1,0,9,,94,19,75,32,32,2,,,,43,58,32,26,,,,,,4,4,4,4,,,1,,,,0,03,13,13,13,12
File,"ViewMiddle.java",2,2,2,1,12,1,10,0,,,,,4,0,0,11,,12,12,11,12,,0,1,0,11,,165,27,136,42,79,2,,,,80,106,45,61,,,,,,7,7,8,6,,,3,,,,0,01,24,24,25,16
File,"ViewRight.java",1,1,1,1,6,0,6,0,,,,,3,0,0,9,,10,10,8,10,,0,1,0,9,,94,19,75,32,32,2,,,,43,58,32,26,,,,,,4,4,4,4,,,1,,,,0,03,13,13,13,12
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.example",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.example.adapter",2,2,3,1,11,0,10,1,,,,,3,0,0,,1,,11,10,11,,0,1,0,10,,159,22,122,37,66,17,,,,68,94,37,57,,,,,,8,8,9,3,,,2,,,,0,14,24,24,31,12
Public Class,"com.example.adapter.TextAdapter",2,2,3,1,12,0,10,1,1,4,4,0,,0,0,,,,9,10,9,9,0,1,0,8,,142,17,110,25,66,17,,,,56,82,25,57,,,,,,8,8,9,3,,2,2,,66,64,0,15,22,22,29,11
Public Interface,"com.example.adapter.TextAdapter.OnItemClickListener",0,0,0,0,0,0,0,0,0,0,0,4,,0,0,,,,1,0,1,1,0,0,0,1,,3,0,3,2,0,0,,,,1,2,2,0,,,,,,0,0,0,0,,0,0,,0,0,0,00,0,0,0,0
Public Abstract Method,"com.example.adapter.TextAdapter.OnItemClickListener.onItemClick",,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,,,0,,0,0,,,0,00,0,0,0,0
Public Constructor,"com.example.adapter.TextAdapter.TextAdapter",,,,,,,,,,,,,,,,,,,,,,,,,,,6,9,1,8,1,6,0,8,1,0,6,7,1,6,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Constructor,"com.example.adapter.TextAdapter.TextAdapter",,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,0,8,1,6,0,8,1,0,6,7,1,6,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.example.adapter.TextAdapter.getSelectedPosition",,,,,,,,,,,,,,,,,,,,,,,,,,,4,13,1,9,1,5,3,2,3,0,3,6,1,5,3,3,5,3,2,,,,,2,,1,2,,,0,33,3,3,5,3
Public Method,"com.example.adapter.TextAdapter.getView",,,,,,,,,,,,,,,,,,,,,,,,,,,14,33,1,32,3,24,2,15,40,2,15,23,3,20,8,8,9,1,4,,,,,0,,2,0,,,0,06,8,8,9,1
Private Method,"com.example.adapter.TextAdapter.init",,,,,,,,,,,,,,,,,,,,,,,,,,,2,13,1,12,1,8,0,1,1,0,4,7,2,5,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Anonymous Class,"com.example.adapter.TextAdapter.init.(Anon_1)",2,2,2,1,7,0,7,0,1,2,2,0,,0,0,,,,1,0,1,1,0,0,0,1,,10,1,9,0,7,0,,,,3,5,1,4,,,,,,2,2,2,1,,2,1,,0,0,0,00,2,2,2,1
Public Method,"com.example.adapter.TextAdapter.init.(Anon_1).onClick",,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,0,7,0,5,0,4,2,0,3,5,1,4,2,2,2,1,0,,,,,0,,1,0,,,0,00,2,2,2,1
Public Method,"com.example.adapter.TextAdapter.setOnItemClickListener",,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.example.adapter.TextAdapter.setSelectedPosition",,,,,,,,,,,,,,,,,,,,,,,,,,,6,15,1,11,1,8,3,5,3,0,6,9,1,8,3,3,5,1,1,,,,,0,,1,0,,,0,27,3,3,5,1
Public Method,"com.example.adapter.TextAdapter.setSelectedPositionNoNotify",,,,,,,,,,,,,,,,,,,,,,,,,,,7,11,0,8,1,5,3,4,3,0,3,6,1,5,3,3,5,1,1,,,,,0,,1,0,,,0,38,3,3,5,1
Public Method,"com.example.adapter.TextAdapter.setTextSize",,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,0,3,1,1,3,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,1,00,1,1,1,1
Package,"com.example.expandtabview",1,1,1,1,9,2,7,0,,,,,15,0,41,,3,,10,5,10,,0,5,1,4,,207,39,151,81,88,17,,,,93,119,83,36,,,,,,3,3,3,3,,,2,,,,0,11,14,14,15,12
Public Class,"com.example.expandtabview.BuildConfig",0,0,0,0,0,0,0,0,1,0,0,0,,0,1,,,,0,0,0,0,0,0,0,0,,3,0,2,2,1,1,,,,1,2,2,0,,,,,,0,0,0,0,,1,0,,0,0,0,50,0,0,0,0
Public Class,"com.example.expandtabview.MainActivity",1,1,1,1,12,2,9,0,1,7,7,0,,0,0,,,,7,5,7,7,0,5,1,1,,104,28,76,17,47,0,,,,40,55,19,36,,,,,,3,3,3,3,,2,2,,57,40,0,00,11,11,12,9
Private Method,"com.example.expandtabview.MainActivity.getPositon",,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,0,8,1,4,0,3,3,0,4,7,2,5,3,3,3,3,3,,,,,3,,2,3,,,0,00,3,3,3,3
Private Method,"com.example.expandtabview.MainActivity.initListener",,,,,,,,,,,,,,,,,,,,,,,,,,,4,29,9,20,1,15,0,3,1,0,6,10,4,6,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Anonymous Class,"com.example.expandtabview.MainActivity.initListener.(Anon_1)",1,1,1,1,3,0,3,0,2,1,1,0,,0,0,,,,1,0,1,1,0,0,0,1,,6,1,5,0,4,0,,,,1,2,1,1,,,,,,1,1,1,1,,1,0,,0,0,0,00,1,1,1,1
Public Method,"com.example.expandtabview.MainActivity.initListener.(Anon_1).getValue",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,0,2,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Anonymous Class,"com.example.expandtabview.MainActivity.initListener.(Anon_2)",1,1,1,1,5,2,3,0,2,1,1,0,,0,0,,,,1,0,1,1,0,0,0,1,,8,3,5,0,4,0,,,,1,2,1,1,,,,,,1,1,1,1,,1,0,,0,0,0,00,1,1,1,1
Public Method,"com.example.expandtabview.MainActivity.initListener.(Anon_2).getValue",,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,3,0,2,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Anonymous Class,"com.example.expandtabview.MainActivity.initListener.(Anon_3)",1,1,1,1,3,0,3,0,2,1,1,0,,0,0,,,,1,0,1,1,0,0,0,1,,6,1,5,0,4,0,,,,1,2,1,1,,,,,,1,1,1,1,,1,0,,0,0,0,00,1,1,1,1
Public Method,"com.example.expandtabview.MainActivity.initListener.(Anon_3).getValue",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,0,2,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Private Method,"com.example.expandtabview.MainActivity.initVaule",,,,,,,,,,,,,,,,,,,,,,,,,,,6,15,2,13,2,11,0,6,1,0,11,12,2,10,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Private Method,"com.example.expandtabview.MainActivity.initView",,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,2,6,1,4,0,8,1,0,4,5,1,4,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.example.expandtabview.MainActivity.onBackPressed",,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,2,5,1,2,0,2,2,0,1,3,1,2,2,2,2,1,0,,,,,0,,1,0,,,0,00,2,2,2,1
Protected Method,"com.example.expandtabview.MainActivity.onCreate",,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,2,7,1,5,0,5,1,0,5,6,1,5,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Private Method,"com.example.expandtabview.MainActivity.onRefresh",,,,,,,,,,,,,,,,,,,,,,,,,,,7,10,2,8,2,5,0,7,2,0,4,6,2,4,2,2,3,1,0,,,,,0,,1,0,,,0,00,2,2,3,1
Public Class,"com.example.expandtabview.R",0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,73,3,60,50,40,10,,,,40,50,50,0,,,,,,0,0,0,0,,1,0,,0,0,0,17,0,0,0,0
Public Static Class,"com.example.expandtabview.R.anim",0,0,0,0,0,0,0,0,1,0,0,0,,0,2,,,,0,0,0,0,0,0,0,0,,4,0,4,3,2,0,,,,2,3,3,0,,,,,,0,0,0,0,,1,0,,0,0,0,00,0,0,0,0
Public Static Class,"com.example.expandtabview.R.attr",0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,2,0,2,1,0,0,,,,0,1,1,0,,,,,,0,0,0,0,,1,0,,0,0,0,00,0,0,0,0
Public Static Class,"com.example.expandtabview.R.color",0,0,0,0,0,0,0,0,1,0,0,0,,0,5,,,,0,0,0,0,0,0,0,0,,7,0,7,6,5,0,,,,5,6,6,0,,,,,,0,0,0,0,,1,0,,0,0,0,00,0,0,0,0
Public Static Class,"com.example.expandtabview.R.dimen",0,0,0,0,0,0,0,0,1,0,0,0,,0,4,,,,0,0,0,0,0,0,0,0,,6,0,6,5,4,0,,,,4,5,5,0,,,,,,0,0,0,0,,1,0,,0,0,0,00,0,0,0,0
Public Static Class,"com.example.expandtabview.R.drawable",0,0,0,0,0,0,0,0,1,0,0,0,,0,13,,,,0,0,0,0,0,0,0,0,,15,0,15,14,13,0,,,,13,14,14,0,,,,,,0,0,0,0,,1,0,,0,0,0,00,0,0,0,0
