Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"Circle.java",1,1,1,1,5,0,3,1,,,,,1,0,0,2,,2,2,3,2,,2,0,0,0,,22,3,13,7,3,6,,,,7,10,7,3,,,,,,1,1,1,1,,,0,,,,0,46,2,2,2,2
File,"LoadingView.java",2,2,2,1,9,0,8,1,,,,,6,0,5,26,,29,29,23,29,,3,4,0,22,,380,44,277,98,156,66,,,,153,212,89,123,,,,,,9,7,9,1,,,3,,,,0,24,60,54,64,26
File,"MainActivity.java",1,1,1,1,9,1,7,0,,,,,2,0,0,8,,8,8,3,8,,0,0,2,6,,89,18,71,23,44,0,,,,43,52,24,28,,,,,,5,5,5,1,,,0,,,,0,00,12,12,12,8
Package,"io",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"io.saeid",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"io.saeid.fabloading",2,2,2,1,9,0,7,1,,,,,7,0,5,,2,,31,26,31,,5,4,0,22,,402,47,290,105,159,72,,,,160,222,96,126,,,,,,9,7,9,1,,,3,,,,0,25,62,56,66,28
Class,"io.saeid.fabloading.Circle",1,1,1,1,5,0,3,1,1,0,0,0,,0,0,,,,2,3,2,2,2,0,0,0,,20,2,12,6,3,6,,,,6,9,6,3,,,,,,1,1,1,1,,1,0,,50,50,0,50,2,2,2,2
Constructor,"io.saeid.fabloading.Circle.Circle",,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Method,"io.saeid.fabloading.Circle.restore",,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,0,5,1,3,3,3,1,0,3,4,1,3,1,1,1,1,0,,,,,0,,0,0,,,0,60,1,1,1,1
Public Class,"io.saeid.fabloading.LoadingView",2,2,2,1,10,0,8,1,2,4,4,0,,0,5,,,,23,19,23,23,0,4,0,19,,353,39,255,76,156,66,,,,131,190,67,123,,,,,,9,7,9,1,,2,3,,86,80,0,26,57,51,61,23
