Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ExampleInstrumentedTest.java",1,1,1,1,6,1,4,1,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,26,5,15,12,2,6,,,,9,11,10,1,,,,,,1,1,1,1,,,0,,,,0,40,1,1,1,1
File,"ExampleInstrumentedTest.java",1,1,1,1,6,1,4,1,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,26,5,15,12,2,6,,,,9,11,10,1,,,,,,1,1,1,1,,,0,,,,0,40,1,1,1,1
File,"ExampleUnitTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,17,3,9,6,1,5,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,56,1,1,1,1
File,"FallingView.java",1,1,1,1,5,0,5,0,,,,,2,0,4,13,,13,13,11,13,,0,3,2,8,,126,17,106,44,53,3,,,,66,86,44,42,,,,,,2,2,3,1,,,1,,,,0,03,18,18,20,13
File,"Flake.java",1,1,1,1,6,0,6,0,,,,,1,1,9,6,,6,5,5,6,,0,3,0,3,,77,12,62,38,36,3,,,,46,54,38,16,,,,,,2,2,4,1,,,1,,,,0,05,7,7,10,6
File,"MainActivity.java",1,1,1,1,9,1,7,0,,,,,4,0,0,13,,13,13,6,13,,0,1,1,11,,120,21,99,24,60,3,,,,50,65,30,35,,,,,,5,2,5,1,,,1,,,,0,03,17,14,17,13
File,"Random.java",1,1,1,1,3,0,3,0,,,,,1,0,1,3,,3,3,0,3,,0,0,0,3,,25,6,16,9,6,3,,,,8,12,9,3,,,,,,1,1,1,1,,,0,,,,0,19,3,3,3,3
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.dingmouren",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.dingmouren.fallingview",1,1,1,1,5,0,5,0,,,,,5,1,14,,4,,22,16,23,,0,6,2,15,,254,40,199,103,97,15,,,,129,163,101,62,,,,,,2,2,4,1,,,1,,,,0,08,29,29,34,23
Public Class,"com.dingmouren.fallingview.ExampleInstrumentedTest",1,1,1,1,6,1,4,1,1,0,0,0,,0,0,,,,1,0,1,1,0,0,0,1,,14,1,7,4,2,6,,,,2,4,3,1,,,,,,1,1,1,1,,1,0,,0,0,0,86,1,1,1,1
Public Method,"com.dingmouren.fallingview.ExampleInstrumentedTest.useAppContext",,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,1,4,2,2,1,3,1,0,2,3,2,1,1,1,1,1,0,,,,,0,,0,0,,,0,25,1,1,1,1
Public Class,"com.dingmouren.fallingview.FallingView",1,1,1,1,6,0,6,0,1,1,1,0,,0,4,,,,12,11,12,12,0,3,2,7,,113,14,96,34,53,3,,,,56,76,34,42,,,,,,2,2,3,1,,2,1,,79,58,0,03,17,17,19,12
