Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"BaseDownloadTask.java",0,0,0,0,0,0,0,0,,,,,5,0,0,0,,80,80,1,80,,80,0,0,0,,703,89,100,95,1,514,,,,86,91,91,0,,,,,,0,0,0,0,,,0,,,,5,14,0,0,0,0
File,"BaseFileServiceUIGuard.java",2,2,2,1,10,1,9,0,,,,,1,0,0,13,,17,17,7,17,,0,1,9,7,,226,43,163,59,81,21,,,,75,109,49,60,,,,,,9,9,9,1,,,2,,,,0,13,33,33,34,13
File,"BaseNotificationItem.java",1,1,1,1,3,0,3,0,,,,,1,0,0,20,,21,21,8,21,,0,0,1,20,,137,29,83,33,30,25,,,,37,59,32,27,,,,,,2,2,2,1,,,1,,,,0,30,21,21,21,20
File,"BlockCompleteMessage.java",1,1,1,1,5,0,5,0,,,,,2,0,0,3,,4,4,1,4,,1,0,0,3,,57,10,26,12,8,21,,,,10,16,10,6,,,,,,2,2,2,1,,,1,,,,0,81,4,4,4,3
File,"ConnectTask.java",1,1,2,1,8,0,7,0,,,,,3,0,0,17,,17,17,12,17,,5,4,0,8,,226,42,160,55,73,24,,,,81,119,54,65,,,,,,7,7,7,1,,,5,,,,0,15,33,33,37,17
File,"ConnectionModel.java",1,1,1,1,3,0,3,0,,,,,1,1,5,13,,13,12,5,13,,0,0,0,13,,108,23,67,31,28,18,,,,35,51,31,20,,,,,,2,2,2,1,,,1,,,,0,27,14,14,14,13
File,"ConnectionProfile.java",1,1,1,1,7,0,6,0,,,,,2,5,1,10,,10,5,6,10,,0,3,0,7,,123,22,80,34,32,21,,,,38,54,25,29,,,,,,4,4,5,1,,,1,,,,0,26,14,14,17,10
File,"Constant.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,5,0,,0,0,0,0,,941,8,898,896,889,923,,,,6,7,7,0,,,,,,0,0,0,0,,,0,,,,1,03,0,0,0,0
File,"CustomComponentHolder.java",2,2,3,1,14,1,12,1,,,,,2,2,1,15,,15,13,7,15,,0,5,0,10,,287,48,206,54,123,33,,,,92,145,53,92,,,,,,15,15,22,7,,,6,,,,0,16,43,43,50,21
File,"DefaultConnectionCountAdapter.java",5,5,5,5,19,4,15,0,,,,,1,0,4,1,,1,1,0,1,,0,0,0,1,,56,10,24,9,13,26,,,,11,17,8,9,,,,,,5,5,5,5,,,1,,,,1,08,5,5,5,5
