Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ExampleInstrumentedTest.java",1,1,1,1,6,1,4,1,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,26,5,15,12,2,6,,,,9,11,10,1,,,,,,1,1,1,1,,,0,,,,0,40,1,1,1,1
File,"ExampleUnitTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,17,3,9,6,1,5,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,56,1,1,1,1
File,"FishDrawable.java",1,1,1,1,12,0,7,3,,,,,3,2,10,26,,26,24,11,26,,0,8,0,18,,389,45,243,94,158,111,,,,178,205,89,116,,,,,,3,3,3,1,,,0,,,,0,46,28,28,28,26
File,"FishDrawableView.java",1,1,1,1,13,0,9,3,,,,,3,3,2,16,,16,13,12,16,,0,3,2,11,,258,30,173,79,103,56,,,,117,138,76,62,,,,,,4,4,4,4,,,2,,,,0,32,20,20,20,19
File,"MainActivity.java",1,1,1,1,4,0,4,0,,,,,1,0,0,1,,1,1,0,1,,0,0,1,0,,13,3,10,6,2,0,,,,5,7,5,2,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.jcs",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.jcs.fish_2",1,1,1,1,11,0,8,3,,,,,9,5,12,,5,,40,23,45,,0,11,3,31,,703,86,450,197,266,178,,,,313,367,185,182,,,,,,4,4,4,4,,,2,,,,0,40,51,51,51,48
Public Class,"com.jcs.fish_2.ExampleInstrumentedTest",1,1,1,1,6,1,4,1,1,0,0,0,,0,0,,,,1,0,1,1,0,0,0,1,,14,1,7,4,2,6,,,,2,4,3,1,,,,,,1,1,1,1,,1,0,,0,0,0,86,1,1,1,1
Public Method,"com.jcs.fish_2.ExampleInstrumentedTest.useAppContext",,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,1,4,2,2,1,3,1,0,2,3,2,1,1,1,1,1,0,,,,,0,,0,0,,,0,25,1,1,1,1
Public Class,"com.jcs.fish_2.ExampleUnitTest",1,1,1,1,3,0,3,0,1,0,0,0,,0,0,,,,1,0,1,1,0,0,0,1,,10,0,5,3,1,5,,,,1,3,2,1,,,,,,1,1,1,1,,1,0,,0,0,1,00,1,1,1,1
Public Method,"com.jcs.fish_2.ExampleUnitTest.addition_isCorrect",,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Class,"com.jcs.fish_2.FishDrawable",1,1,1,1,12,0,8,4,1,0,0,0,,2,10,,,,22,11,24,24,0,8,0,16,,369,41,227,78,158,111,,,,162,189,73,116,,,,,,3,3,3,1,,2,0,,84,79,0,49,26,26,26,24
Public Constructor,"com.jcs.fish_2.FishDrawable.FishDrawable",,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,4,1,2,0,3,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Private Static Method,"com.jcs.fish_2.FishDrawable.calculatPoint",,,,,,,,,,,,,,,,,,,,,,,,,,,10,13,0,5,3,3,8,4,1,0,3,4,3,1,1,1,1,1,0,,,,,0,,0,0,,,1,60,1,1,1,1
Public Method,"com.jcs.fish_2.FishDrawable.draw",,,,,,,,,,,,,,,,,,,,,,,,,,,6,9,1,7,1,5,1,8,1,0,5,6,1,5,1,1,1,1,0,,,,,0,,0,0,,,0,14,1,1,1,1
Public Method,"com.jcs.fish_2.FishDrawable.getFinsAnimator",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.jcs.fish_2.FishDrawable.getHeadPoint",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.jcs.fish_2.FishDrawable.getIntrinsicHeight",,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,0,3,1,1,6,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,2,00,1,1,1,1
Public Method,"com.jcs.fish_2.FishDrawable.getIntrinsicWidth",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.jcs.fish_2.FishDrawable.getMainAngle",,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,0,3,1,1,5,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,1,67,1,1,1,1
Public Method,"com.jcs.fish_2.FishDrawable.getMiddlePoint",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.jcs.fish_2.FishDrawable.getOpacity",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Static Method,"com.jcs.fish_2.FishDrawable.getTotalLength",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Private Method,"com.jcs.fish_2.FishDrawable.init",,,,,,,,,,,,,,,,,,,,,,,,,,,6,48,4,37,2,33,9,20,1,0,27,30,4,26,1,1,1,1,0,,,,,0,,0,0,,,0,24,1,1,1,1
Anonymous Class,"com.jcs.fish_2.FishDrawable.init.(Anon_1)",1,1,1,1,5,0,4,1,1,1,1,0,,0,0,,,,1,0,1,1,0,0,0,1,,7,0,6,0,5,1,,,,2,3,1,2,,,,,,1,1,1,1,,2,0,,0,0,0,17,1,1,1,1
Public Method,"com.jcs.fish_2.FishDrawable.init.(Anon_1).onAnimationUpdate",,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,4,0,3,1,3,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,25,1,1,1,1
Anonymous Class,"com.jcs.fish_2.FishDrawable.init.(Anon_2)",1,1,1,1,4,0,4,0,1,1,1,0,,0,0,,,,1,0,1,1,0,0,0,1,,6,0,6,0,5,0,,,,2,3,1,2,,,,,,1,1,1,1,,2,0,,0,0,0,00,1,1,1,1
Public Method,"com.jcs.fish_2.FishDrawable.init.(Anon_2).onAnimationRepeat",,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,4,0,3,0,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Private Method,"com.jcs.fish_2.FishDrawable.makeBody",,,,,,,,,,,,,,,,,,,,,,,,,,,17,46,2,27,7,24,18,14,1,0,25,26,7,19,1,1,1,1,0,,,,,0,,0,0,,,0,67,1,1,1,1
Private Method,"com.jcs.fish_2.FishDrawable.makeFins",,,,,,,,,,,,,,,,,,,,,,,,,,,14,21,1,13,5,11,8,8,1,0,10,11,4,7,3,3,3,1,0,,,,,0,,0,0,,,0,62,3,3,3,1
Private Method,"com.jcs.fish_2.FishDrawable.makeSegments",,,,,,,,,,,,,,,,,,,,,,,,,,,12,34,3,20,6,17,12,9,1,0,18,19,6,13,1,1,1,1,0,,,,,0,,0,0,,,0,60,1,1,1,1
Private Method,"com.jcs.fish_2.FishDrawable.makeSegmentsLong",,,,,,,,,,,,,,,,,,,,,,,,,,,12,32,4,18,5,15,11,9,1,0,16,17,5,12,1,1,1,1,0,,,,,0,,0,0,,,0,61,1,1,1,1
Private Method,"com.jcs.fish_2.FishDrawable.makeTail",,,,,,,,,,,,,,,,,,,,,,,,,,,13,34,1,22,5,19,11,8,1,0,20,21,5,16,1,1,1,1,0,,,,,0,,0,0,,,0,50,1,1,1,1
Public Method,"com.jcs.fish_2.FishDrawable.setAlpha",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.jcs.fish_2.FishDrawable.setColorFilter",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Private Method,"com.jcs.fish_2.FishDrawable.setFinsAngle",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.jcs.fish_2.FishDrawable.setHeadPoint",,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,0,3,1,1,5,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,1,67,1,1,1,1
Public Method,"com.jcs.fish_2.FishDrawable.setMainAngle",,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,0,3,1,1,5,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,1,67,1,1,1,1
Public Method,"com.jcs.fish_2.FishDrawable.setMiddlePoint",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.jcs.fish_2.FishDrawable.setWaveFrequence",,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Class,"com.jcs.fish_2.FishDrawableView",1,1,1,1,14,0,9,4,1,1,1,0,,3,2,,,,10,12,13,13,0,3,2,8,,232,27,150,56,103,56,,,,94,115,53,62,,,,,,4,4,4,4,,2,2,,86,73,0,37,17,17,17,16
