Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"BaseCellView.java",1,1,1,1,5,0,5,0,,,,,2,0,9,7,,8,8,1,8,,0,0,1,7,,84,15,66,38,29,3,,,,40,53,36,17,,,,,,4,4,4,1,,,2,,,,0,05,10,10,10,7
File,"CalendarActivity.java",1,1,1,1,7,0,7,0,,,,,1,0,0,2,,2,2,0,2,,0,0,1,1,,28,7,21,8,9,0,,,,10,14,7,7,,,,,,2,2,2,1,,,1,,,,0,00,3,3,3,2
File,"CalendarActivity2.java",1,1,2,1,18,0,16,0,,,,,5,0,0,9,,9,9,0,9,,0,0,1,8,,133,15,113,35,71,5,,,,62,80,38,42,,,,,,4,4,10,4,,,1,,,,0,04,17,17,23,12
File,"CalendarActivity3.java",1,1,1,1,12,1,11,0,,,,,6,0,0,13,,13,13,2,13,,0,1,1,11,,163,25,133,45,83,5,,,,78,96,47,49,,,,,,2,2,2,1,,,1,,,,0,04,17,17,17,13
File,"CalendarActivity4.java",1,1,1,1,13,1,11,0,,,,,6,0,0,10,,10,10,1,10,,0,0,1,9,,127,21,101,34,64,5,,,,56,70,38,32,,,,,,2,2,2,1,,,1,,,,0,05,13,13,13,10
File,"CalendarActivity5.java",1,1,1,1,10,1,8,0,,,,,4,0,0,7,,7,7,0,7,,0,0,1,6,,71,14,57,22,28,0,,,,27,38,24,14,,,,,,2,2,2,1,,,1,,,,0,00,9,9,9,7
File,"CalendarActivityFragment.java",1,1,2,1,15,1,13,0,,,,,10,0,0,19,,19,19,3,19,,0,2,0,17,,240,36,200,58,134,4,,,,106,135,63,72,,,,,,5,5,31,5,,,1,,,,0,02,28,28,54,23
File,"CalendarEvent.java",1,1,1,1,3,0,2,0,,,,,1,0,0,4,,4,4,1,4,,0,0,0,4,,26,7,16,8,3,3,,,,5,10,7,3,,,,,,1,1,1,1,,,0,,,,0,19,4,4,4,4
File,"CalendarListActivity.java",2,1,2,1,17,2,13,1,,,,,1,0,0,4,,4,4,1,4,,0,0,1,3,,93,19,69,29,42,5,,,,45,52,25,27,,,,,,6,2,6,1,,,1,,,,0,07,10,6,10,4
File,"CalendarListAdapter.java",1,1,1,1,4,0,3,0,,,,,3,0,0,7,,8,8,2,8,,1,0,0,7,,66,16,47,26,12,3,,,,20,31,22,9,,,,,,2,2,2,1,,,1,,,,0,06,9,9,9,7
