Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"Area.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,3,0,,0,0,0,0,,10,1,6,5,0,3,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,0,50,0,0,0,0
File,"ClickHandler.java",2,2,2,1,8,1,7,0,,,,,1,1,0,7,,7,6,7,7,,0,3,0,4,,92,22,65,26,32,8,,,,34,51,26,25,,,,,,5,5,6,4,,,3,,,,0,12,15,15,17,12
File,"CollisionHelper.java",13,13,16,1,70,17,53,1,,,,,1,1,1,1,,1,0,0,1,,0,0,0,1,,90,23,61,13,40,7,,,,29,47,17,30,,,,,,13,13,16,1,,,5,,,,0,11,13,13,16,1
File,"FlowTextView.java",1,1,2,1,11,1,9,1,,,,,1,0,0,30,,30,30,19,30,,0,5,3,22,,449,76,339,118,206,70,,,,208,268,116,152,,,,,,18,18,20,5,,,6,,,,0,21,59,59,64,34
File,"HtmlLink.java",1,1,1,1,5,0,5,0,,,,,1,0,0,1,,1,1,4,1,,0,0,0,1,,18,2,13,9,2,3,,,,8,10,8,2,,,,,,1,1,1,1,,,0,,,,0,23,1,1,1,1
File,"HtmlObject.java",1,1,1,1,9,0,9,0,,,,,1,0,0,1,,1,1,6,1,,0,0,0,1,,25,3,19,11,7,3,,,,14,16,10,6,,,,,,1,1,1,1,,,0,,,,0,16,1,1,1,1
File,"Line.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,2,0,,0,0,0,0,,9,1,5,4,0,3,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,,0,60,0,0,0,0
File,"MainActivity.java",1,1,1,1,9,0,8,0,,,,,2,0,1,6,,6,6,1,6,,0,3,1,2,,79,14,64,29,36,1,,,,40,48,28,20,,,,,,4,2,4,1,,,1,,,,0,02,9,7,9,6
File,"Obstacle.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,4,0,,0,0,0,0,,11,1,7,6,0,3,,,,5,6,6,0,,,,,,0,0,0,0,,,0,,,,0,43,0,0,0,0
File,"OnLinkClickListener.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,0,0,0,1,,8,1,4,3,0,3,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,0,75,0,0,0,0
File,"PaintHelper.java",1,1,1,1,5,0,5,0,,,,,1,0,0,3,,3,3,1,3,,0,0,0,3,,31,6,22,9,8,3,,,,9,16,10,6,,,,,,2,2,2,1,,,1,,,,0,14,5,5,5,3
File,"SpanParser.java",2,2,2,1,10,1,9,0,,,,,1,1,0,13,,13,12,6,13,,0,6,0,7,,185,40,141,48,82,6,,,,95,129,50,79,,,,,,14,14,14,9,,,5,,,,0,04,32,32,32,25
Package,"uk",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"uk.co",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"uk.co.deanwild",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"uk.co.deanwild.flowtextview",1,1,2,1,11,1,9,1,,,,,1,0,0,,1,,30,19,30,,0,5,3,22,,449,76,339,118,206,70,,,,208,268,116,152,,,,,,18,18,20,5,,,6,,,,0,21,59,59,64,34
Public Class,"uk.co.deanwild.flowtextview.FlowTextView",1,1,2,1,11,1,9,1,1,9,9,0,,0,0,,,,30,19,30,30,0,5,3,22,,419,72,313,92,206,70,,,,182,242,90,152,,,,,,18,18,20,5,,2,6,,90,85,0,22,59,59,64,34
Public Constructor,"uk.co.deanwild.flowtextview.FlowTextView.FlowTextView",,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,0,4,1,2,0,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Constructor,"uk.co.deanwild.flowtextview.FlowTextView.FlowTextView",,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,4,1,2,0,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Constructor,"uk.co.deanwild.flowtextview.FlowTextView.FlowTextView",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,1,2,0,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Private Method,"uk.co.deanwild.flowtextview.FlowTextView.findBoxesAndReturnLowestObstacleYCoord",,,,,,,,,,,,,,,,,,,,,,,,,,,9,22,2,20,7,15,2,14,4,1,16,20,8,12,4,4,4,1,0,,,,,0,,3,0,,,0,10,4,4,4,1
Private Method,"uk.co.deanwild.flowtextview.FlowTextView.getChunk",,,,,,,,,,,,,,,,,,,,,,,,,,,4,22,3,15,3,11,7,4,5,1,7,12,3,9,5,5,8,5,5,,,,,5,,2,5,,,0,47,5,5,8,5
