Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"App.java",1,1,1,1,4,0,4,0,,,,,1,0,0,3,,3,3,0,3,,0,2,0,1,,31,6,22,13,7,3,,,,11,15,11,4,,,,,,1,1,1,1,,,0,,,,0,14,3,3,3,3
File,"ApplicationTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,13,2,8,5,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"BaseFrescoImageView.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,13,13,0,13,,0,0,0,13,,90,15,21,20,0,54,,,,19,20,20,0,,,,,,0,0,0,0,,,0,,,,2,57,0,0,0,0
File,"DefaultZoomableController.java",1,1,1,1,6,0,5,1,,,,,1,1,0,36,,36,35,15,36,,0,6,0,30,,325,48,218,82,112,59,,,,108,158,72,86,,,,,,6,6,6,1,,,1,,,,0,27,50,50,51,36
File,"ExampleUnitTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,15,3,9,6,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,33,1,1,1,1
File,"FrescoController.java",0,0,0,0,0,0,0,0,,,,,1,0,3,0,,16,16,0,16,,0,0,0,16,,119,22,26,25,3,74,,,,24,25,25,0,,,,,,0,0,0,0,,,0,,,,2,85,0,0,0,0
File,"FrescoFactory.java",1,1,1,1,10,0,10,0,,,,,1,4,0,4,,4,0,0,4,,0,0,0,4,,59,7,49,16,30,3,,,,19,26,16,10,,,,,,2,2,2,1,,,1,,,,0,06,6,6,6,4
File,"FrescoGifImageViewActivity.java",1,1,1,1,6,0,6,0,,,,,1,0,0,1,,1,1,1,1,,0,0,1,0,,23,6,14,9,5,4,,,,9,11,8,3,,,,,,1,1,1,1,,,0,,,,0,29,1,1,1,1
File,"FrescoImageView.java",1,1,1,1,4,0,4,0,,,,,1,0,0,35,,35,35,12,35,,0,2,0,33,,273,65,205,90,81,5,,,,84,126,61,65,,,,,,4,4,5,3,,,2,,,,0,02,41,41,43,39
File,"FrescoImageViewActivity.java",1,1,1,1,7,0,7,0,,,,,1,0,0,1,,1,1,1,1,,0,0,1,0,,23,5,15,9,6,4,,,,10,12,8,4,,,,,,1,1,1,1,,,0,,,,0,27,1,1,1,1
File,"FrescoZoomImageView.java",1,1,1,1,4,0,4,0,,,,,1,0,0,34,,34,34,12,34,,0,2,0,32,,268,64,201,88,80,5,,,,82,123,59,64,,,,,,4,4,5,3,,,2,,,,0,02,40,40,42,38
File,"FrescoZoomImageViewActivity.java",1,1,1,1,9,0,9,1,,,,,2,0,0,2,,2,2,1,2,,0,0,1,1,,33,6,24,11,12,5,,,,15,18,11,7,,,,,,1,1,1,1,,,0,,,,0,21,2,2,2,2
File,"MainActivity.java",1,1,1,1,8,0,8,0,,,,,4,0,0,4,,4,4,3,4,,0,0,1,3,,44,5,39,14,20,0,,,,22,27,16,11,,,,,,1,1,1,1,,,0,,,,0,00,4,4,4,4
File,"MultiPointerGestureDetector.java",2,2,2,1,9,0,7,1,,,,,2,1,1,16,,19,18,8,19,,0,3,1,15,,220,26,142,38,79,52,,,,70,105,42,63,,,,,,14,9,17,6,,,3,,,,0,37,39,34,43,21
File,"TransformGestureDetector.java",1,1,1,1,5,0,4,0,,,,,2,1,0,17,,20,19,2,20,,0,1,0,19,,157,25,98,42,45,34,,,,43,68,40,28,,,,,,3,3,3,1,,,1,,,,0,35,24,24,24,17
File,"ZoomableController.java",0,0,0,0,0,0,0,0,,,,,2,0,0,0,,9,9,0,9,,9,0,0,0,,49,14,17,15,0,18,,,,13,15,15,0,,,,,,0,0,0,0,,,0,,,,1,06,0,0,0,0
File,"ZoomableDraweeView.java",1,1,1,1,6,0,5,1,,,,,2,0,2,22,,22,22,7,22,,0,8,2,12,,249,38,160,60,75,52,,,,73,107,51,56,,,,,,7,7,7,1,,,3,,,,0,33,33,33,35,22
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.lhh",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.lhh.frescoimageview",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.lhh.frescoimageview.demo",1,1,1,1,6,0,6,0,,,,,11,0,0,,7,,13,6,13,,0,2,4,7,,182,33,131,67,52,22,,,,75,95,64,31,,,,,,1,1,1,1,,,0,,,,0,17,13,13,13,13
Public Class,"com.lhh.frescoimageview.demo.App",1,1,1,1,4,0,4,0,1,0,0,0,,0,0,,,,3,0,3,3,0,2,0,1,,21,2,16,7,7,3,,,,5,9,5,4,,,,,,1,1,1,1,,2,0,,0,0,0,19,3,3,3,3
Private Method,"com.lhh.frescoimageview.demo.App.initFresco",,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Private Method,"com.lhh.frescoimageview.demo.App.initOKFresco",,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,0,6,3,4,0,3,1,0,2,3,2,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.lhh.frescoimageview.demo.App.onCreate",,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,4,1,2,0,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Class,"com.lhh.frescoimageview.demo.ApplicationTest",1,1,1,1,3,0,3,0,1,0,0,0,,0,0,,,,1,0,1,1,0,0,0,1,,7,0,4,2,1,3,,,,1,3,2,1,,,,,,1,1,1,1,,2,0,,0,0,0,75,1,1,1,1
Public Constructor,"com.lhh.frescoimageview.demo.ApplicationTest.ApplicationTest",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Class,"com.lhh.frescoimageview.demo.ExampleUnitTest",1,1,1,1,3,0,3,0,1,0,0,0,,0,0,,,,1,0,1,1,0,0,0,1,,8,0,5,3,1,3,,,,1,3,2,1,,,,,,1,1,1,1,,1,0,,0,0,0,60,1,1,1,1
Public Method,"com.lhh.frescoimageview.demo.ExampleUnitTest.addition_isCorrect",,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Class,"com.lhh.frescoimageview.demo.FrescoGifImageViewActivity",1,1,1,1,6,0,6,0,1,1,1,0,,0,0,,,,1,1,1,1,0,0,1,0,,16,3,10,5,5,4,,,,5,7,4,3,,,,,,1,1,1,1,,2,0,,0,0,0,40,1,1,1,1
Protected Method,"com.lhh.frescoimageview.demo.FrescoGifImageViewActivity.onCreate",,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,0,6,2,4,0,4,1,0,4,5,2,3,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Class,"com.lhh.frescoimageview.demo.FrescoImageViewActivity",1,1,1,1,7,0,7,0,1,1,1,0,,0,0,,,,1,1,1,1,0,0,1,0,,16,2,11,5,6,4,,,,6,8,4,4,,,,,,1,1,1,1,,2,0,,0,0,0,36,1,1,1,1
Protected Method,"com.lhh.frescoimageview.demo.FrescoImageViewActivity.onCreate",,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,0,7,2,5,0,5,1,0,5,6,2,4,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Class,"com.lhh.frescoimageview.demo.FrescoZoomImageViewActivity",1,1,1,1,14,0,14,1,1,2,2,0,,0,0,,,,1,1,1,1,0,0,1,0,,23,2,18,5,12,5,,,,9,12,5,7,,,,,,1,1,1,1,,2,0,,0,0,0,28,1,1,1,1
Protected Method,"com.lhh.frescoimageview.demo.FrescoZoomImageViewActivity.onCreate",,,,,,,,,,,,,,,,,,,,,,,,,,,2,14,0,14,2,11,1,5,1,0,8,10,3,7,1,1,1,1,0,,,,,0,,0,0,,,0,07,1,1,1,1
Anonymous Class,"com.lhh.frescoimageview.demo.FrescoZoomImageViewActivity.onCreate.(Anon_1)",1,1,1,1,5,0,5,1,1,2,2,0,,0,0,,,,1,0,1,1,0,0,0,1,,7,0,7,0,6,1,,,,3,4,1,3,,,,,,1,1,1,1,,2,0,,0,0,0,14,1,1,1,1
Public Method,"com.lhh.frescoimageview.demo.FrescoZoomImageViewActivity.onCreate.(Anon_1).onClick",,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,5,0,4,1,4,1,0,3,4,1,3,1,1,1,1,0,,,,,0,,0,0,,,0,20,1,1,1,1
Public Class,"com.lhh.frescoimageview.demo.MainActivity",1,1,1,1,25,0,25,0,1,0,0,0,,0,0,,,,1,3,1,1,0,0,1,0,,33,2,31,6,20,0,,,,14,19,8,11,,,,,,1,1,1,1,,2,0,,0,0,0,00,1,1,1,1
Protected Method,"com.lhh.frescoimageview.demo.MainActivity.onCreate",,,,,,,,,,,,,,,,,,,,,,,,,,,4,25,0,25,1,20,0,7,1,0,11,15,4,11,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Anonymous Class,"com.lhh.frescoimageview.demo.MainActivity.onCreate.(Anon_1)",1,1,1,1,3,0,3,0,1,2,2,0,,0,0,,,,1,0,1,1,0,0,0,1,,5,0,5,0,4,0,,,,1,2,1,1,,,,,,1,1,1,1,,2,0,,0,0,0,00,1,1,1,1
Public Method,"com.lhh.frescoimageview.demo.MainActivity.onCreate.(Anon_1).onClick",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,0,2,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Anonymous Class,"com.lhh.frescoimageview.demo.MainActivity.onCreate.(Anon_2)",1,1,1,1,3,0,3,0,1,2,2,0,,0,0,,,,1,0,1,1,0,0,0,1,,5,0,5,0,4,0,,,,1,2,1,1,,,,,,1,1,1,1,,2,0,,0,0,0,00,1,1,1,1
Public Method,"com.lhh.frescoimageview.demo.MainActivity.onCreate.(Anon_2).onClick",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,0,2,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Anonymous Class,"com.lhh.frescoimageview.demo.MainActivity.onCreate.(Anon_3)",1,1,1,1,3,0,3,0,1,2,2,0,,0,0,,,,1,0,1,1,0,0,0,1,,5,0,5,0,4,0,,,,1,2,1,1,,,,,,1,1,1,1,,2,0,,0,0,0,00,1,1,1,1
Public Method,"com.lhh.frescoimageview.demo.MainActivity.onCreate.(Anon_3).onClick",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,0,2,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Package,"lib",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
