Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AppUtils.java",1,1,1,1,8,0,6,2,,,,,1,4,0,5,,5,1,0,5,,0,1,0,4,,81,9,36,15,18,36,,,,18,26,15,11,,,,,,2,2,2,1,,,1,,,,1,00,7,7,7,5
File,"ApplicationTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,13,2,8,5,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"ApplicationTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,13,2,8,5,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"BaseActivity.java",1,1,1,1,3,0,3,0,,,,,1,0,1,8,,8,8,0,8,,0,0,7,1,,83,12,44,25,13,27,,,,18,27,17,10,,,,,,1,1,1,1,,,0,,,,0,61,8,8,8,8
File,"BaseApplication.java",1,1,1,1,3,0,3,0,,,,,1,0,1,1,,1,1,0,1,,0,0,0,1,,37,4,9,6,2,24,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,2,67,1,1,1,1
File,"ExampleUnitTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,15,3,9,6,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,33,1,1,1,1
File,"FileUtils.java",2,2,2,1,17,2,11,4,,,,,1,4,1,4,,4,0,0,4,,0,0,0,4,,99,24,55,24,30,22,,,,28,40,24,16,,,,,,5,5,5,1,,,3,,,,0,40,11,11,11,4
File,"FolderAdapter.java",1,1,1,1,9,0,8,0,,,,,5,0,1,9,,10,10,11,10,,1,1,0,8,,153,19,107,44,50,27,,,,62,81,44,37,,,,,,5,5,5,1,,,2,,,,0,25,15,15,16,9
File,"FolderInfo.java",1,1,1,1,8,0,8,0,,,,,1,0,0,2,,2,2,4,2,,0,0,0,2,,56,5,27,12,12,28,,,,11,15,10,5,,,,,,2,2,2,1,,,1,,,,1,04,3,3,3,2
File,"FolderListPopupWindow.java",1,1,1,1,12,1,8,2,,,,,1,0,1,3,,3,3,5,3,,0,2,0,1,,95,18,46,25,21,32,,,,38,42,25,17,,,,,,1,1,1,1,,,0,,,,0,70,3,3,3,3
