Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ArrayRecyclerAdapter.java",1,1,1,1,7,0,6,0,,,,,1,0,0,28,,28,28,2,28,,0,0,0,28,,307,49,239,91,109,19,,,,88,145,57,88,,,,,,9,9,10,6,,,2,,,,0,08,46,46,47,33
File,"BaseLoadingFragment.java",1,1,1,1,3,0,3,0,,,,,1,0,0,5,,6,6,1,6,,1,0,4,1,,64,11,34,20,8,19,,,,21,28,19,9,,,,,,2,2,2,1,,,1,,,,0,56,6,6,6,5
File,"BaseResult.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,16,3,10,5,2,3,,,,4,7,5,2,,,,,,1,1,1,1,,,0,,,,0,30,2,2,2,2
File,"BenefitGoodsItemAdapter.java",1,1,1,1,5,0,5,0,,,,,3,0,0,7,,8,8,3,8,,0,1,1,6,,102,18,65,32,24,19,,,,34,44,29,15,,,,,,2,2,3,1,,,1,,,,0,29,8,8,9,7
File,"BenefitListFragment.java",1,1,1,1,7,0,7,0,,,,,6,0,0,26,,26,26,13,26,,1,10,1,14,,330,37,251,100,132,42,,,,138,185,91,94,,,,,,4,4,5,3,,,3,,,,0,17,43,43,45,32
File,"CollectManager.java",2,2,2,1,6,0,6,0,,,,,1,1,1,2,,2,1,0,2,,0,0,0,2,,25,4,18,6,6,3,,,,6,12,6,6,,,,,,3,3,3,1,,,2,,,,0,17,4,4,4,2
File,"CommonGoodsListFragment.java",1,1,1,1,6,0,6,0,,,,,4,1,0,18,,18,17,12,18,,1,6,0,11,,216,25,176,68,97,15,,,,95,123,62,61,,,,,,4,4,4,3,,,2,,,,0,09,27,27,30,20
File,"Constants.java",0,0,0,0,0,0,0,0,,,,,1,0,7,0,,0,0,0,0,,0,0,0,0,,26,10,10,9,7,10,,,,8,9,9,0,,,,,,0,0,0,0,,,0,,,,1,00,0,0,0,0
File,"DayGoods.java",1,1,1,1,3,0,3,0,,,,,1,0,0,12,,12,12,6,12,,0,0,0,12,,69,16,53,28,12,0,,,,21,34,22,12,,,,,,1,1,1,1,,,0,,,,0,00,12,12,12,12
File,"DayGoodsResult.java",1,1,1,1,3,0,3,0,,,,,1,0,0,4,,4,4,2,4,,0,0,0,4,,27,6,18,9,4,3,,,,8,13,9,4,,,,,,1,1,1,1,,,0,,,,0,17,4,4,4,4
File,"GankApplication.java",1,1,1,1,3,0,3,0,,,,,1,1,1,3,,3,2,0,3,,0,1,0,2,,25,6,19,10,5,0,,,,10,14,9,5,,,,,,1,1,1,1,,,0,,,,0,00,3,3,3,3
File,"GankCloudApi.java",1,1,1,1,6,0,6,0,,,,,3,1,5,9,,14,13,2,14,,5,0,0,9,,143,29,112,66,38,2,,,,49,66,44,22,,,,,,3,3,3,3,,,2,,,,0,02,14,14,14,11
File,"GankMigration.java",1,1,1,1,3,1,2,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,32,5,8,6,0,19,,,,4,6,6,0,,,,,,1,1,1,1,,,0,,,,2,38,1,1,1,1
File,"GankRealmHelper.java",1,1,1,1,9,0,9,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,38,4,15,9,7,19,,,,8,10,8,2,,,,,,1,1,1,1,,,0,,,,1,27,1,1,1,1
File,"Goods.java",1,1,1,1,3,0,3,0,,,,,1,0,0,20,,20,20,10,20,,0,0,0,20,,108,22,73,32,20,13,,,,31,52,32,20,,,,,,1,1,1,1,,,0,,,,0,18,20,20,20,20
