Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"Blur.java",1,1,1,1,10,1,8,0,,,,,1,1,1,4,,4,3,7,4,,0,2,0,2,,67,14,50,21,26,3,,,,35,43,21,22,,,,,,3,3,3,1,,,1,,,,0,06,7,7,7,4
File,"ByteArrayHttpClient.java",7,7,7,5,27,0,27,0,,,,,1,1,2,1,,1,0,0,1,,0,0,0,1,,49,6,43,21,24,0,,,,27,32,21,11,,,,,,7,7,7,5,,,2,,,,0,00,7,7,7,5
File,"GifDataDownloader.java",3,3,3,3,13,2,11,0,,,,,1,0,1,1,,1,1,0,1,,0,0,1,0,,22,5,17,7,9,0,,,,9,13,7,6,,,,,,3,3,3,3,,,1,,,,0,00,3,3,3,3
File,"GifDecoder.java",3,3,4,1,19,0,14,4,,,,,2,1,15,36,,42,41,24,42,,32,10,0,0,,929,92,592,158,390,246,,,,339,462,157,305,,,,,,23,22,28,9,,,4,,,,0,42,127,125,144,50
File,"GifFrame.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,11,0,,0,0,0,0,,54,1,11,10,0,42,,,,9,10,10,0,,,,,,0,0,0,0,,,0,,,,3,82,0,0,0,0
File,"GifGridAdapter.java",1,1,1,1,6,0,6,0,,,,,2,0,0,6,,6,6,2,6,,0,0,1,5,,62,9,53,25,22,0,,,,30,38,22,16,,,,,,2,2,2,1,,,0,,,,0,00,7,7,7,6
File,"GifHeader.java",1,1,1,1,3,0,3,0,,,,,1,0,0,4,,4,4,13,4,,0,0,0,4,,75,9,30,21,9,36,,,,20,25,21,4,,,,,,1,1,1,1,,,0,,,,1,20,4,4,4,4
File,"GifHeaderParser.java",2,2,3,1,17,0,12,4,,,,,1,0,4,20,,20,20,4,20,,0,15,0,5,,426,38,265,59,184,125,,,,147,198,61,137,,,,,,13,7,15,1,,,4,,,,0,47,58,52,62,20
File,"GifImageView.java",1,1,2,1,6,0,6,0,,,,,6,0,1,25,,28,28,13,28,,3,2,1,22,,242,37,188,59,97,17,,,,90,135,58,77,,,,,,12,12,14,4,,,3,,,,0,09,43,43,50,28
File,"GridViewActivity.java",2,2,2,1,13,2,11,1,,,,,1,0,1,1,,1,1,0,1,,0,0,1,0,,27,6,21,13,9,1,,,,16,19,13,6,,,,,,2,2,2,1,,,1,,,,0,05,2,2,2,1
