Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"App.java",1,1,1,1,4,0,4,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,17,4,10,6,2,3,,,,5,7,5,2,,,,,,1,1,1,1,,,0,,,,0,30,1,1,1,1
File,"Constant.java",0,0,0,0,0,0,0,0,,,,,1,0,4,0,,0,0,0,0,,0,0,0,0,,24,2,7,6,4,15,,,,5,6,6,0,,,,,,0,0,0,0,,,0,,,,2,14,0,0,0,0
File,"DES3.java",3,3,3,3,16,0,12,5,,,,,1,3,1,3,,3,0,0,3,,0,0,0,3,,80,9,46,16,28,29,,,,28,34,16,18,,,,,,4,4,4,4,,,1,,,,0,63,9,9,9,9
File,"ExampleInstrumentedTest.java",1,1,1,1,6,1,4,1,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,26,5,15,12,2,6,,,,9,11,10,1,,,,,,1,1,1,1,,,0,,,,0,40,1,1,1,1
File,"ExampleInstrumentedTest.java",1,1,1,1,6,1,4,1,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,26,5,15,12,2,6,,,,9,11,10,1,,,,,,1,1,1,1,,,0,,,,0,40,1,1,1,1
File,"ExampleUnitTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,17,3,9,6,1,5,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,56,1,1,1,1
File,"ExampleUnitTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,17,3,9,6,1,5,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,56,1,1,1,1
File,"IDResourceHelper.java",1,1,1,1,6,0,3,2,,,,,1,1,1,4,,4,3,0,4,,0,1,0,3,,43,10,18,8,5,15,,,,6,12,8,4,,,,,,2,2,2,1,,,1,,,,0,83,5,5,5,4
File,"IdResource.java",1,1,1,1,3,0,3,0,,,,,1,0,0,6,,6,6,2,6,,0,0,0,6,,36,9,24,11,6,3,,,,10,17,11,6,,,,,,1,1,1,1,,,0,,,,0,12,6,6,6,6
File,"JesHttpUtils.java",1,1,1,1,7,0,6,1,,,,,3,4,1,9,,9,5,1,9,,0,3,0,6,,89,15,61,23,32,13,,,,26,37,27,10,,,,,,2,2,2,1,,,1,,,,0,21,10,10,10,9
File,"JesStatistics.java",3,3,3,2,18,0,15,1,,,,,3,0,2,13,,13,13,1,13,,0,9,0,4,,228,25,174,48,112,29,,,,83,119,48,71,,,,,,8,8,9,8,,,3,,,,0,17,41,41,45,30
File,"JesStatisticsManager.java",1,1,1,1,13,1,9,2,,,,,2,6,6,13,,13,7,0,13,,0,1,0,12,,175,27,118,37,75,30,,,,61,81,44,37,,,,,,4,4,5,1,,,3,,,,0,25,19,19,20,13
File,"JesStatisticsService.java",1,1,1,1,3,0,3,0,,,,,1,0,0,4,,4,4,0,4,,0,0,0,4,,33,7,23,15,5,3,,,,10,15,12,3,,,,,,1,1,1,1,,,0,,,,0,13,4,4,4,4
File,"JesStatisticsType.java",0,0,0,0,0,0,0,0,,,,,1,0,3,0,,0,0,0,0,,0,0,0,0,,10,1,6,5,3,3,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,0,50,0,0,0,0
File,"MD5.java",1,1,1,1,7,0,7,0,,,,,1,3,1,4,,4,1,0,4,,0,2,0,2,,49,7,36,16,20,6,,,,20,28,16,12,,,,,,2,2,2,1,,,1,,,,0,17,7,7,7,4
File,"MainActivity.java",1,1,1,1,4,0,4,0,,,,,1,0,0,1,,1,1,0,1,,0,0,1,0,,13,3,10,6,2,0,,,,5,7,5,2,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"OkStatisticsDialog.java",1,1,1,1,9,0,9,0,,,,,3,1,1,7,,7,6,6,7,,0,2,2,3,,96,16,77,35,40,4,,,,52,61,35,26,,,,,,2,2,2,1,,,1,,,,0,05,8,8,8,7
File,"ReflectUtils.java",3,3,3,1,23,0,13,9,,,,,1,11,2,11,,11,0,0,11,,0,3,0,8,,307,21,157,53,95,129,,,,76,118,47,71,,,,,,7,7,7,1,,,3,,,,0,82,37,37,38,11
File,"ResourceUtils.java",4,4,4,3,21,0,17,4,,,,,1,3,2,3,,3,0,0,3,,0,1,0,2,,83,7,61,24,39,15,,,,36,50,27,23,,,,,,5,5,6,5,,,4,,,,0,25,12,12,13,10
File,"StatisticsInfo.java",1,1,1,1,3,0,3,0,,,,,1,0,0,11,,11,11,5,11,,0,0,0,11,,64,12,48,19,17,9,,,,17,29,18,11,,,,,,1,1,1,1,,,0,,,,0,19,11,11,11,11
File,"StatisticsUtils.java",2,2,2,1,11,0,8,3,,,,,1,6,1,6,,6,0,0,6,,0,0,0,6,,103,12,70,33,34,21,,,,42,57,35,22,,,,,,4,4,4,4,,,2,,,,0,30,13,13,13,9
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.richardliu",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.richardliu.jesstatistics",1,1,1,1,4,0,3,0,,,,,4,0,0,,4,,4,0,4,,0,0,1,3,,73,15,44,30,7,14,,,,23,31,25,6,,,,,,1,1,1,1,,,0,,,,0,32,4,4,4,4
Public Class,"com.richardliu.jesstatistics.App",1,1,1,1,4,0,4,0,1,1,1,0,,0,0,,,,1,0,1,1,0,0,0,1,,10,0,7,3,2,3,,,,2,4,2,2,,,,,,1,1,1,1,,2,0,,0,0,0,43,1,1,1,1
Public Method,"com.richardliu.jesstatistics.App.onCreate",,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,4,1,2,0,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Class,"com.richardliu.jesstatistics.ExampleInstrumentedTest",1,1,1,1,6,1,4,1,1,0,0,0,,0,0,,,,1,0,1,1,0,0,0,1,,14,1,7,4,2,6,,,,2,4,3,1,,,,,,1,1,1,1,,1,0,,0,0,0,86,1,1,1,1
Public Method,"com.richardliu.jesstatistics.ExampleInstrumentedTest.useAppContext",,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,1,4,2,2,1,3,1,0,2,3,2,1,1,1,1,1,0,,,,,0,,0,0,,,0,25,1,1,1,1
Public Class,"com.richardliu.jesstatistics.ExampleUnitTest",1,1,1,1,3,0,3,0,1,0,0,0,,0,0,,,,1,0,1,1,0,0,0,1,,10,0,5,3,1,5,,,,1,3,2,1,,,,,,1,1,1,1,,1,0,,0,0,1,00,1,1,1,1
Public Method,"com.richardliu.jesstatistics.ExampleUnitTest.addition_isCorrect",,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Class,"com.richardliu.jesstatistics.MainActivity",1,1,1,1,4,0,4,0,1,0,0,0,,0,0,,,,1,0,1,1,0,0,1,0,,8,1,7,3,2,0,,,,2,4,2,2,,,,,,1,1,1,1,,2,0,,0,0,0,00,1,1,1,1
Protected Method,"com.richardliu.jesstatistics.MainActivity.onCreate",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,1,2,0,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Package,"com.richardliu.jesstatisticslib",2,2,2,1,14,0,12,1,,,,,9,6,15,,6,,22,1,28,,0,10,0,18,,480,63,329,114,197,88,,,,166,228,118,110,,,,,,8,8,9,8,,,3,,,,0,27,62,62,67,45
Public Class,"com.richardliu.jesstatisticslib.Constant",0,0,0,0,0,0,0,0,1,0,0,0,,0,4,,,,0,0,0,0,0,0,0,0,,22,1,6,5,4,15,,,,4,5,5,0,,,,,,0,0,0,0,,1,0,,0,0,2,50,0,0,0,0
Public Class,"com.richardliu.jesstatisticslib.ExampleInstrumentedTest",1,1,1,1,6,1,4,1,1,0,0,0,,0,0,,,,1,0,1,1,0,0,0,1,,14,1,7,4,2,6,,,,2,4,3,1,,,,,,1,1,1,1,,1,0,,0,0,0,86,1,1,1,1
Public Method,"com.richardliu.jesstatisticslib.ExampleInstrumentedTest.useAppContext",,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,1,4,2,2,1,3,1,0,2,3,2,1,1,1,1,1,0,,,,,0,,0,0,,,0,25,1,1,1,1
Public Class,"com.richardliu.jesstatisticslib.ExampleUnitTest",1,1,1,1,3,0,3,0,1,0,0,0,,0,0,,,,1,0,1,1,0,0,0,1,,10,0,5,3,1,5,,,,1,3,2,1,,,,,,1,1,1,1,,1,0,,0,0,1,00,1,1,1,1
Public Method,"com.richardliu.jesstatisticslib.ExampleUnitTest.addition_isCorrect",,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Class,"com.richardliu.jesstatisticslib.JesStatistics",3,3,3,2,16,0,13,2,1,2,2,0,,0,2,,,,11,1,11,11,0,9,0,2,,208,21,158,32,112,29,,,,67,103,32,71,,,,,,8,8,9,8,,1,3,,81,77,0,18,36,36,40,28
Public Constructor,"com.richardliu.jesstatisticslib.JesStatistics.JesStatistics",,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,4,1,2,0,3,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Private Method,"com.richardliu.jesstatisticslib.JesStatistics.countLevelFromViewToFather",,,,,,,,,,,,,,,,,,,,,,,,,,,4,24,0,17,3,12,7,4,5,1,7,12,3,9,5,5,5,5,5,,,,,5,,2,5,,,0,41,5,5,5,5
Private Method,"com.richardliu.jesstatisticslib.JesStatistics.getClassByListenerName",,,,,,,,,,,,,,,,,,,,,,,,,,,4,15,0,15,2,12,0,2,4,1,6,10,2,8,4,4,6,1,3,,,,,0,,1,0,,,0,00,4,4,6,1
Private Method,"com.richardliu.jesstatisticslib.JesStatistics.getListener",,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Private Method,"com.richardliu.jesstatisticslib.JesStatistics.getListener",,,,,,,,,,,,,,,,,,,,,,,,,,,7,36,1,24,4,19,11,5,7,1,9,13,3,10,8,8,9,7,16,,,,,16,,2,16,,,0,46,8,8,9,7
Private Method,"com.richardliu.jesstatisticslib.JesStatistics.handleOnClickListener",,,,,,,,,,,,,,,,,,,,,,,,,,,3,16,2,13,2,9,1,4,3,0,5,8,2,6,3,3,3,1,2,,,,,0,,2,0,,,0,08,3,3,3,1
Private Method,"com.richardliu.jesstatisticslib.JesStatistics.hookOnClickListener",,,,,,,,,,,,,,,,,,,,,,,,,,,2,41,1,35,6,27,5,1,1,0,18,24,7,17,1,1,1,1,0,,,,,0,,0,0,,,0,14,1,1,1,1
Anonymous Class,"com.richardliu.jesstatisticslib.JesStatistics.hookOnClickListener.(Anon_1)",2,2,2,1,31,1,30,0,1,1,1,0,,0,0,,,,1,0,1,1,0,0,0,1,,33,1,32,5,26,0,,,,17,22,6,16,,,,,,2,2,2,1,,2,0,,0,0,0,00,2,2,2,1
Public Method,"com.richardliu.jesstatisticslib.JesStatistics.hookOnClickListener.(Anon_1).run",,,,,,,,,,,,,,,,,,,,,,,,,,,1,31,1,30,5,24,0,2,2,0,17,22,6,16,2,2,2,1,1,,,,,0,,0,0,,,0,00,2,2,2,1
Anonymous Class,"com.richardliu.jesstatisticslib.JesStatistics.hookOnClickListener.(Anon_1).run.(Anon_2)",3,3,3,1,21,0,21,0,1,8,8,0,,0,0,,,,1,0,1,1,0,0,0,1,,24,1,23,4,20,0,,,,14,17,4,13,,,,,,3,3,3,1,,2,2,,0,0,0,00,3,3,3,1
Public Method,"com.richardliu.jesstatisticslib.JesStatistics.hookOnClickListener.(Anon_1).run.(Anon_2).onClick",,,,,,,,,,,,,,,,,,,,,,,,,,,9,21,0,21,3,18,0,17,3,0,14,17,4,13,3,3,3,1,1,,,,,0,,2,0,,,0,00,3,3,3,1
Private Method,"com.richardliu.jesstatisticslib.JesStatistics.init",,,,,,,,,,,,,,,,,,,,,,,,,,,3,13,1,11,3,7,1,6,3,0,5,9,4,5,3,3,3,1,1,,,,,0,,1,0,,,0,09,3,3,3,1
Public Method,"com.richardliu.jesstatisticslib.JesStatistics.removeActivity",,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Private Method,"com.richardliu.jesstatisticslib.JesStatistics.setListener",,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Private Method,"com.richardliu.jesstatisticslib.JesStatistics.setListener",,,,,,,,,,,,,,,,,,,,,,,,,,,8,26,1,25,4,19,0,5,8,1,9,14,3,11,8,8,9,8,18,,,,,18,,3,18,,,0,00,8,8,9,8
Public Class,"com.richardliu.jesstatisticslib.JesStatisticsManager",1,1,1,1,22,2,16,4,1,5,5,0,,6,6,,,,0,0,6,6,0,1,0,5,,157,23,104,23,75,30,,,,47,67,30,37,,,,,,4,4,5,1,,1,3,,66,66,0,29,10,10,11,6
Public Static Method,"com.richardliu.jesstatisticslib.JesStatisticsManager.customCollect",,,,,,,,,,,,,,,,,,,,,,,,,,,5,16,0,9,2,7,7,6,1,0,7,8,2,6,1,1,1,1,0,,,,,0,,0,0,,,0,78,1,1,1,1
Public Static Method,"com.richardliu.jesstatisticslib.JesStatisticsManager.customCollect",,,,,,,,,,,,,,,,,,,,,,,,,,,3,10,0,7,2,5,3,3,1,0,3,4,2,2,1,1,1,1,0,,,,,0,,0,0,,,0,43,1,1,1,1
Public Static Method,"com.richardliu.jesstatisticslib.JesStatisticsManager.customCollectForOrder",,,,,,,,,,,,,,,,,,,,,,,,,,,6,18,0,10,2,8,8,3,1,0,3,4,2,2,1,1,1,1,0,,,,,0,,0,0,,,0,80,1,1,1,1
Public Static Method,"com.richardliu.jesstatisticslib.JesStatisticsManager.init",,,,,,,,,,,,,,,,,,,,,,,,,,,3,65,13,50,4,38,2,12,2,0,19,30,11,19,2,2,2,1,1,,,,,0,,0,0,,,0,04,2,2,2,1
Anonymous Class,"com.richardliu.jesstatisticslib.JesStatisticsManager.init.(Anon_1)",1,1,1,1,5,0,4,0,1,5,5,0,,0,0,,,,7,0,7,7,0,0,0,7,,49,11,37,1,28,1,,,,10,19,8,11,,,,,,3,3,3,1,,2,2,,0,0,0,03,9,9,9,7
Public Method,"com.richardliu.jesstatisticslib.JesStatisticsManager.init.(Anon_1).onActivityCreated",,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,2,0,1,0,0,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.richardliu.jesstatisticslib.JesStatisticsManager.init.(Anon_1).onActivityDestroyed",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,0,2,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.richardliu.jesstatisticslib.JesStatisticsManager.init.(Anon_1).onActivityPaused",,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,2,0,1,0,0,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.richardliu.jesstatisticslib.JesStatisticsManager.init.(Anon_1).onActivityResumed",,,,,,,,,,,,,,,,,,,,,,,,,,,6,17,0,16,1,13,1,12,3,0,9,12,2,10,3,3,3,1,1,,,,,0,,2,0,,,0,06,3,3,3,1
Public Method,"com.richardliu.jesstatisticslib.JesStatisticsManager.init.(Anon_1).onActivitySaveInstanceState",,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,2,0,1,0,0,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.richardliu.jesstatisticslib.JesStatisticsManager.init.(Anon_1).onActivityStarted",,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,2,0,1,0,0,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.richardliu.jesstatisticslib.JesStatisticsManager.init.(Anon_1).onActivityStopped",,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,2,0,1,0,0,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Private Static Method,"com.richardliu.jesstatisticslib.JesStatisticsManager.initDB",,,,,,,,,,,,,,,,,,,,,,,,,,,7,18,0,17,5,12,1,12,4,1,8,12,5,7,4,4,5,1,1,,,,,0,,3,0,,,0,06,4,4,5,1
Public Static Method,"com.richardliu.jesstatisticslib.JesStatisticsManager.setUserId",,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,0,3,1,1,5,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,1,67,1,1,1,1
Public Class,"com.richardliu.jesstatisticslib.JesStatisticsType",0,0,0,0,0,0,0,0,1,0,0,0,,0,3,,,,0,0,0,0,0,0,0,0,,8,0,5,4,3,3,,,,3,4,4,0,,,,,,0,0,0,0,,1,0,,0,0,0,60,0,0,0,0
Package,"com.richardliu.jesstatisticslib.bean",1,1,1,1,3,0,3,0,,,,,2,0,0,,2,,17,7,17,,0,0,0,17,,100,21,72,30,23,12,,,,27,46,29,17,,,,,,1,1,1,1,,,0,,,,0,17,17,17,17,17
Public Class,"com.richardliu.jesstatisticslib.bean.IdResource",1,1,1,1,3,0,3,0,2,0,0,0,,0,0,,,,6,2,6,6,0,0,0,6,,32,7,22,9,6,3,,,,8,15,9,6,,,,,,1,1,1,1,,1,0,,50,50,0,14,6,6,6,6
Public Constructor,"com.richardliu.jesstatisticslib.bean.IdResource.IdResource",,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Constructor,"com.richardliu.jesstatisticslib.bean.IdResource.IdResource",,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,4,1,2,0,3,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.richardliu.jesstatisticslib.bean.IdResource.getId",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.richardliu.jesstatisticslib.bean.IdResource.getName",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.richardliu.jesstatisticslib.bean.IdResource.setId",,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.richardliu.jesstatisticslib.bean.IdResource.setName",,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Class,"com.richardliu.jesstatisticslib.bean.StatisticsInfo",1,1,1,1,3,0,3,0,1,0,0,0,,0,0,,,,11,5,11,11,0,0,0,11,,62,11,47,18,17,9,,,,16,28,17,11,,,,,,1,1,1,1,,1,0,,72,72,0,19,11,11,11,11
Public Method,"com.richardliu.jesstatisticslib.bean.StatisticsInfo.getA",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.richardliu.jesstatisticslib.bean.StatisticsInfo.getP",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.richardliu.jesstatisticslib.bean.StatisticsInfo.getT",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.richardliu.jesstatisticslib.bean.StatisticsInfo.getU",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.richardliu.jesstatisticslib.bean.StatisticsInfo.getUa",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.richardliu.jesstatisticslib.bean.StatisticsInfo.setA",,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.richardliu.jesstatisticslib.bean.StatisticsInfo.setP",,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.richardliu.jesstatisticslib.bean.StatisticsInfo.setT",,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.richardliu.jesstatisticslib.bean.StatisticsInfo.setU",,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
