Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AndroidMicroServer.java",2,2,2,1,16,1,11,3,,,,,3,0,1,9,,9,9,5,9,,0,2,0,7,,191,36,97,35,57,58,,,,50,72,39,33,,,,,,4,4,4,3,,,2,,,,0,60,19,19,19,11
File,"AnimationUtils.java",1,1,2,1,23,2,17,4,,,,,3,2,0,5,,7,5,0,7,,2,0,0,5,,138,20,90,39,63,33,,,,59,69,37,32,,,,,,3,3,4,1,,,1,,,,0,37,9,9,10,5
File,"ApMgr.java",2,2,2,1,14,0,13,1,,,,,1,4,0,4,,4,0,0,4,,0,0,0,4,,95,9,61,20,38,26,,,,33,44,20,24,,,,,,3,3,3,1,,,2,,,,0,43,10,10,10,4
File,"ApkUtils.java",2,2,3,1,23,2,14,7,,,,,1,12,0,12,,12,0,0,12,,0,0,0,12,,345,53,190,70,125,104,,,,115,148,68,80,,,,,,6,6,7,3,,,2,,,,0,55,34,34,37,16
File,"AppContext.java",1,1,1,1,9,0,4,4,,,,,1,1,4,16,,16,15,2,16,,0,0,0,16,,228,35,95,34,41,99,,,,40,71,35,36,,,,,,3,3,3,1,,,2,,,,1,04,28,28,30,16
File,"ApplicationTest.java",1,1,1,1,4,0,4,0,,,,,1,2,0,4,,4,2,0,4,,0,0,0,4,,35,9,23,11,9,3,,,,13,18,11,7,,,,,,1,1,1,1,,,0,,,,0,13,4,4,4,4
File,"BaseActivity.java",1,1,1,1,8,0,5,2,,,,,1,0,3,4,,4,4,2,4,,0,0,3,1,,75,16,36,18,14,23,,,,21,28,17,11,,,,,,2,2,3,1,,,1,,,,0,64,6,6,7,4
File,"BaseTransfer.java",0,0,0,0,0,0,0,0,,,,,1,0,7,0,,0,0,0,0,,0,0,0,0,,32,5,10,9,7,19,,,,8,9,9,0,,,,,,0,0,0,0,,,0,,,,1,90,0,0,0,0
File,"ChooseFileActivity.java",2,2,2,1,13,1,9,2,,,,,4,0,1,18,,18,18,17,18,,0,4,2,12,,344,53,231,83,118,71,,,,127,169,72,97,,,,,,8,5,8,7,,,2,,,,0,31,43,40,44,24
File,"ChooseReceiverActivity.java",2,2,2,1,17,1,12,4,,,,,4,0,3,15,,15,15,8,15,,0,8,1,6,,353,49,230,88,126,79,,,,136,171,82,89,,,,,,5,5,8,3,,,3,,,,0,34,34,33,38,17
File,"ClassifyUtils.java",10,7,10,1,51,3,33,15,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,68,8,41,10,21,19,,,,17,26,11,15,,,,,,10,7,10,1,,,3,,,,0,46,10,7,10,1
File,"ClientActivity.java",2,1,2,1,20,2,15,2,,,,,11,0,7,24,,24,24,19,24,,0,1,5,18,,428,74,305,98,190,49,,,,173,224,105,119,,,,,,9,6,9,5,,,2,,,,0,16,50,46,51,28
File,"CommonAdapter.java",1,1,1,1,5,0,3,2,,,,,1,0,0,9,,10,10,2,10,,0,0,0,10,,92,15,45,23,12,32,,,,21,31,19,12,,,,,,1,1,1,1,,,0,,,,0,71,9,9,9,9
File,"Constant.java",3,3,3,3,9,0,9,0,,,,,3,0,18,2,,2,2,0,2,,0,0,0,2,,111,27,44,25,32,41,,,,28,35,25,10,,,,,,3,3,3,3,,,1,,,,0,93,6,6,6,6
File,"DownloadResUriHandler.java",3,3,3,1,22,2,17,2,,,,,1,0,1,4,,4,4,1,4,,0,0,0,4,,127,23,89,33,53,16,,,,50,64,30,34,,,,,,10,10,11,1,,,3,,,,0,18,13,13,14,4
File,"ExampleUnitTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,15,3,9,6,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,33,1,1,1,1
File,"FileInfo.java",1,1,1,1,5,0,4,0,,,,,1,4,13,25,,25,21,9,25,,0,0,0,25,,252,51,156,67,79,45,,,,84,118,68,50,,,,,,5,5,5,1,,,4,,,,0,29,32,32,32,25
File,"FileInfoAdapter.java",8,8,9,1,41,4,35,3,,,,,5,0,0,3,,3,3,14,3,,0,0,0,3,,182,25,143,39,86,18,,,,80,104,38,66,,,,,,23,23,27,1,,,3,,,,0,13,25,25,29,3
File,"FileInfoFragment.java",2,2,2,1,10,0,8,1,,,,,3,1,0,18,,18,17,8,18,,0,2,3,13,,246,35,185,70,95,35,,,,94,137,58,79,,,,,,6,6,7,1,,,2,,,,0,19,41,41,45,18
File,"FileInfoSeletedAdapter.java",1,1,1,1,12,1,9,2,,,,,4,0,0,8,,9,9,11,9,,1,0,0,8,,168,29,114,49,53,28,,,,70,87,45,42,,,,,,6,6,7,1,,,1,,,,0,25,14,14,15,8
File,"FileReceiver.java",3,3,4,1,21,3,15,3,,,,,2,0,1,9,,15,15,6,15,,6,0,0,9,,268,50,173,59,104,46,,,,99,139,54,85,,,,,,10,10,10,5,,,3,,,,0,27,35,35,36,13
File,"FileReceiverActivity.java",2,2,2,1,15,1,11,2,,,,,5,0,4,21,,21,21,25,21,,0,4,1,16,,408,65,277,103,158,72,,,,165,206,96,110,,,,,,6,6,6,3,,,2,,,,0,26,42,42,42,23
