Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AlreadyUsedException.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,23,2,3,2,0,18,,,,1,2,2,0,,,,,,0,0,0,0,,,0,,,,6,00,0,0,0,0
File,"CLog.java",1,1,1,1,3,0,3,0,,,,,1,3,7,3,,3,0,0,3,,0,0,0,3,,48,9,24,15,12,15,,,,17,22,15,7,,,,,,2,2,2,1,,,1,,,,0,62,5,5,5,3
File,"CameraSize.java",1,1,1,1,3,0,3,0,,,,,1,0,0,3,,3,3,2,3,,0,0,0,3,,39,6,15,7,4,18,,,,7,11,7,4,,,,,,1,1,1,1,,,0,,,,1,20,3,3,3,3
File,"CameraSizeTest.java",1,1,1,1,4,0,3,0,,,,,1,0,0,3,,3,3,0,3,,0,0,0,3,,52,10,24,17,5,18,,,,11,15,12,3,,,,,,1,1,1,1,,,0,,,,0,75,3,3,3,3
File,"CameraWrapper.java",2,2,2,1,11,0,9,1,,,,,1,0,0,15,,15,15,2,15,,0,1,1,13,,224,30,156,52,90,38,,,,85,123,52,71,,,,,,8,8,8,4,,,3,,,,0,24,35,35,35,20
File,"CameraWrapperTest.java",1,1,1,1,8,1,7,0,,,,,1,0,0,28,,28,28,0,28,,0,3,0,25,,342,73,254,134,138,15,,,,145,182,106,76,,,,,,2,2,3,1,,,1,,,,0,06,36,36,37,28
File,"CaptureConfiguration.java",1,1,1,1,5,0,4,0,,,,,3,1,5,35,,35,34,14,35,,0,2,0,33,,283,47,199,75,105,38,,,,106,143,62,81,,,,,,3,3,3,1,,,0,,,,0,19,37,37,37,35
File,"CaptureConfigurationBuilderTest.java",1,1,1,1,5,1,4,0,,,,,1,0,8,12,,12,12,0,12,,0,0,0,12,,114,30,81,56,32,3,,,,42,55,43,12,,,,,,1,1,1,1,,,0,,,,0,04,12,12,12,12
File,"CaptureConfigurationTest.java",1,1,1,1,7,1,6,0,,,,,1,0,0,8,,8,8,0,8,,0,1,0,7,,103,22,66,36,31,15,,,,31,40,26,14,,,,,,1,1,1,1,,,0,,,,0,23,8,8,8,8
File,"CaptureDemoFragment.java",2,2,2,1,10,0,9,0,,,,,1,0,0,18,,18,18,18,18,,0,11,0,7,,290,43,228,100,127,20,,,,141,179,90,89,,,,,,6,6,6,1,,,1,,,,0,09,40,38,40,18
