Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AudioEncoder.java",4,4,4,2,28,3,20,5,,,,,1,1,4,7,,7,6,6,7,,0,1,0,6,,242,36,167,43,106,42,,,,96,125,45,80,,,,,,9,9,10,5,,,3,,,,0,25,30,30,31,20
File,"AudioHandler.java",2,2,2,1,10,1,8,1,,,,,1,0,2,4,,4,4,1,4,,0,0,0,4,,68,14,47,17,25,7,,,,25,34,16,18,,,,,,5,4,5,1,,,2,,,,0,15,9,8,9,4
File,"AudioRecorderThread.java",2,2,2,1,19,4,14,0,,,,,1,0,1,3,,3,3,5,3,,0,0,0,3,,86,23,58,24,32,5,,,,36,44,22,22,,,,,,4,4,4,3,,,2,,,,0,09,7,7,8,5
File,"AudioTagPayloadReader.java",2,2,3,1,12,0,11,1,,,,,1,0,5,4,,4,4,3,4,,0,0,2,2,,101,12,66,38,38,24,,,,39,49,31,18,,,,,,6,6,7,1,,,2,,,,0,36,11,11,14,4
File,"CameraHandler.java",1,1,1,1,9,0,7,1,,,,,2,0,2,3,,4,4,1,4,,1,0,0,3,,68,16,37,18,16,16,,,,20,27,17,10,,,,,,3,3,3,1,,,1,,,,0,43,5,5,5,3
File,"CameraProxy.java",1,1,2,1,7,0,6,0,,,,,3,0,15,20,,20,20,6,20,,0,1,0,19,,228,45,179,57,108,4,,,,101,129,55,74,,,,,,16,4,16,1,,,2,,,,0,02,38,26,40,20
File,"CameraResolutionsFragment.java",1,1,1,1,8,1,7,0,,,,,3,0,3,11,,11,11,8,11,,0,2,0,9,,162,38,118,52,50,6,,,,63,83,44,39,,,,,,4,4,5,1,,,2,,,,0,05,17,17,19,11
File,"CameraSurfaceRenderer.java",2,2,2,1,14,1,9,3,,,,,1,0,6,17,,17,17,17,17,,0,1,0,16,,338,56,210,61,126,76,,,,121,155,56,99,,,,,,13,8,14,1,,,3,,,,0,36,39,34,40,17
File,"DefaultExtractorsFactoryForFLV.java",8,8,8,1,55,0,45,10,,,,,1,0,1,2,,2,2,0,2,,0,0,0,2,,132,7,101,13,71,24,,,,27,46,13,33,,,,,,14,14,14,1,,,2,,,,0,24,17,17,17,2
File,"Drawable2d.java",1,1,1,1,8,0,5,2,,,,,2,0,13,10,,8,10,10,10,,0,0,0,10,,197,17,116,68,65,86,,,,51,63,32,31,,,,,,4,2,4,1,,,1,,,,0,74,14,12,14,10
