Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AnimateActivity.java",1,1,1,1,15,0,12,3,,,,,3,0,0,3,,3,3,1,3,,0,0,1,2,,60,9,41,20,19,10,,,,24,28,20,8,,,,,,1,1,1,1,,,0,,,,0,24,3,3,3,3
File,"AnimateCallback.java",1,1,1,1,6,0,6,0,,,,,1,0,0,4,,4,4,2,4,,0,0,2,2,,57,9,42,22,16,6,,,,25,31,17,14,,,,,,2,2,2,1,,,1,,,,0,14,5,5,5,4
File,"App.java",2,2,2,1,12,0,10,1,,,,,1,0,0,2,,2,2,0,2,,0,1,0,1,,48,7,33,13,15,8,,,,15,20,12,8,,,,,,2,2,2,1,,,1,,,,0,24,4,4,4,2
File,"BaseFragment.java",1,1,1,1,6,0,6,0,,,,,2,0,0,3,,6,6,1,6,,0,0,3,3,,52,10,36,23,10,6,,,,22,26,20,6,,,,,,1,1,1,1,,,0,,,,0,17,3,3,3,3
File,"BaseTitleActivity.java",1,1,1,1,8,0,8,0,,,,,3,0,0,5,,10,10,2,10,,0,2,6,2,,78,13,59,31,27,6,,,,39,46,31,15,,,,,,3,3,3,1,,,0,,,,0,10,7,7,7,5
File,"BestPracticesActivity.java",1,1,1,1,3,0,3,0,,,,,1,0,0,3,,3,3,0,3,,0,0,1,2,,30,5,19,12,3,6,,,,10,14,11,3,,,,,,1,1,1,1,,,0,,,,0,32,3,3,3,3
File,"Callback.java",1,1,1,1,7,0,6,1,,,,,3,0,0,15,,17,17,4,17,,3,0,5,9,,153,23,100,36,45,30,,,,49,73,37,36,,,,,,4,4,5,1,,,1,,,,0,30,22,22,23,15
File,"Convertor.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,13,2,5,4,0,6,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,,1,20,0,0,0,0
File,"ConvertorActivity.java",1,1,1,1,12,0,11,0,,,,,5,0,2,7,,7,7,4,7,,2,0,1,4,,108,16,83,35,43,9,,,,45,56,36,20,,,,,,4,3,4,1,,,2,,,,0,11,10,9,10,7
File,"CustomCallback.java",1,1,1,1,5,0,5,0,,,,,2,0,0,3,,3,3,0,3,,0,0,2,1,,35,6,23,11,8,6,,,,11,15,10,5,,,,,,1,1,1,1,,,0,,,,0,26,3,3,3,3
File,"DefaultCallbackActivity.java",1,1,1,1,18,3,14,0,,,,,2,0,0,2,,2,2,1,2,,0,0,1,1,,62,14,41,22,22,7,,,,22,25,19,6,,,,,,1,1,1,1,,,0,,,,0,17,2,2,2,2
File,"EmptyCallback.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,1,0,,21,6,9,6,1,6,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,67,1,1,1,1
File,"ErrorCallback.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,1,0,,20,5,9,6,1,6,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,67,1,1,1,1
File,"ExampleInstrumentedTest.java",1,1,1,1,6,1,4,1,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,26,5,15,12,2,6,,,,9,11,10,1,,,,,,1,1,1,1,,,0,,,,0,40,1,1,1,1
File,"ExampleUnitTest.java",1,1,1,1,7,0,7,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,24,5,14,8,5,5,,,,9,11,7,4,,,,,,1,1,1,1,,,0,,,,0,36,1,1,1,1
File,"FragmentA.java",1,1,1,1,5,0,4,1,,,,,1,0,0,3,,3,3,1,3,,0,0,3,0,,47,7,30,20,6,10,,,,18,22,16,6,,,,,,1,1,1,1,,,0,,,,0,33,3,3,3,3
File,"FragmentB.java",1,1,1,1,5,0,4,1,,,,,1,0,0,3,,3,3,1,3,,0,0,3,0,,45,6,29,19,6,10,,,,17,21,15,6,,,,,,1,1,1,1,,,0,,,,0,34,3,3,3,3
File,"FragmentSingleActivity.java",1,1,1,1,6,1,5,0,,,,,1,0,1,1,,1,1,0,1,,0,0,1,0,,26,7,13,8,4,6,,,,8,10,7,3,,,,,,1,1,1,1,,,0,,,,0,46,1,1,1,1
File,"HintCallback.java",1,1,1,1,6,0,6,0,,,,,2,0,0,10,,10,10,10,10,,0,0,3,7,,118,15,97,42,47,6,,,,57,74,38,36,,,,,,6,6,6,1,,,2,,,,0,06,15,15,15,10
File,"KeepTitleActivity.java",1,1,1,1,3,0,3,0,,,,,1,0,0,5,,5,5,1,5,,0,0,5,0,,52,10,36,23,8,6,,,,18,24,17,7,,,,,,1,1,1,1,,,0,,,,0,17,5,5,5,5
File,"KeepTitleFragment.java",1,1,1,1,6,0,6,0,,,,,2,0,0,5,,5,5,4,5,,0,0,0,5,,76,9,61,39,19,6,,,,36,42,32,10,,,,,,1,1,1,1,,,0,,,,0,10,5,5,5,5
File,"KeepTitleFragmentActivity.java",2,2,2,1,9,0,9,0,,,,,1,0,0,1,,1,1,0,1,,0,0,1,0,,30,7,17,8,6,6,,,,10,13,7,6,,,,,,2,2,2,1,,,1,,,,0,35,2,2,2,1
File,"LoadLayout.java",1,1,1,1,7,0,7,0,,,,,2,0,1,12,,12,12,5,12,,0,3,0,9,,124,17,101,32,52,6,,,,50,74,34,40,,,,,,7,7,7,3,,,3,,,,0,06,22,22,22,14
File,"LoadService.java",1,1,1,1,7,0,6,1,,,,,1,0,0,9,,9,9,2,9,,1,1,0,7,,102,13,71,29,35,18,,,,38,54,28,26,,,,,,4,4,5,1,,,2,,,,0,25,14,14,15,9
File,"LoadSir.java",1,1,1,1,3,0,3,0,,,,,2,2,1,14,,14,12,3,14,,2,3,0,9,,93,20,67,28,22,6,,,,28,47,27,20,,,,,,3,3,3,1,,,2,,,,0,09,16,16,16,14
File,"LoadSirUtil.java",5,5,5,2,20,0,20,0,,,,,1,2,0,2,,2,0,0,2,,0,0,0,2,,59,4,49,17,27,6,,,,29,39,18,21,,,,,,10,10,10,4,,,3,,,,0,12,11,11,11,5
File,"LoadingCallback.java",1,1,1,1,3,0,3,0,,,,,1,0,0,3,,3,3,0,3,,0,0,2,1,,33,8,19,12,3,6,,,,8,12,9,3,,,,,,1,1,1,1,,,0,,,,0,32,3,3,3,3
File,"LottieActivity.java",1,1,1,1,10,0,10,0,,,,,2,0,0,2,,2,2,1,2,,0,0,1,1,,48,9,33,18,14,6,,,,20,23,17,6,,,,,,1,1,1,1,,,0,,,,0,18,2,2,2,2
File,"LottieEmptyCallback.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,1,0,,21,6,9,6,1,6,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,67,1,1,1,1
File,"LottieLoadingCallback.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,0,2,,0,0,2,0,,28,7,15,10,2,6,,,,7,10,8,2,,,,,,1,1,1,1,,,0,,,,0,40,2,2,2,2
File,"MainActivity.java",1,1,1,1,3,0,3,0,,,,,1,0,0,13,,13,13,0,13,,0,0,1,12,,83,17,60,32,14,6,,,,31,45,31,14,,,,,,1,1,1,1,,,0,,,,0,10,13,13,13,13
File,"MultiFragmentActivity.java",1,1,1,1,5,0,5,0,,,,,1,0,1,3,,3,3,2,3,,0,0,1,2,,40,8,26,13,10,6,,,,17,21,12,9,,,,,,1,1,1,1,,,0,,,,0,23,3,3,3,3
File,"MultiFragmentWithViewPagerActivity.java",1,1,1,1,5,0,4,0,,,,,2,0,0,5,,5,5,2,5,,1,0,1,3,,68,18,44,26,15,6,,,,26,33,22,11,,,,,,1,1,1,1,,,0,,,,0,14,5,5,5,5
File,"NormalActivity.java",1,1,1,1,13,0,10,2,,,,,4,0,0,4,,4,4,1,4,,0,0,1,3,,64,10,44,21,19,10,,,,27,32,23,9,,,,,,1,1,1,1,,,0,,,,0,23,4,4,4,4
File,"NormalFragment.java",1,1,1,1,7,0,7,0,,,,,1,0,0,2,,2,2,2,2,,0,0,0,2,,52,10,36,25,10,6,,,,22,25,20,5,,,,,,1,1,1,1,,,0,,,,0,17,2,2,2,2
File,"PlaceholderActivity.java",1,1,1,1,9,0,8,1,,,,,2,0,0,2,,2,2,1,2,,0,0,1,1,,45,9,29,17,11,7,,,,17,20,16,4,,,,,,1,1,1,1,,,0,,,,0,24,2,2,2,2
File,"PlaceholderCallback.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,0,2,,0,0,2,0,,28,7,15,10,2,6,,,,7,10,8,2,,,,,,1,1,1,1,,,0,,,,0,40,2,2,2,2
File,"PostUtil.java",1,1,1,1,4,0,4,0,,,,,3,4,1,6,,6,2,0,6,,0,0,0,6,,44,7,31,12,13,6,,,,12,19,13,6,,,,,,1,1,1,1,,,0,,,,0,19,6,6,6,6
File,"ProgressCallback.java",1,1,1,1,6,0,6,0,,,,,2,0,0,10,,10,10,9,10,,0,1,3,6,,115,17,92,40,46,6,,,,54,70,36,34,,,,,,5,5,5,1,,,2,,,,0,07,14,14,14,10
File,"SuccessCallback.java",1,1,1,1,3,0,3,0,,,,,1,0,0,5,,5,5,0,5,,0,0,1,4,,38,8,21,10,5,9,,,,8,14,9,5,,,,,,2,2,2,1,,,0,,,,0,43,6,6,6,5
File,"TargetContext.java",1,1,1,1,3,0,3,0,,,,,1,0,0,5,,5,5,4,5,,3,0,0,2,,41,7,28,14,8,6,,,,16,22,14,8,,,,,,1,1,1,1,,,0,,,,0,21,5,5,5,5
File,"TimeoutCallback.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,0,2,,0,0,2,0,,31,8,17,11,3,6,,,,9,12,9,3,,,,,,1,1,1,1,,,0,,,,0,35,2,2,2,2
File,"Transport.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,14,2,6,5,0,6,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,1,00,0,0,0,0
File,"ViewTargetActivity.java",1,1,1,1,14,1,11,2,,,,,2,0,0,2,,2,2,1,2,,0,0,1,1,,54,11,35,20,15,8,,,,22,25,19,6,,,,,,1,1,1,1,,,0,,,,0,23,2,2,2,2
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.kingja",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.kingja.loadsir",5,5,5,2,20,0,20,0,,,,,1,2,0,,1,,0,0,2,,0,0,0,2,,59,4,49,17,27,6,,,,29,39,18,21,,,,,,10,10,10,4,,,3,,,,0,12,11,11,11,5
Public Class,"com.kingja.loadsir.LoadSirUtil",5,5,5,2,20,0,20,0,1,1,1,0,,2,0,,,,0,0,2,2,0,0,0,2,,49,1,42,10,27,6,,,,22,32,11,21,,,,,,10,10,10,4,,1,3,,0,0,0,14,11,11,11,5
Public Static Method,"com.kingja.loadsir.LoadSirUtil.getTargetContext",,,,,,,,,,,,,,,,,,,,,,,,,,,2,37,0,37,8,26,0,11,48,2,21,29,9,20,10,10,10,4,5,,,,,4,,3,3,,,0,00,10,10,10,4
Public Static Method,"com.kingja.loadsir.LoadSirUtil.isMainThread",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Package,"com.kingja.loadsir.callback",1,1,1,1,6,0,6,0,,,,,8,0,0,,4,,42,23,42,,3,1,12,26,,424,63,310,128,143,51,,,,168,231,120,111,,,,,,6,6,6,1,,,2,,,,0,16,57,57,58,40
Public Abstract Class,"com.kingja.loadsir.callback.Callback",1,1,1,1,7,0,5,1,2,1,1,12,,0,0,,,,15,4,15,15,2,0,5,8,,141,19,92,28,45,30,,,,41,65,29,36,,,,,,4,4,5,1,,1,1,,78,78,0,33,19,19,20,14
Constructor,"com.kingja.loadsir.callback.Callback.Callback",,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,0,5,1,3,0,4,1,0,3,4,1,3,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Constructor,"com.kingja.loadsir.callback.Callback.Callback",,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Interface,"com.kingja.loadsir.callback.Callback.OnReloadListener",0,0,0,0,0,0,0,0,1,0,0,10,,0,0,,,,1,0,1,1,1,0,0,0,,3,0,3,2,0,0,,,,1,2,2,0,,,,,,0,0,0,0,,2,0,,0,0,0,00,0,0,0,0
Abstract Method,"com.kingja.loadsir.callback.Callback.OnReloadListener.onReload",,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,,,0,,0,0,,,0,00,0,0,0,0
Public Method,"com.kingja.loadsir.callback.Callback.copy",,,,,,,,,,,,,,,,,,,,,,,,,,,2,17,0,17,6,13,0,6,2,0,12,14,6,8,2,2,2,1,1,,,,,0,,1,0,,,0,00,2,2,2,1
Public Method,"com.kingja.loadsir.callback.Callback.getRootView",,,,,,,,,,,,,,,,,,,,,,,,,,,3,27,2,25,2,17,0,7,5,1,9,16,3,13,4,4,5,1,1,,,,,0,,0,0,,,0,00,4,4,5,1
Anonymous Class,"com.kingja.loadsir.callback.Callback.getRootView.(Anon_1)",3,3,3,1,8,0,8,0,1,2,2,0,,0,0,,,,1,0,1,1,0,0,0,1,,10,0,10,0,7,0,,,,2,5,1,4,,,,,,3,3,3,1,,2,1,,0,0,0,00,3,3,3,1
