Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AboutActivity.java",1,1,1,1,6,0,5,0,,,,,1,1,1,9,,9,8,2,9,,0,0,5,4,,121,18,82,46,29,23,,,,41,54,35,19,,,,,,3,3,3,1,,,1,,,,0,28,12,12,12,9
File,"ActionModeCallback.java",1,1,1,1,5,0,4,0,,,,,1,0,1,5,,7,7,3,7,,0,0,1,6,,80,11,44,25,13,25,,,,24,32,21,11,,,,,,2,2,2,1,,,1,,,,0,57,7,7,7,5
File,"AppConfig.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,38,1,3,2,0,34,,,,1,2,2,0,,,,,,0,0,0,0,,,0,,,,11,33,0,0,0,0
File,"AppContext.java",1,1,1,1,4,0,3,1,,,,,1,0,0,2,,2,2,0,2,,0,0,2,0,,37,5,12,7,2,20,,,,4,7,5,2,,,,,,1,1,1,1,,,0,,,,1,67,2,2,2,2
File,"AppManager.java",2,2,2,1,11,0,7,4,,,,,1,2,2,12,,12,10,0,12,,0,1,0,11,,189,24,98,24,49,68,,,,42,73,27,46,,,,,,4,4,4,4,,,3,,,,0,69,28,28,29,23
File,"ApplicationTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,13,2,8,5,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"BaseActivity.java",2,2,2,1,16,1,13,1,,,,,4,0,0,29,,29,26,8,26,,0,1,9,16,,433,66,298,103,177,75,,,,159,213,96,117,,,,,,9,9,9,3,,,2,,,,0,25,58,58,62,31
File,"BaseApplication.java",1,1,1,1,5,0,4,1,,,,,1,17,2,19,,21,4,1,21,,0,0,2,19,,179,34,107,45,39,40,,,,53,79,43,36,,,,,,3,3,3,3,,,1,,,,0,37,25,25,27,21
File,"BaseDrawerLayoutActivity.java",1,1,1,1,7,0,6,1,,,,,1,0,0,7,,7,7,2,7,,0,1,5,1,,103,16,61,29,26,30,,,,29,40,22,18,,,,,,2,2,3,1,,,1,,,,0,49,10,10,11,7
File,"BaseFragment.java",1,1,1,1,6,0,4,2,,,,,1,0,0,19,,19,16,5,16,,0,0,3,13,,208,32,118,53,44,61,,,,52,76,39,37,,,,,,3,3,3,1,,,2,,,,0,52,26,26,27,19
File,"BasePresenter.java",1,1,1,1,4,0,4,0,,,,,1,0,0,8,,8,8,3,8,,0,0,4,4,,85,19,42,17,16,24,,,,22,35,15,20,,,,,,2,2,2,1,,,1,,,,0,57,12,12,12,8
File,"BaseRefreshActivity.java",1,1,1,1,4,0,4,0,,,,,1,0,0,8,,9,8,1,8,,0,1,6,1,,81,16,46,17,19,19,,,,22,33,15,18,,,,,,2,2,2,1,,,1,,,,0,41,11,11,11,8
File,"BaseRefreshFragment.java",1,1,1,1,4,0,4,0,,,,,1,0,0,8,,9,8,1,8,,0,1,5,2,,87,17,46,18,18,24,,,,22,33,16,17,,,,,,2,2,2,1,,,1,,,,0,52,11,11,11,8
File,"BaseStatedFragment.java",1,1,1,1,6,0,5,1,,,,,1,0,1,11,,11,11,1,11,,0,4,3,4,,121,20,65,23,28,36,,,,25,44,20,24,,,,,,4,4,4,3,,,2,,,,0,55,18,18,18,13
File,"BaseToolbarActivity.java",1,1,1,1,8,0,5,3,,,,,1,0,0,14,,14,14,3,14,,0,2,8,4,,196,26,110,45,45,63,,,,50,76,37,39,,,,,,5,5,5,1,,,2,,,,0,57,26,26,26,14
File,"BaseViewInterface.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,3,3,0,3,,3,0,0,0,,47,8,9,8,0,30,,,,6,7,7,0,,,,,,0,0,0,0,,,0,,,,3,33,0,0,0,0
File,"BaseWebActivity.java",1,1,1,1,9,0,6,1,,,,,3,3,5,43,,43,37,8,40,,0,9,9,22,,540,75,366,131,196,111,,,,202,276,108,168,,,,,,8,8,10,5,,,4,,,,0,30,80,76,83,49
File,"Check.java",1,1,2,1,7,0,4,3,,,,,1,11,2,11,,11,0,0,11,,0,0,0,11,,129,17,56,21,24,56,,,,26,44,22,22,,,,,,4,4,8,4,,,2,,,,1,00,17,17,26,14
