Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ApplicationTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,13,2,8,5,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"BoilerplateActivity.java",1,1,1,1,4,0,4,0,,,,,1,0,0,3,,3,3,0,3,,0,0,3,0,,29,6,19,12,6,4,,,,11,15,12,3,,,,,,1,1,1,1,,,0,,,,0,21,3,3,3,3
File,"ExampleUnitTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,15,3,9,6,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,33,1,1,1,1
File,"FadeInTransition.java",1,1,1,1,4,0,3,0,,,,,1,1,1,2,,2,1,0,2,,0,1,0,1,,19,5,13,8,4,1,,,,7,10,8,2,,,,,,1,1,1,1,,,0,,,,0,08,2,2,2,2
File,"FadeOutTransition.java",1,1,1,1,6,0,4,2,,,,,1,1,1,2,,2,1,0,2,,0,1,0,1,,25,6,14,8,5,5,,,,8,11,8,3,,,,,,1,1,1,1,,,0,,,,0,36,2,2,2,2
File,"MainActivity.java",1,1,1,1,10,1,7,2,,,,,3,0,0,9,,9,9,2,9,,0,3,2,4,,114,19,78,34,37,17,,,,48,59,32,27,,,,,,2,2,2,1,,,1,,,,0,22,10,10,10,9
File,"SearchActivity.java",1,1,1,1,10,1,7,1,,,,,4,0,0,10,,10,10,1,10,,0,3,1,6,,112,22,77,27,40,13,,,,40,54,26,28,,,,,,3,3,3,3,,,1,,,,0,17,13,13,13,12
File,"Searchbar.java",1,1,1,1,4,0,4,0,,,,,1,0,0,4,,4,4,1,4,,0,0,1,3,,41,9,28,14,9,4,,,,16,21,12,9,,,,,,1,1,1,1,,,0,,,,0,14,4,4,4,4
File,"ShareDemo.java",1,1,1,1,5,0,5,0,,,,,1,0,2,2,,2,2,1,2,,0,0,0,2,,27,8,19,11,8,1,,,,13,16,11,5,,,,,,1,1,1,1,,,0,,,,0,05,2,2,2,2
File,"SimpleToolbar.java",1,1,1,1,5,0,5,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,20,5,12,7,3,3,,,,8,10,7,3,,,,,,1,1,1,1,,,0,,,,0,25,1,1,1,1
File,"SimpleTransitionListener.java",1,1,1,1,3,0,2,1,,,,,1,0,0,5,,5,5,0,5,,0,0,0,5,,30,6,19,13,0,5,,,,2,8,8,0,,,,,,1,1,1,1,,,0,,,,0,26,5,5,5,5
File,"TransformingToolbar.java",1,1,1,1,6,0,4,2,,,,,1,0,0,3,,3,3,0,3,,0,0,0,3,,35,6,19,8,5,10,,,,11,17,10,7,,,,,,2,2,2,1,,,1,,,,0,53,5,5,5,3
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.alexstyl",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.alexstyl.searchtransition",1,1,1,1,5,0,3,1,,,,,3,0,0,,3,,5,0,5,,0,0,0,5,,63,11,36,19,7,16,,,,19,29,20,9,,,,,,2,2,2,1,,,1,,,,0,44,7,7,7,5
Public Class,"com.alexstyl.searchtransition.ApplicationTest",1,1,1,1,3,0,3,0,1,0,0,0,,0,0,,,,1,0,1,1,0,0,0,1,,8,0,5,2,1,3,,,,1,3,2,1,,,,,,1,1,1,1,,2,0,,0,0,0,60,1,1,1,1
Public Constructor,"com.alexstyl.searchtransition.ApplicationTest.ApplicationTest",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
