Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ApplicationTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,13,2,8,5,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"BakedBezierInterpolator.java",1,1,1,1,9,1,7,1,,,,,1,1,3,3,,3,2,0,3,,0,1,0,2,,86,15,40,16,26,31,,,,14,20,13,7,,,,,,3,3,3,3,,,1,,,,0,78,5,5,5,5
File,"CircularRevealView.java",1,1,1,1,10,1,9,0,,,,,3,0,3,20,,20,20,4,20,,0,2,2,16,,219,39,170,53,106,10,,,,90,124,59,65,,,,,,3,3,3,1,,,1,,,,0,06,33,33,33,20
File,"FabAnimationUtils.java",1,1,1,1,7,0,7,0,,,,,6,5,2,17,,19,14,0,19,,0,0,0,19,,140,21,104,22,65,15,,,,41,70,34,36,,,,,,2,2,2,1,,,1,,,,0,14,27,27,27,17
File,"Helper.java",2,2,2,1,7,0,7,0,,,,,1,2,0,2,,2,0,0,2,,0,0,0,2,,29,5,21,8,8,3,,,,8,13,7,6,,,,,,2,2,2,1,,,1,,,,0,14,4,4,4,2
File,"MainActivity.java",1,1,1,1,11,2,9,0,,,,,6,0,0,15,,15,15,7,15,,0,5,1,9,,179,44,135,56,85,0,,,,85,103,61,42,,,,,,3,3,3,1,,,0,,,,0,00,17,17,17,15
File,"PowerDialog.java",1,1,1,1,26,5,20,0,,,,,9,1,9,16,,16,15,15,16,,0,3,0,13,,342,78,260,86,188,4,,,,170,198,79,119,,,,,,3,3,3,1,,,1,,,,0,02,26,26,27,16
File,"PreferenceFragment.java",1,1,1,1,16,1,14,0,,,,,9,1,1,11,,11,10,10,11,,0,2,0,9,,157,26,126,31,94,9,,,,76,90,37,53,,,,,,2,2,2,1,,,1,,,,0,07,13,13,13,11
File,"TextDrawable.java",1,1,1,1,6,0,5,0,,,,,5,1,1,28,,45,44,22,45,,0,4,0,41,,316,76,229,102,99,11,,,,138,174,87,87,,,,,,5,5,5,1,,,1,,,,0,05,35,35,35,28
File,"XposedDialog.java",1,1,1,1,26,5,20,0,,,,,9,1,9,16,,16,15,15,16,,0,3,0,13,,351,81,263,89,188,7,,,,173,201,82,119,,,,,,3,3,3,1,,,1,,,,0,03,26,26,27,16
File,"XposedMain.java",1,1,1,1,11,2,8,0,,,,,3,0,3,5,,5,5,2,5,,0,1,2,2,,81,24,54,23,28,3,,,,30,39,23,16,,,,,,3,3,3,1,,,1,,,,0,06,8,8,8,5
File,"XposedMainActivity.java",1,1,1,1,10,2,8,0,,,,,5,0,0,8,,8,8,5,8,,0,1,1,6,,105,27,75,32,43,3,,,,47,56,34,22,,,,,,1,1,1,1,,,0,,,,0,04,8,8,8,8
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.naman14",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.naman14.powermenu",1,1,1,1,11,1,10,0,,,,,41,11,19,,9,,121,58,132,,0,17,3,112,,1481,306,1093,379,672,86,,,,626,798,382,416,,,,,,5,5,5,3,,,1,,,,0,08,161,161,162,115
Public Class,"com.naman14.powermenu.ApplicationTest",1,1,1,1,3,0,3,0,1,0,0,0,,0,0,,,,1,0,1,1,0,0,0,1,,7,0,4,2,1,3,,,,1,3,2,1,,,,,,1,1,1,1,,2,0,,0,0,0,75,1,1,1,1
Public Constructor,"com.naman14.powermenu.ApplicationTest.ApplicationTest",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Class,"com.naman14.powermenu.BakedBezierInterpolator",1,1,1,1,9,1,7,1,2,0,0,0,,1,3,,,,2,0,3,3,0,1,0,2,,64,10,38,14,26,16,,,,12,18,11,7,,,,,,3,3,3,3,,1,1,,0,0,0,42,5,5,5,5
Private Constructor,"com.naman14.powermenu.BakedBezierInterpolator.BakedBezierInterpolator",,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,0,3,1,1,3,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,1,00,1,1,1,1
Public Static Method,"com.naman14.powermenu.BakedBezierInterpolator.getInstance",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.naman14.powermenu.BakedBezierInterpolator.getInterpolation",,,,,,,,,,,,,,,,,,,,,,,,,,,4,19,4,15,6,11,0,2,3,0,7,10,5,5,3,3,3,3,2,,,,,2,,1,2,,,0,00,3,3,3,3
Public Class,"com.naman14.powermenu.CircularRevealView",1,1,1,1,14,1,12,0,1,2,2,0,,0,3,,,,12,4,12,12,0,2,2,8,,205,36,159,42,106,10,,,,79,113,48,65,,,,,,3,3,3,1,,2,1,,77,54,0,06,17,17,17,12
Public Constructor,"com.naman14.powermenu.CircularRevealView.CircularRevealView",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Constructor,"com.naman14.powermenu.CircularRevealView.CircularRevealView",,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Constructor,"com.naman14.powermenu.CircularRevealView.CircularRevealView",,,,,,,,,,,,,,,,,,,,,,,,,,,7,15,4,11,1,8,0,7,2,0,7,9,1,8,2,2,2,1,1,,,,,0,,1,0,,,0,00,2,2,2,1
Private Method,"com.naman14.powermenu.CircularRevealView.calculateScale",,,,,,,,,,,,,,,,,,,,,,,,,,,4,18,1,10,8,8,7,4,1,0,8,9,8,1,1,1,1,1,0,,,,,0,,0,0,,,0,70,1,1,1,1
