Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ApplicationTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,13,2,8,5,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"BaseActivity.java",1,1,2,1,8,0,8,0,,,,,1,1,0,5,,5,4,0,5,,0,0,0,5,,63,7,53,26,26,3,,,,28,38,22,16,,,,,,4,4,6,1,,,1,,,,0,06,9,9,11,5
File,"ExampleUnitTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,15,3,9,6,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,33,1,1,1,1
File,"MainActivity.java",4,3,4,2,26,0,26,0,,,,,3,0,2,4,,4,4,9,4,,0,0,1,3,,125,7,118,43,70,0,,,,83,95,43,52,,,,,,7,5,7,5,,,2,,,,0,00,16,12,16,8
File,"MediaPlayView.java",2,2,3,1,16,0,13,2,,,,,1,1,0,14,,14,13,23,14,,0,3,1,10,,298,29,235,78,158,34,,,,161,198,71,127,,,,,,19,19,24,8,,,3,,,,0,14,39,39,45,24
File,"SimpleOnSeekBarChangeListener.java",1,1,1,1,3,1,2,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,19,6,10,7,0,3,,,,2,5,5,0,,,,,,1,1,1,1,,,0,,,,0,30,2,2,2,2
File,"SquareViewPager.java",1,1,1,1,6,0,6,0,,,,,1,0,0,3,,3,3,0,3,,0,0,1,2,,36,4,29,15,11,3,,,,17,22,14,8,,,,,,2,2,2,1,,,1,,,,0,10,4,4,4,3
File,"TestActivity.java",1,1,1,1,5,0,5,0,,,,,5,0,0,12,,12,12,8,12,,0,2,2,8,,115,16,96,49,41,3,,,,56,73,47,26,,,,,,2,2,2,1,,,1,,,,0,03,13,13,13,12
File,"ViewPagerTestActivity.java",1,1,1,1,5,0,5,0,,,,,5,0,0,11,,11,11,2,11,,0,1,2,8,,102,15,84,40,30,3,,,,40,55,32,23,,,,,,2,2,2,1,,,0,,,,0,04,12,12,12,11
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.hemeone",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.hemeone.mediaplayer",1,1,1,1,10,0,9,0,,,,,19,2,2,,9,,51,42,53,,0,6,7,40,,786,89,642,269,338,55,,,,395,498,244,254,,,,,,19,19,24,8,,,3,,,,0,09,97,93,105,67
Public Class,"com.hemeone.mediaplayer.ApplicationTest",1,1,1,1,3,0,3,0,1,0,0,0,,0,0,,,,1,0,1,1,0,0,0,1,,7,0,4,2,1,3,,,,1,3,2,1,,,,,,1,1,1,1,,2,0,,0,0,0,75,1,1,1,1
Public Constructor,"com.hemeone.mediaplayer.ApplicationTest.ApplicationTest",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Class,"com.hemeone.mediaplayer.BaseActivity",1,1,2,1,8,0,8,0,1,0,0,0,,1,0,,,,4,0,5,5,0,0,0,5,,53,5,45,18,26,3,,,,20,30,14,16,,,,,,4,4,6,1,,2,1,,0,0,0,07,9,9,11,5
Public Static Method,"com.hemeone.mediaplayer.BaseActivity.getStatusBarHeight",,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,0,8,3,5,0,4,2,0,4,6,3,3,2,2,2,1,0,,,,,0,,1,0,,,0,00,2,2,2,1
Public Method,"com.hemeone.mediaplayer.BaseActivity.setContentView",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,1,2,0,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
