Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AsyncAction.java",2,2,2,1,12,0,12,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,46,7,36,15,18,3,,,,16,22,12,10,,,,,,4,4,4,1,,,1,,,,0,08,5,5,5,2
File,"AttachObjectAction.java",1,1,1,1,4,0,4,0,,,,,1,0,0,4,,4,4,0,4,,0,0,0,4,,45,10,30,17,8,5,,,,14,20,13,7,,,,,,2,2,2,1,,,1,,,,0,17,5,5,5,4
File,"BaseApplicationLogic.java",1,1,1,1,2,0,2,0,,,,,1,0,0,7,,7,7,1,7,,0,0,0,7,,35,10,22,13,1,3,,,,6,14,13,1,,,,,,1,1,1,1,,,0,,,,0,14,7,7,7,7
File,"ConnectServiceWrapper.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,1,1,,0,0,0,1,,13,3,7,4,2,3,,,,3,5,4,1,,,,,,1,1,1,1,,,0,,,,0,43,1,1,1,1
File,"ErrorAction.java",1,1,1,1,5,0,5,0,,,,,1,0,1,4,,4,4,3,4,,0,0,0,4,,45,9,33,16,15,3,,,,16,21,13,8,,,,,,1,1,1,1,,,0,,,,0,09,4,4,4,4
File,"ExampleInstrumentedTest.java",1,1,1,1,6,1,4,1,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,26,5,15,12,2,6,,,,9,11,10,1,,,,,,1,1,1,1,,,0,,,,0,40,1,1,1,1
File,"ExampleInstrumentedTest.java",1,1,1,1,6,1,4,1,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,26,5,15,12,2,6,,,,9,11,10,1,,,,,,1,1,1,1,,,0,,,,0,40,1,1,1,1
File,"ExampleInstrumentedTest.java",1,1,1,1,6,1,4,1,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,26,5,15,12,2,6,,,,9,11,10,1,,,,,,1,1,1,1,,,0,,,,0,40,1,1,1,1
File,"ExampleInstrumentedTest.java",1,1,1,1,6,1,4,1,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,26,5,15,12,2,6,,,,9,11,10,1,,,,,,1,1,1,1,,,0,,,,0,40,1,1,1,1
File,"ExampleInstrumentedTest.java",1,1,1,1,6,1,4,1,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,26,5,15,12,2,6,,,,9,11,10,1,,,,,,1,1,1,1,,,0,,,,0,40,1,1,1,1
File,"ExampleUnitTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,17,3,9,6,1,5,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,56,1,1,1,1
File,"ExampleUnitTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,17,3,9,6,1,5,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,56,1,1,1,1
File,"ExampleUnitTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,17,3,9,6,1,5,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,56,1,1,1,1
File,"ExampleUnitTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,17,3,9,6,1,5,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,56,1,1,1,1
File,"ExampleUnitTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,17,3,9,6,1,5,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,56,1,1,1,1
File,"LocalRouter.java",2,2,2,1,10,0,9,0,,,,,5,2,3,20,,20,18,15,20,,1,3,0,16,,291,29,252,86,145,10,,,,140,185,84,101,,,,,,8,8,8,4,,,3,,,,0,04,44,44,46,30
File,"LocalRouterConnectService.java",1,1,1,1,6,0,6,0,,,,,2,0,0,6,,6,6,1,6,,0,0,0,6,,74,11,60,22,35,3,,,,24,32,21,11,,,,,,2,2,2,1,,,1,,,,0,05,7,7,7,6
File,"Logger.java",2,2,2,1,4,0,4,0,,,,,1,5,6,5,,5,0,0,5,,0,0,0,5,,42,9,30,14,16,3,,,,13,24,14,10,,,,,,2,2,2,1,,,1,,,,0,10,10,10,10,5
File,"MaAction.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,4,4,0,4,,0,0,0,4,,20,4,13,8,2,3,,,,7,10,8,2,,,,,,1,1,1,1,,,0,,,,0,23,2,2,2,2
File,"MaActionResult.java",1,1,1,1,5,0,5,0,,,,,2,0,11,13,,13,13,8,13,,0,1,0,12,,115,20,92,40,48,3,,,,55,72,39,33,,,,,,2,2,2,1,,,1,,,,0,03,15,15,15,13
File,"MaApplication.java",3,3,4,1,10,0,10,0,,,,,1,1,2,11,,14,13,2,14,,0,3,3,8,,174,20,150,46,69,4,,,,62,109,47,62,,,,,,8,8,10,1,,,5,,,,0,03,40,40,52,11
File,"MaProvider.java",1,1,1,1,3,0,3,0,,,,,1,0,0,4,,5,5,2,5,,0,0,2,3,,30,6,20,10,6,4,,,,10,15,10,5,,,,,,1,1,1,1,,,0,,,,0,20,4,4,4,4
File,"MainActivity.java",1,1,1,1,30,0,29,0,,,,,23,0,0,23,,23,23,1,23,,0,0,1,22,,310,12,298,48,239,0,,,,97,143,60,83,,,,,,3,3,3,1,,,2,,,,0,00,45,45,45,23
File,"MainApplicationLogic.java",1,1,1,1,4,0,4,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,16,3,10,6,2,3,,,,5,7,5,2,,,,,,1,1,1,1,,,0,,,,0,30,1,1,1,1
File,"MainProvider.java",1,1,1,1,5,0,5,0,,,,,1,0,0,1,,1,1,0,1,,0,0,1,0,,16,3,10,5,3,3,,,,5,7,4,3,,,,,,1,1,1,1,,,0,,,,0,30,1,1,1,1
File,"MainRouterConnectService.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,10,3,4,3,0,3,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,0,75,0,0,0,0
File,"Music.java",2,2,2,1,8,0,7,0,,,,,1,0,0,3,,3,3,1,3,,0,0,0,3,,38,6,29,8,13,3,,,,11,19,8,11,,,,,,3,3,3,1,,,2,,,,0,10,7,7,7,3
File,"MusicApplicationLogic.java",1,1,1,1,4,0,4,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,16,3,10,6,2,3,,,,5,7,5,2,,,,,,1,1,1,1,,,0,,,,0,30,1,1,1,1
File,"MusicProvider.java",1,1,1,1,5,0,5,0,,,,,1,0,0,1,,1,1,0,1,,0,0,1,0,,16,3,10,5,3,3,,,,5,7,4,3,,,,,,1,1,1,1,,,0,,,,0,30,1,1,1,1
File,"MusicRouterConnectService.java",1,1,1,1,4,0,4,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,24,5,16,9,4,3,,,,8,11,7,4,,,,,,1,1,1,1,,,0,,,,0,19,2,2,2,2
File,"MusicService.java",1,1,1,1,4,0,4,0,,,,,1,0,0,5,,5,5,1,5,,0,0,0,5,,46,7,36,17,12,3,,,,15,24,13,11,,,,,,4,4,4,1,,,2,,,,0,08,8,8,8,5
File,"MyApplication.java",1,1,1,1,4,0,4,0,,,,,1,0,0,3,,3,3,0,3,,0,0,1,2,,35,5,27,15,8,3,,,,16,20,12,8,,,,,,1,1,1,1,,,0,,,,0,11,3,3,3,3
File,"PicAction.java",1,1,1,1,9,0,9,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,38,6,29,16,13,3,,,,18,22,14,8,,,,,,2,2,2,1,,,1,,,,0,10,3,3,3,2
File,"PicActivity.java",2,2,2,1,12,0,12,0,,,,,2,0,1,4,,4,4,0,4,,0,2,1,1,,69,7,61,25,28,1,,,,34,43,26,17,,,,,,3,3,3,1,,,1,,,,0,02,8,8,8,4
