Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"Album.java",1,1,1,1,4,0,4,0,,,,,1,0,0,1,,1,1,2,1,,0,0,0,1,,14,2,9,5,2,3,,,,5,7,5,2,,,,,,1,1,1,1,,,0,,,,0,33,1,1,1,1
File,"AlbumSelectActivity.java",2,2,2,1,15,1,13,0,,,,,5,0,0,19,,19,19,10,19,,0,5,7,7,,336,56,271,85,155,9,,,,148,189,75,114,,,,,,9,9,9,5,,,4,,,,0,03,45,42,48,23
File,"ApplicationTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,13,2,8,5,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"ApplicationTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,13,2,8,5,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"Constants.java",0,0,0,0,0,0,0,0,,,,,1,0,13,0,,0,0,0,0,,0,0,0,0,,30,6,16,15,12,8,,,,14,15,15,0,,,,,,0,0,0,0,,,0,,,,0,50,0,0,0,0
File,"CustomAlbumSelectAdapter.java",1,1,1,1,14,3,11,0,,,,,2,0,0,2,,2,2,2,2,,0,0,0,2,,55,13,39,18,16,3,,,,25,30,17,13,,,,,,2,2,2,1,,,1,,,,0,08,3,3,3,2
File,"CustomGenericAdapter.java",1,1,1,1,3,0,3,0,,,,,1,0,0,6,,6,6,4,6,,0,0,0,6,,47,10,34,18,9,3,,,,18,25,16,9,,,,,,1,1,1,1,,,0,,,,0,09,6,6,6,6
File,"CustomImageSelectAdapter.java",2,2,2,1,20,5,15,0,,,,,2,0,0,2,,2,2,2,2,,0,0,0,2,,66,16,47,18,23,3,,,,30,36,17,19,,,,,,3,3,3,1,,,1,,,,0,06,4,4,4,2
File,"HelperActivity.java",1,1,1,1,9,0,8,0,,,,,3,0,0,11,,11,11,3,11,,0,4,4,3,,117,19,91,35,52,7,,,,38,53,33,20,,,,,,2,2,4,1,,,1,,,,0,08,14,14,16,11
File,"Image.java",1,1,1,1,4,0,4,0,,,,,2,0,1,6,,6,6,4,6,,0,1,0,5,,51,8,40,16,18,3,,,,21,28,15,13,,,,,,1,1,1,1,,,0,,,,0,07,6,6,6,6
