Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AdminController.java",2,2,2,2,11,0,10,0,,,,,1,0,0,8,,8,8,6,8,,0,0,0,8,,145,14,122,53,57,9,,,,60,78,30,48,,,,,,5,5,7,5,,,1,,,,0,07,17,17,21,16
File,"AdminLoginInterceptor.java",1,1,1,1,5,0,5,0,,,,,1,0,0,3,,3,3,0,3,,0,0,0,3,,42,7,27,15,8,8,,,,12,17,11,6,,,,,,2,2,3,1,,,1,,,,0,30,4,4,5,3
File,"AdminUser.java",1,1,1,1,3,0,3,0,,,,,1,0,0,11,,11,11,5,11,,0,0,0,11,,68,16,52,20,21,0,,,,27,39,19,20,,,,,,2,2,2,1,,,0,,,,0,00,14,14,14,11
File,"AdminUserMapper.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,6,6,0,6,,6,0,0,0,,27,7,13,12,0,7,,,,10,11,11,0,,,,,,0,0,0,0,,,0,,,,0,54,0,0,0,0
File,"AdminUserService.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,4,4,0,4,,4,0,0,0,,37,7,8,7,0,22,,,,6,7,7,0,,,,,,0,0,0,0,,,0,,,,2,75,0,0,0,0
File,"AdminUserServiceImpl.java",2,2,2,2,9,0,8,1,,,,,1,0,0,4,,4,4,1,4,,0,0,0,4,,63,8,48,24,19,7,,,,22,32,18,14,,,,,,4,4,4,4,,,3,,,,0,15,9,9,9,9
File,"Blog.java",1,1,1,1,3,0,3,0,,,,,1,0,0,29,,29,29,14,29,,0,0,0,29,,172,45,127,50,48,0,,,,65,95,48,47,,,,,,2,2,2,1,,,0,,,,0,00,35,35,35,29
File,"BlogCategory.java",1,1,1,1,3,0,3,0,,,,,1,0,0,13,,13,13,6,13,,0,0,0,13,,84,21,63,26,24,0,,,,33,47,24,23,,,,,,2,2,2,1,,,0,,,,0,00,15,15,15,13
File,"BlogCategoryMapper.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,11,11,0,11,,11,0,0,0,,33,13,20,19,0,0,,,,17,18,18,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"BlogComment.java",1,1,1,1,3,0,3,0,,,,,1,0,0,25,,25,25,12,25,,0,0,0,25,,151,39,112,45,42,0,,,,57,83,42,41,,,,,,2,2,2,1,,,0,,,,0,00,31,31,31,25
File,"BlogCommentMapper.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,10,10,0,10,,10,0,0,0,,31,12,19,18,0,0,,,,16,17,17,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"BlogConfig.java",1,1,1,1,4,0,4,0,,,,,1,0,0,9,,9,9,4,9,,0,0,0,9,,59,14,45,18,18,0,,,,24,34,17,17,,,,,,2,2,2,1,,,0,,,,0,00,11,11,11,9
File,"BlogConfigMapper.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,3,3,0,3,,3,0,0,0,,16,6,10,9,0,0,,,,7,8,8,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"BlogController.java",4,4,4,3,21,0,21,0,,,,,1,0,0,8,,8,8,2,8,,0,0,0,8,,235,14,213,85,108,8,,,,103,138,51,87,,,,,,10,10,10,10,,,3,,,,0,04,35,35,36,28
File,"BlogDetailVO.java",1,1,1,1,3,0,3,0,,,,,1,0,0,24,,24,24,12,24,,0,0,0,24,,126,37,89,40,24,0,,,,39,64,40,24,,,,,,1,1,1,1,,,0,,,,0,00,24,24,24,24
File,"BlogLink.java",1,1,1,1,3,0,3,0,,,,,1,0,0,17,,17,17,8,17,,0,0,0,17,,106,27,79,32,30,0,,,,41,59,30,29,,,,,,2,2,2,1,,,0,,,,0,00,20,20,20,17
File,"BlogLinkMapper.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,9,9,0,9,,9,0,0,0,,28,11,17,16,0,0,,,,14,15,15,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"BlogListVO.java",1,1,1,1,3,0,3,0,,,,,1,0,0,16,,16,16,8,16,,0,0,0,16,,90,27,63,30,16,0,,,,28,45,29,16,,,,,,1,1,1,1,,,0,,,,0,00,16,16,16,16
File,"BlogMapper.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,15,15,0,15,,15,0,0,0,,44,18,26,25,0,0,,,,23,24,24,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"BlogService.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,13,13,0,13,,13,0,0,0,,89,15,22,21,0,52,,,,20,21,21,0,,,,,,0,0,0,0,,,0,,,,2,36,0,0,0,0
File,"BlogServiceImpl.java",3,3,3,1,18,0,16,2,,,,,1,0,0,16,,16,15,5,15,,0,2,0,13,,365,20,314,125,201,35,,,,192,246,110,136,,,,,,9,9,9,4,,,3,,,,0,11,50,50,55,26
File,"BlogTag.java",1,1,1,1,4,0,4,0,,,,,1,0,0,9,,9,9,4,9,,0,0,0,9,,62,15,47,20,18,0,,,,25,35,18,17,,,,,,2,2,2,1,,,0,,,,0,00,10,10,10,9
File,"BlogTagCount.java",1,1,1,1,3,0,3,0,,,,,1,0,0,6,,6,6,3,6,,0,0,0,6,,34,10,24,11,6,0,,,,10,17,11,6,,,,,,1,1,1,1,,,0,,,,0,00,6,6,6,6
