Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AbsSkinHandler.java",3,3,3,2,13,2,10,0,,,,,1,0,2,5,,5,5,0,5,,0,1,2,2,,105,20,77,50,39,9,,,,55,72,46,26,,,,,,7,7,7,5,,,2,,,,0,12,15,15,15,11
File,"AdditionThemeObserver.java",1,1,1,1,4,0,3,0,,,,,1,0,1,3,,3,3,2,3,,0,0,0,3,,33,7,21,13,6,5,,,,11,15,11,4,,,,,,2,2,2,1,,,0,,,,0,24,4,4,4,3
File,"AlphaPaint.java",2,2,2,1,8,1,7,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,35,7,23,13,8,5,,,,11,16,11,5,,,,,,2,2,2,1,,,1,,,,0,22,4,4,4,2
File,"ApplicationTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,13,2,8,5,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"ApplicationTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,13,2,8,5,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"BackgroundPaint.java",1,1,1,1,4,0,4,0,,,,,1,0,0,4,,4,4,0,4,,0,2,0,2,,42,7,30,17,10,5,,,,14,20,14,6,,,,,,2,2,2,1,,,1,,,,0,17,5,5,5,4
File,"ButtonHandler.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,17,4,9,8,0,4,,,,5,6,6,0,,,,,,0,0,0,0,,,0,,,,0,44,0,0,0,0
File,"CardViewHandler.java",1,1,1,1,8,0,7,0,,,,,2,0,0,3,,3,3,0,3,,0,0,1,2,,55,8,42,29,14,5,,,,22,29,23,6,,,,,,3,3,3,1,,,2,,,,0,12,5,5,5,3
File,"CollapsingToolbarLayoutHandler.java",1,1,1,1,5,0,5,0,,,,,2,0,0,2,,2,2,0,2,,0,0,0,2,,37,6,26,20,6,5,,,,15,19,17,2,,,,,,1,1,1,1,,,0,,,,0,19,2,2,2,2
File,"ColorBox.java",1,1,1,1,4,0,4,0,,,,,1,1,0,7,,7,6,2,7,,0,1,0,6,,54,10,39,18,16,5,,,,21,33,19,14,,,,,,4,4,4,1,,,3,,,,0,13,11,11,11,7
File,"CustomView.java",1,1,1,1,5,0,5,0,,,,,1,0,0,8,,8,8,3,8,,0,1,2,5,,80,13,63,31,27,4,,,,41,50,27,23,,,,,,2,2,2,1,,,0,,,,0,06,9,9,9,8
File,"DemoActivity.java",1,1,1,1,5,0,5,0,,,,,2,0,2,8,,8,8,1,8,,0,0,2,6,,93,16,73,38,28,4,,,,41,53,31,22,,,,,,3,2,3,1,,,1,,,,0,05,11,10,11,8
File,"DemoUtil.java",1,1,1,1,4,1,3,0,,,,,1,1,1,1,,1,0,0,1,,0,0,0,1,,13,2,7,4,2,4,,,,3,5,4,1,,,,,,1,1,1,1,,,0,,,,0,57,1,1,1,1
File,"DetailActivity.java",1,1,1,1,6,0,5,0,,,,,1,1,0,4,,4,3,0,4,,0,0,2,2,,44,8,36,18,14,0,,,,22,29,15,14,,,,,,2,2,2,1,,,1,,,,0,00,6,6,6,4
File,"ExampleUnitTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,15,3,9,6,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,33,1,1,1,1
File,"ExampleUnitTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,15,3,9,6,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,33,1,1,1,1
File,"Factory4InjectedInflater.java",2,2,2,1,8,0,8,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,20,2,14,7,5,4,,,,7,10,7,3,,,,,,2,2,2,1,,,1,,,,0,29,2,2,2,1
File,"IOwlObserver.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,24,3,7,6,0,14,,,,5,6,6,0,,,,,,0,0,0,0,,,0,,,,2,00,0,0,0,0
File,"IOwlObserverWithId.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,12,1,4,3,0,7,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,1,75,0,0,0,0
File,"IOwlPaint.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,0,2,,2,0,0,0,,16,2,7,6,0,7,,,,5,6,6,0,,,,,,0,0,0,0,,,0,,,,1,00,0,0,0,0
File,"ISkinHandler.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,0,2,,2,0,0,0,,14,2,8,7,0,4,,,,6,7,7,0,,,,,,0,0,0,0,,,0,,,,0,50,0,0,0,0
File,"ImageViewHandler.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,14,3,7,6,0,4,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,0,57,0,0,0,0
File,"ImageViewSrcPaint.java",1,1,1,1,5,0,5,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,31,5,21,16,7,5,,,,13,16,14,2,,,,,,1,1,1,1,,,0,,,,0,24,2,2,2,2
File,"InjectedInflaterBase.java",2,2,2,1,12,1,9,2,,,,,1,1,4,6,,6,5,0,6,,0,0,3,3,,115,20,79,33,39,16,,,,42,61,29,32,,,,,,6,6,6,4,,,2,,,,0,20,17,17,17,9
File,"InjectedInflaterV11.java",1,1,1,1,6,0,5,0,,,,,4,3,3,18,,18,15,3,18,,0,5,1,12,,204,26,151,61,69,27,,,,70,105,47,58,,,,,,4,4,5,4,,,2,,,,0,18,31,31,32,21
File,"InjectedInflaterV7.java",2,2,2,1,6,0,6,0,,,,,2,2,2,7,,7,5,1,7,,0,3,1,3,,80,11,60,23,28,9,,,,32,49,21,28,,,,,,4,4,4,3,,,1,,,,0,15,15,15,15,9
File,"LastChance2Inflater.java",2,2,2,1,10,0,10,0,,,,,1,0,0,3,,3,3,1,3,,0,1,2,0,,50,7,39,14,22,4,,,,21,28,14,14,,,,,,3,3,3,1,,,2,,,,0,10,6,6,6,3
File,"ListViewDividerPaint.java",1,1,1,1,6,0,6,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,30,4,22,16,8,4,,,,14,17,14,3,,,,,,1,1,1,1,,,0,,,,0,18,2,2,2,2
File,"ListViewFragment.java",1,1,1,1,5,0,4,0,,,,,4,1,0,11,,11,10,2,11,,0,0,0,11,,102,20,78,39,27,4,,,,36,53,33,20,,,,,,4,4,4,1,,,2,,,,0,05,14,14,14,11
File,"ListViewHandler.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,14,3,7,6,0,4,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,0,57,0,0,0,0
File,"ListViewSelectorPaint.java",1,1,1,1,5,0,5,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,28,4,20,15,6,4,,,,12,15,13,2,,,,,,1,1,1,1,,,0,,,,0,20,2,2,2,2
File,"MainApplication.java",1,1,1,1,9,0,8,0,,,,,2,0,0,2,,2,2,0,2,,0,0,0,2,,45,6,35,23,13,4,,,,24,28,20,8,,,,,,1,1,1,1,,,0,,,,0,11,2,2,2,2
