Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AKAZE.java",1,1,1,1,6,1,4,0,,,,,1,19,4,18,,35,16,0,35,,0,17,2,16,,298,105,111,53,38,82,,,,54,73,48,25,,,,,,1,1,1,1,,,0,,,,0,74,18,18,18,18
File,"ANN_MLP.java",1,1,1,1,6,1,4,0,,,,,1,29,8,28,,55,26,0,55,,0,27,2,26,,467,162,177,83,62,128,,,,86,115,74,41,,,,,,1,1,1,1,,,0,,,,0,72,28,28,28,28
File,"AgastFeatureDetector.java",1,1,1,1,6,1,4,0,,,,,1,11,6,10,,19,8,0,19,,0,9,2,8,,164,57,65,35,24,42,,,,30,41,28,13,,,,,,1,1,1,1,,,0,,,,0,65,10,10,10,10
File,"Algorithm.java",1,1,1,1,5,1,3,0,,,,,1,4,0,5,,9,5,1,9,,0,4,2,3,,78,28,29,15,8,21,,,,15,21,14,7,,,,,,1,1,1,1,,,0,,,,0,72,5,5,5,5
File,"AlignExposures.java",1,1,1,1,4,0,3,0,,,,,1,2,0,3,,5,3,0,5,,0,2,2,1,,48,15,22,15,6,11,,,,14,18,14,4,,,,,,1,1,1,1,,,0,,,,0,50,3,3,3,3
File,"AlignMTB.java",1,1,1,1,6,1,4,0,,,,,1,12,0,13,,25,13,0,25,,0,12,2,11,,219,74,84,41,28,61,,,,46,60,40,20,,,,,,1,1,1,1,,,0,,,,0,73,13,13,13,13
File,"ApplicationTest.java",1,1,1,1,5,2,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,15,4,8,5,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"AsyncServiceHelper.java",1,1,1,1,17,1,16,0,,,,,6,3,5,24,,24,21,7,24,,0,2,3,19,,336,41,291,56,218,5,,,,183,227,72,155,,,,,,8,8,9,5,,,3,,,,0,02,43,43,46,28
File,"BFMatcher.java",1,1,1,1,5,1,4,0,,,,,1,7,0,6,,11,4,0,11,,0,5,2,4,,80,29,33,16,10,18,,,,16,23,15,8,,,,,,1,1,1,1,,,0,,,,0,55,6,6,6,6
File,"BOWImgDescriptorExtractor.java",1,1,1,1,5,1,4,0,,,,,1,6,0,7,,13,7,1,13,,0,6,2,5,,121,42,44,24,13,35,,,,24,32,23,9,,,,,,1,1,1,1,,,0,,,,0,80,7,7,7,7
File,"BOWKMeansTrainer.java",1,1,1,1,5,1,4,0,,,,,1,5,0,6,,11,6,0,11,,0,5,2,4,,88,31,35,18,10,22,,,,18,25,17,8,,,,,,1,1,1,1,,,0,,,,0,63,6,6,6,6
File,"BOWTrainer.java",1,1,1,1,5,1,4,0,,,,,1,7,0,8,,15,8,1,15,,0,7,2,6,,132,44,52,28,16,36,,,,29,38,27,11,,,,,,1,1,1,1,,,0,,,,0,69,8,8,8,8
File,"BRISK.java",1,1,1,1,5,1,4,0,,,,,1,9,0,6,,11,2,0,11,,0,5,2,4,,87,26,43,28,15,18,,,,26,33,27,6,,,,,,1,1,1,1,,,0,,,,0,42,6,6,6,6
File,"BackgroundSubtractor.java",1,1,1,1,5,1,3,0,,,,,1,4,0,5,,9,5,0,9,,0,4,2,3,,71,25,29,14,8,17,,,,15,21,13,8,,,,,,1,1,1,1,,,0,,,,0,59,5,5,5,5
File,"BackgroundSubtractorKNN.java",1,1,1,1,6,1,4,0,,,,,1,15,0,16,,31,16,0,31,,0,15,2,14,,264,95,93,41,30,76,,,,46,63,40,23,,,,,,1,1,1,1,,,0,,,,0,82,16,16,16,16
File,"BackgroundSubtractorMOG2.java",1,1,1,1,6,1,4,0,,,,,1,25,0,26,,51,26,0,51,,0,25,2,24,,434,155,153,66,50,126,,,,76,103,65,38,,,,,,1,1,1,1,,,0,,,,0,82,26,26,26,26
File,"BaseActivity.java",1,1,1,1,9,0,8,1,,,,,5,0,0,7,,7,7,0,7,,0,0,3,4,,68,6,56,16,34,7,,,,31,39,19,20,,,,,,1,1,1,1,,,0,,,,0,12,7,7,7,7
File,"BaseCameraView.java",1,1,1,1,10,0,6,3,,,,,1,0,1,13,,15,15,5,15,,0,1,2,12,,199,31,113,42,52,55,,,,57,78,34,44,,,,,,4,4,4,1,,,2,,,,0,49,22,20,23,13
File,"BaseCascadeClassifier.java",1,1,1,1,2,0,2,0,,,,,1,1,0,2,,3,2,0,3,,0,1,2,0,,26,10,10,7,2,6,,,,5,8,6,2,,,,,,1,1,1,1,,,0,,,,0,60,2,2,2,2
File,"BaseLoaderCallback.java",1,1,1,1,13,0,11,1,,,,,8,0,1,11,,11,11,1,11,,1,0,0,10,,141,13,119,19,77,14,,,,62,76,26,50,,,,,,5,2,5,1,,,0,,,,0,12,17,13,17,11
File,"Boost.java",1,1,1,1,5,1,4,0,,,,,1,9,4,9,,17,8,0,17,,0,8,2,7,,152,55,56,29,20,41,,,,26,36,24,12,,,,,,1,1,1,1,,,0,,,,0,73,9,9,9,9
