Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"FooterViewGridAdapter.java",2,2,2,1,8,0,7,0,,,,,1,0,1,18,,18,18,4,18,,0,1,0,17,,228,41,155,48,77,32,,,,67,110,47,63,,,,,,4,4,4,4,,,3,,,,0,21,41,41,43,33
File,"HeaderGridView.java",1,1,1,1,11,0,6,4,,,,,3,0,0,17,,17,17,8,17,,0,3,1,13,,252,36,136,49,69,80,,,,73,102,46,56,,,,,,3,3,4,3,,,2,,,,0,59,26,26,28,19
File,"LoadingView.java",1,1,1,1,3,0,3,0,,,,,1,0,0,3,,3,3,0,3,,0,1,0,2,,25,8,17,8,5,0,,,,9,13,8,5,,,,,,1,1,1,1,,,0,,,,0,00,3,3,3,3
File,"MainActivity.java",1,1,1,1,13,0,12,0,,,,,3,0,0,12,,12,12,8,12,,0,2,4,6,,204,31,173,39,115,0,,,,116,137,33,104,,,,,,4,2,4,1,,,1,,,,0,00,21,19,21,12
File,"MyPagingAdaper.java",1,1,1,1,5,0,5,0,,,,,1,0,0,4,,4,4,0,4,,0,0,0,4,,42,9,33,18,10,0,,,,16,22,14,8,,,,,,2,2,2,1,,,1,,,,0,00,5,5,5,4
File,"PagingBaseAdapter.java",1,1,1,1,3,0,3,0,,,,,1,0,0,4,,4,4,1,4,,0,0,0,4,,32,11,21,10,6,0,,,,11,16,10,6,,,,,,1,1,1,1,,,0,,,,0,00,4,4,4,4
File,"PagingGridView.java",1,1,1,1,6,0,6,0,,,,,3,0,0,12,,13,13,4,13,,1,1,0,11,,99,21,77,25,34,1,,,,34,54,27,27,,,,,,4,4,6,1,,,3,,,,0,01,18,18,21,12
File,"SafeAsyncTask.java",1,1,1,1,7,0,5,1,,,,,8,0,2,34,,34,34,6,34,,0,0,15,19,,300,51,182,55,91,67,,,,84,129,60,69,,,,,,5,5,5,1,,,2,,,,0,37,45,45,46,34
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.paging",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.paging.gridview",1,1,1,1,8,0,6,1,,,,,9,0,1,,5,,55,17,55,,1,6,1,47,,636,117,406,140,191,113,,,,194,295,138,157,,,,,,4,4,6,4,,,3,,,,0,28,92,92,99,71
Public Class,"com.paging.gridview.FooterViewGridAdapter",2,2,2,1,8,0,7,0,3,2,2,0,,0,1,,,,18,4,18,18,0,1,0,17,,199,37,145,38,77,17,,,,57,100,37,63,,,,,,4,4,4,4,,1,3,,63,62,0,12,41,41,43,33
Public Constructor,"com.paging.gridview.FooterViewGridAdapter.FooterViewGridAdapter",,,,,,,,,,,,,,,,,,,,,,,,,,,7,16,4,12,3,7,0,6,2,0,5,7,1,6,2,2,2,1,1,,,,,0,,1,0,,,0,00,2,2,2,1
Public Method,"com.paging.gridview.FooterViewGridAdapter.areAllItemsEnabled",,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,0,7,1,4,0,2,2,0,2,4,1,3,2,2,3,1,1,,,,,0,,1,0,,,0,00,2,2,3,1
Private Method,"com.paging.gridview.FooterViewGridAdapter.areAllListInfosSelectable",,,,,,,,,,,,,,,,,,,,,,,,,,,4,10,0,10,1,5,0,1,4,1,2,7,2,5,4,4,4,4,4,,,,,4,,3,4,,,0,00,4,4,4,4
Public Method,"com.paging.gridview.FooterViewGridAdapter.getCount",,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,0,7,1,4,0,3,2,0,2,4,1,3,2,2,2,1,1,,,,,0,,1,0,,,0,00,2,2,2,1
Public Method,"com.paging.gridview.FooterViewGridAdapter.getFilter",,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,0,6,1,3,0,2,2,0,2,4,1,3,2,2,2,1,1,,,,,0,,1,0,,,0,00,2,2,2,1
Public Method,"com.paging.gridview.FooterViewGridAdapter.getFootersCount",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.paging.gridview.FooterViewGridAdapter.getItem",,,,,,,,,,,,,,,,,,,,,,,,,,,3,14,1,11,3,7,2,4,3,0,5,8,3,5,3,3,3,3,2,,,,,2,,2,2,,,0,18,3,3,3,3
Public Method,"com.paging.gridview.FooterViewGridAdapter.getItemId",,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,0,10,3,6,0,3,3,0,4,7,3,4,3,3,3,3,2,,,,,2,,2,2,,,0,00,3,3,3,3
Public Method,"com.paging.gridview.FooterViewGridAdapter.getItemViewType",,,,,,,,,,,,,,,,,,,,,,,,,,,3,11,1,10,3,6,0,3,3,0,4,7,3,4,3,3,3,3,2,,,,,2,,2,2,,,0,00,3,3,3,3
Public Method,"com.paging.gridview.FooterViewGridAdapter.getView",,,,,,,,,,,,,,,,,,,,,,,,,,,5,15,2,11,3,7,2,4,3,0,5,8,3,5,3,3,3,3,2,,,,,2,,2,2,,,0,18,3,3,3,3
