Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AlarmReceiver.java",2,2,2,1,8,0,7,0,,,,,1,0,0,3,,3,3,1,3,,2,0,0,1,,45,10,35,14,14,0,,,,19,27,13,14,,,,,,5,5,5,1,,,2,,,,0,00,7,7,7,3
File,"AlarmReceiverTest.java",1,1,1,1,4,0,4,0,,,,,1,0,0,4,,4,4,3,4,,0,0,0,4,,55,9,46,32,10,0,,,,30,35,26,9,,,,,,1,1,1,1,,,0,,,,0,00,4,4,4,4
File,"AlertStatus.java",1,1,1,1,2,0,2,0,,,,,1,0,0,7,,5,7,6,7,,0,1,0,6,,36,8,28,14,8,0,,,,15,20,12,8,,,,,,1,1,1,1,,,0,,,,0,00,7,7,7,7
File,"AppConstants.java",0,0,0,0,0,0,0,0,,,,,1,0,29,0,,0,0,0,0,,0,0,0,0,,64,20,32,31,29,13,,,,30,31,31,0,,,,,,0,0,0,0,,,0,,,,0,41,0,0,0,0
File,"AppInfo.java",1,1,1,1,3,0,3,0,,,,,1,0,0,5,,5,5,2,5,,0,0,0,5,,31,7,21,9,6,3,,,,9,15,9,6,,,,,,1,1,1,1,,,0,,,,0,14,5,5,5,5
File,"AppInfoAdapter.java",1,1,1,1,9,1,8,0,,,,,2,0,1,5,,5,5,5,5,,0,0,0,5,,95,18,74,41,31,3,,,,47,57,37,20,,,,,,4,4,4,1,,,2,,,,0,04,8,8,8,5
File,"AppUtil.java",1,1,2,1,19,0,10,7,,,,,2,12,1,13,,13,1,0,13,,0,2,0,11,,253,41,144,47,87,68,,,,84,110,47,63,,,,,,4,4,4,3,,,2,,,,0,47,25,25,27,15
File,"ApplicationSettings.java",1,1,1,1,3,0,3,0,,,,,1,31,14,31,,31,0,0,31,,0,6,0,25,,188,44,128,61,57,17,,,,64,96,61,35,,,,,,2,2,2,1,,,0,,,,0,13,33,33,33,31
File,"ApplicationSettingsTest.java",1,1,1,1,4,0,4,0,,,,,1,0,0,5,,5,5,2,5,,0,0,0,5,,56,11,45,30,10,0,,,,27,33,24,9,,,,,,1,1,1,1,,,0,,,,0,00,5,5,5,5
File,"AsyncTaskResult.java",1,1,1,1,3,0,3,0,,,,,1,0,0,4,,4,4,2,4,,0,0,0,4,,30,8,19,8,6,3,,,,9,14,8,6,,,,,,1,1,1,1,,,0,,,,0,16,4,4,4,4
File,"BaseFragmentActivity.java",1,1,1,1,5,0,5,0,,,,,2,0,0,5,,5,5,1,5,,0,0,2,3,,52,9,43,19,19,0,,,,22,30,17,13,,,,,,2,2,2,1,,,1,,,,0,00,7,7,7,5
File,"BootReceiver.java",4,4,4,1,19,1,17,1,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,39,6,32,17,12,1,,,,21,26,16,10,,,,,,4,4,4,1,,,2,,,,0,03,4,4,4,1
File,"BootReceiverTest.java",1,1,1,1,5,0,5,0,,,,,1,0,0,3,,3,3,3,3,,0,0,0,3,,52,10,42,30,10,0,,,,30,34,26,8,,,,,,1,1,1,1,,,0,,,,0,00,3,3,3,3
File,"Calculator.java",1,1,1,1,0,0,0,0,,,,,2,0,0,2,,1,3,15,3,,1,0,0,2,,12,3,8,6,0,1,,,,2,4,4,0,,,,,,1,1,1,1,,,0,,,,0,12,2,2,2,2
File,"CalculatorActivity.java",4,2,4,1,19,1,16,1,,,,,4,0,1,9,,9,9,6,9,,0,3,1,5,,224,27,180,47,128,17,,,,103,127,43,84,,,,,,23,7,23,4,,,2,,,,0,09,40,22,43,12
File,"CalculatorActivityTest.java",1,1,1,1,7,0,7,0,,,,,2,0,0,11,,11,11,5,11,,1,0,0,10,,149,17,122,60,48,10,,,,76,97,53,44,,,,,,3,3,3,1,,,1,,,,0,08,19,19,19,11
