Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"Blur.java",6,6,6,1,100,15,68,17,,,,,1,3,0,3,,3,0,0,3,,0,1,0,2,,319,50,218,55,171,51,,,,175,195,45,150,,,,,,14,14,14,3,,,3,,,,0,23,19,19,19,5
File,"MainActivity.java",1,1,1,1,17,2,14,0,,,,,3,0,0,6,,6,6,8,6,,0,3,1,2,,113,20,87,34,50,6,,,,54,63,34,29,,,,,,3,3,3,1,,,1,,,,0,07,8,8,8,6
File,"PickerUI.java",1,1,1,1,12,0,8,3,,,,,7,0,1,44,,43,45,16,45,,0,9,0,36,,617,75,371,100,213,171,,,,169,247,100,147,,,,,,4,4,4,1,,,3,,,,0,46,77,77,81,44
File,"PickerUIAdapter.java",1,1,2,1,14,0,8,4,,,,,2,1,8,15,,15,14,8,15,,1,5,0,9,,292,37,166,61,99,89,,,,97,128,54,74,,,,,,7,7,7,1,,,2,,,,0,54,29,29,30,15
File,"PickerUIBlur.java",1,1,2,1,10,0,3,7,,,,,1,2,9,2,,2,0,0,2,,0,0,0,2,,79,4,18,13,11,57,,,,12,15,13,2,,,,,,1,1,2,1,,,0,,,,3,17,2,2,4,2
File,"PickerUIBlurHelper.java",1,1,2,1,14,0,8,4,,,,,3,2,2,18,,19,17,9,19,,4,4,0,11,,349,41,191,71,112,117,,,,100,134,69,65,,,,,,4,4,4,1,,,3,,,,0,61,34,34,36,18
File,"PickerUIBlurTask.java",1,1,2,1,10,0,6,4,,,,,2,0,0,6,,4,6,8,6,,0,0,3,3,,119,12,57,27,25,50,,,,29,39,20,19,,,,,,3,3,3,1,,,2,,,,0,88,11,11,12,6
File,"PickerUIListView.java",1,1,1,1,15,1,10,4,,,,,6,0,1,18,,19,19,8,19,,3,5,0,11,,292,35,165,44,95,92,,,,78,112,49,63,,,,,,3,3,3,1,,,2,,,,0,56,33,33,33,18
File,"PickerUISettings.java",1,1,1,1,4,0,4,0,,,,,3,0,3,45,,45,45,24,45,,12,3,0,30,,294,52,221,82,106,21,,,,123,170,80,90,,,,,,5,5,5,1,,,0,,,,0,10,49,49,49,45
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.dpizarro",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.dpizarro.libraries",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.dpizarro.libraries.uipickerlibrary",1,1,1,1,17,2,14,0,,,,,3,0,0,,1,,6,8,6,,0,3,1,2,,113,20,87,34,50,6,,,,54,63,34,29,,,,,,3,3,3,1,,,1,,,,0,07,8,8,8,6
Public Class,"com.dpizarro.libraries.uipickerlibrary.MainActivity",1,1,1,1,19,2,15,0,1,1,1,0,,0,0,,,,4,8,4,4,0,3,1,0,,96,16,74,21,50,6,,,,41,50,21,29,,,,,,1,1,1,1,,2,0,,71,56,0,08,4,4,4,4
Private Method,"com.dpizarro.libraries.uipickerlibrary.MainActivity.findViews",,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,0,8,1,6,0,7,1,0,6,7,1,6,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
