Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"APIController.java",2,2,2,1,15,2,13,0,,,,,1,1,0,2,,2,1,1,2,,0,1,0,1,,60,11,49,28,21,0,,,,31,36,22,14,,,,,,3,3,3,1,,,2,,,,0,00,4,4,4,2
File,"Application.java",1,1,1,1,3,0,3,0,,,,,1,1,0,2,,2,1,0,2,,0,0,0,2,,26,5,18,13,2,3,,,,8,11,9,2,,,,,,1,1,1,1,,,0,,,,0,17,2,2,2,2
File,"CacheConfig.java",1,1,1,1,4,0,3,0,,,,,2,0,2,8,,6,8,4,8,,3,0,0,5,,80,14,55,32,20,15,,,,26,35,26,9,,,,,,2,2,2,1,,,1,,,,0,27,9,9,9,8
File,"CheckProxyParser.java",1,1,1,1,22,3,9,11,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,32,7,15,8,7,11,,,,11,13,8,5,,,,,,1,1,1,1,,,0,,,,0,73,1,1,1,1
File,"CoderBusyProxyListPageParser.java",3,3,4,1,17,0,17,1,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,41,5,33,23,13,4,,,,23,28,22,6,,,,,,3,3,4,1,,,2,,,,0,12,3,3,4,1
File,"CommonController.java",2,2,2,1,11,0,10,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,50,8,42,23,15,0,,,,24,29,17,12,,,,,,3,3,3,1,,,2,,,,0,00,4,4,4,2
File,"CommonDao.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,0,2,,2,0,0,0,,11,4,7,6,0,0,,,,5,6,6,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"CommonDaoImpl.java",1,1,1,1,8,2,6,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,41,9,32,24,8,0,,,,22,25,20,5,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
File,"Constant.java",0,0,0,0,0,0,0,0,,,,,1,0,6,0,,0,0,1,0,,0,0,0,0,,32,10,19,14,9,4,,,,15,17,14,3,,,,,,0,0,0,0,,,0,,,,0,21,0,0,0,0
File,"Constant.java",2,2,2,1,8,2,6,0,,,,,1,2,3,2,,2,0,0,2,,0,0,0,2,,52,12,34,13,20,6,,,,12,17,12,5,,,,,,2,2,2,1,,,1,,,,0,18,4,4,4,2
File,"Data4uProxyListPageParser.java",4,4,5,3,21,1,20,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,43,5,35,23,15,3,,,,23,29,22,7,,,,,,4,4,5,3,,,2,,,,0,09,4,4,5,3
File,"ErrorPageConfig.java",1,1,1,1,8,1,7,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,22,5,17,14,5,0,,,,11,13,12,1,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"FeilongipProxyListPageParser.java",3,3,5,1,17,1,16,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,39,5,31,23,12,3,,,,21,26,22,4,,,,,,3,3,5,1,,,2,,,,0,10,3,3,5,1
File,"GoubanjiaProxyListPageParser.java",2,2,2,1,14,0,11,4,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,36,4,26,21,8,7,,,,18,22,20,2,,,,,,2,2,2,1,,,1,,,,0,27,2,2,2,1
File,"HttpManager.java",1,1,1,1,11,2,8,1,,,,,3,1,2,15,,15,14,4,15,,0,1,0,14,,283,58,194,77,110,32,,,,105,135,76,59,,,,,,5,5,5,3,,,3,,,,0,16,28,28,28,19
File,"HttpResponse.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,3,0,,0,0,0,0,,16,5,8,7,0,3,,,,5,6,6,0,,,,,,0,0,0,0,,,0,,,,0,38,0,0,0,0
File,"Ip181ProxyListPageParser.java",3,3,3,1,17,0,15,4,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,40,5,30,22,12,7,,,,22,26,21,5,,,,,,3,3,3,1,,,1,,,,0,23,3,3,3,1
File,"Ip3366ProxyListPageParser.java",3,3,5,1,16,0,15,1,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,38,4,30,22,11,4,,,,20,25,21,4,,,,,,3,3,5,1,,,2,,,,0,13,3,3,5,1
File,"Ip66ProxyListPageParser.java",3,3,4,1,17,0,15,2,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,37,4,28,19,11,5,,,,19,24,19,5,,,,,,3,3,4,1,,,1,,,,0,18,3,3,4,1
File,"IpwayProxyListPageParser.java",3,3,4,1,15,0,15,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,29,3,26,18,11,0,,,,19,23,18,5,,,,,,3,3,4,1,,,2,,,,0,00,3,3,4,1
File,"JobLog.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,5,0,,0,0,0,0,,18,3,15,14,0,0,,,,10,11,11,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"KuaidailiProxyListPageParser.java",1,1,1,1,4,0,3,1,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,21,5,12,9,1,4,,,,6,8,7,1,,,,,,1,1,1,1,,,0,,,,0,33,1,1,1,1
File,"M66ipProxyListPageParser.java",3,3,4,1,15,0,15,1,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,37,4,30,21,11,4,,,,20,25,20,5,,,,,,3,3,4,1,,,2,,,,0,13,3,3,4,1
File,"MimiipProxyListPageParser.java",3,3,4,1,15,0,15,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,34,4,27,19,11,3,,,,20,24,19,5,,,,,,3,3,4,1,,,2,,,,0,11,3,3,4,1
File,"MimvpProxyListPageParser.java",3,3,4,1,16,0,16,2,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,38,4,31,22,12,5,,,,21,26,21,5,,,,,,3,3,4,1,,,2,,,,0,16,3,3,4,1
File,"MogumiaoProxyListPageParser.java",4,4,5,1,17,0,17,3,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,39,4,32,22,13,6,,,,22,27,21,6,,,,,,4,4,5,1,,,2,,,,0,19,4,4,5,1
File,"Page.java",2,2,2,2,6,2,4,0,,,,,1,0,0,2,,2,2,3,2,,0,0,0,2,,33,9,21,14,5,5,,,,11,16,10,6,,,,,,3,3,4,3,,,1,,,,0,24,4,4,5,4
File,"PageResult.java",1,1,1,1,4,0,4,0,,,,,1,0,0,2,,2,2,4,2,,0,0,0,2,,36,10,20,13,4,10,,,,12,15,11,4,,,,,,1,1,1,1,,,0,,,,0,50,2,2,2,2
File,"Proxy.java",1,1,1,1,4,0,3,0,,,,,1,0,1,35,,35,35,12,35,,0,0,0,35,,212,47,158,63,63,15,,,,69,109,58,51,,,,,,4,4,5,4,,,1,,,,0,09,41,41,43,38
File,"ProxyController.java",3,3,3,1,16,3,13,0,,,,,1,0,0,4,,4,4,1,4,,0,0,0,4,,112,21,91,50,45,3,,,,60,67,35,32,,,,,,6,6,6,1,,,1,,,,0,03,12,12,12,4
File,"ProxyDao.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,8,8,0,8,,8,0,0,0,,31,11,17,16,0,3,,,,15,16,16,0,,,,,,0,0,0,0,,,0,,,,0,18,0,0,0,0
File,"ProxyDaoImpl.java",3,3,3,1,13,1,11,0,,,,,1,0,0,8,,8,8,1,8,,0,0,0,8,,155,25,126,52,63,5,,,,63,88,43,45,,,,,,9,9,9,1,,,6,,,,0,04,24,24,28,8
File,"ProxyData.java",1,1,1,1,3,0,3,1,,,,,1,0,0,1,,1,1,5,1,,0,0,0,1,,28,6,22,19,1,1,,,,15,17,16,1,,,,,,1,1,1,1,,,0,,,,0,05,1,1,1,1
File,"ProxyDataDTO.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,3,0,,0,0,0,0,,11,3,8,7,0,0,,,,5,6,6,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"ProxyDbProxyListPageParser.java",3,3,5,1,16,0,16,1,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,38,4,31,23,12,4,,,,21,26,22,4,,,,,,3,3,5,1,,,2,,,,0,13,3,3,5,1
File,"ProxyListPageParser.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,1,1,,1,0,0,0,,18,5,7,6,1,6,,,,5,6,6,0,,,,,,0,0,0,0,,,0,,,,0,86,0,0,0,0
File,"ProxyListPageParserFactory.java",4,4,4,4,20,2,18,0,,,,,1,1,1,1,,1,0,0,1,,0,0,0,1,,36,8,25,9,15,3,,,,14,18,9,9,,,,,,4,4,4,4,,,2,,,,0,12,4,4,4,4
File,"ProxyListPlusProxyListPageParser.java",4,4,6,1,15,0,15,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,37,4,30,22,11,3,,,,20,25,21,4,,,,,,4,4,6,1,,,2,,,,0,10,4,4,6,1
File,"ProxyManager.java",1,1,1,1,14,1,12,0,,,,,7,1,1,8,,8,7,0,8,,0,1,0,7,,100,13,81,28,45,6,,,,34,48,31,17,,,,,,2,2,2,1,,,1,,,,0,07,12,12,12,8
File,"ProxyPageCallable.java",4,4,5,3,32,9,21,2,,,,,1,0,0,3,,3,3,1,3,,0,1,0,2,,125,34,84,31,49,10,,,,48,64,31,33,,,,,,7,7,8,7,,,5,,,,0,12,14,14,16,9
File,"ProxyPool.java",2,2,2,1,10,2,7,1,,,,,1,3,3,3,,3,0,0,3,,0,0,0,3,,56,14,34,16,14,8,,,,18,26,16,10,,,,,,3,3,3,1,,,2,,,,0,24,7,7,7,3
File,"ProxyResource.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,10,0,,0,0,0,0,,23,3,20,19,0,0,,,,15,16,16,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"ProxyResourceController.java",2,2,2,1,7,0,6,0,,,,,1,0,0,5,,5,5,1,5,,0,0,0,5,,74,11,63,38,21,0,,,,32,41,25,16,,,,,,2,2,2,1,,,1,,,,0,00,10,10,10,5
File,"ProxyResourceDao.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,5,5,0,5,,5,0,0,0,,20,9,11,10,0,0,,,,9,10,10,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"ProxyResourceDaoImpl.java",1,1,2,1,13,2,11,0,,,,,1,0,0,5,,5,5,2,5,,0,0,0,5,,105,21,84,44,43,4,,,,58,66,36,30,,,,,,2,2,3,1,,,1,,,,0,05,7,7,10,5
File,"QueryProxy.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,4,0,,0,0,0,0,,17,3,11,10,4,3,,,,7,8,8,0,,,,,,0,0,0,0,,,0,,,,0,27,0,0,0,0
File,"QueryProxyDTO.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,8,0,,0,0,0,0,,19,3,13,12,6,10,,,,10,11,11,0,,,,,,0,0,0,0,,,0,,,,0,77,0,0,0,0
File,"ResourcePlan.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,6,0,,0,0,0,0,,21,4,17,16,0,0,,,,12,13,13,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"ResultMap.java",1,1,1,1,6,0,3,2,,,,,1,4,1,6,,6,2,0,6,,0,1,0,5,,57,8,29,13,13,20,,,,15,22,12,10,,,,,,1,1,1,1,,,0,,,,0,69,6,6,6,6
File,"ResultProxyDataDTO.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,7,3,4,3,0,0,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"RetryHandler.java",9,9,9,9,39,9,29,8,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,62,13,45,18,19,11,,,,24,34,17,17,,,,,,9,9,9,9,,,1,,,,0,24,9,9,9,9
File,"ScheduleJobs.java",2,2,2,1,20,4,13,3,,,,,1,0,3,6,,6,6,5,6,,0,3,0,3,,179,42,116,49,62,21,,,,75,95,46,49,,,,,,6,6,6,3,,,2,,,,0,18,16,16,16,8
File,"SysSequence.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,2,0,,0,0,0,0,,12,2,10,9,0,0,,,,6,7,7,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"WebLog.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,14,3,8,7,0,3,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,,0,38,0,0,0,0
