Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ApplicationTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,13,2,8,5,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"ApplicationTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,13,2,8,5,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"MainActivity.java",2,1,2,1,12,1,11,0,,,,,1,0,0,2,,2,2,2,2,,0,0,1,1,,42,7,35,16,17,0,,,,22,26,14,12,,,,,,3,2,3,1,,,1,,,,0,00,4,3,4,2
File,"PullZoomActivity.java",1,1,1,1,4,0,4,0,,,,,5,0,0,11,,12,12,4,12,,0,1,2,9,,101,21,80,41,25,0,,,,39,54,36,18,,,,,,1,1,1,1,,,0,,,,0,00,11,11,11,11
File,"PullZoomBaseView.java",2,1,2,1,9,0,7,0,,,,,2,0,4,18,,26,26,13,26,,3,7,5,11,,247,51,183,64,96,13,,,,96,131,60,71,,,,,,7,4,8,6,,,2,,,,0,07,41,35,48,27
File,"PullZoomFooterActivity.java",1,1,1,1,7,0,6,0,,,,,6,1,0,15,,15,14,5,15,,0,0,2,13,,138,25,110,39,50,3,,,,51,74,37,37,,,,,,3,3,5,1,,,1,,,,0,03,19,19,21,15
File,"PullZoomHeaderActivity.java",1,1,1,1,5,0,5,0,,,,,7,1,0,13,,13,12,2,13,,0,0,2,11,,103,16,84,32,32,3,,,,33,51,28,23,,,,,,2,2,2,1,,,1,,,,0,04,15,15,15,13
File,"PullZoomRecyclerView.java",1,1,2,1,8,0,7,0,,,,,2,0,0,23,,23,23,8,23,,1,6,6,10,,245,44,194,67,104,7,,,,91,137,57,80,,,,,,4,4,6,4,,,3,,,,0,04,44,44,57,37
File,"RecyclerListAdapter.java",1,1,1,1,7,0,5,1,,,,,5,0,4,8,,11,11,3,11,,1,0,0,10,,103,19,70,34,29,14,,,,33,48,29,19,,,,,,4,4,4,4,,,3,,,,0,20,12,12,12,11
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.dinuscxj",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.dinuscxj.pullzoom",2,1,2,1,8,0,7,0,,,,,5,0,4,,3,,50,21,50,,4,13,11,22,,505,97,385,136,201,23,,,,191,274,122,152,,,,,,7,4,8,6,,,3,,,,0,06,86,80,106,65
