Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ColorUtil.java",1,1,1,1,11,0,7,8,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,19,3,12,9,5,8,,,,8,10,9,1,,,,,,1,1,1,1,,,0,,,,0,67,1,1,1,1
File,"ExpandGridLayoutManager.java",4,3,4,2,17,1,16,0,,,,,1,0,0,4,,4,4,1,4,,0,1,0,3,,95,11,75,25,47,10,,,,36,52,25,27,,,,,,13,9,13,5,,,3,,,,0,13,19,15,19,8
File,"ExpandGridView.java",1,1,1,1,3,0,3,0,,,,,1,0,0,4,,4,4,0,4,,0,0,1,3,,34,5,20,11,5,9,,,,9,14,10,4,,,,,,1,1,1,1,,,0,,,,0,45,4,4,4,4
File,"ExpandLinearLayoutManager.java",4,3,4,2,15,1,14,0,,,,,1,0,1,4,,4,4,1,4,,0,1,0,3,,91,14,68,24,43,10,,,,35,48,24,24,,,,,,11,7,11,5,,,3,,,,0,15,16,12,16,8
File,"ExpandListView.java",1,1,1,1,3,0,3,0,,,,,1,0,0,4,,4,4,0,4,,0,0,1,3,,34,5,20,11,5,9,,,,9,14,10,4,,,,,,1,1,1,1,,,0,,,,0,45,4,4,4,4
File,"ExpandStaggeredGridLayoutManager.java",4,3,4,1,21,1,16,3,,,,,1,0,0,5,,5,5,2,5,,0,3,0,2,,139,17,94,29,63,29,,,,52,71,31,40,,,,,,10,6,10,1,,,3,,,,0,31,21,17,21,5
File,"MainActivity.java",2,1,2,1,15,1,14,0,,,,,1,0,0,6,,6,6,6,6,,0,0,1,5,,133,18,115,39,73,4,,,,78,88,33,55,,,,,,8,2,8,1,,,1,,,,0,03,17,9,17,6
File,"PullGridViewActivity.java",1,1,1,1,7,0,7,0,,,,,4,0,0,12,,12,12,1,12,,0,0,1,11,,117,18,99,41,51,0,,,,56,72,41,31,,,,,,2,2,2,1,,,1,,,,0,00,14,14,14,12
File,"PullListViewActivity.java",1,1,1,1,7,0,7,0,,,,,4,0,0,12,,12,12,1,12,,0,0,1,11,,117,18,99,41,51,0,,,,56,72,41,31,,,,,,2,2,2,1,,,1,,,,0,00,14,14,14,12
File,"PullRecyclerViewActivity.java",1,1,1,1,7,0,6,0,,,,,5,0,0,12,,12,12,2,12,,0,0,1,11,,110,20,90,35,46,0,,,,49,65,37,28,,,,,,2,2,2,1,,,1,,,,0,00,13,13,13,12
File,"PullScrollViewActivity.java",1,1,1,1,9,0,8,0,,,,,3,0,0,6,,6,6,0,6,,0,0,0,6,,53,7,46,14,31,0,,,,24,31,18,13,,,,,,1,1,1,1,,,0,,,,0,00,6,6,6,6
File,"PullViewActivity.java",1,1,1,1,9,0,8,0,,,,,3,0,0,6,,6,6,0,6,,0,0,1,5,,54,8,46,14,31,0,,,,24,31,18,13,,,,,,1,1,1,1,,,0,,,,0,00,6,6,6,6
File,"PullViewGroupActivity.java",1,1,1,1,9,0,8,0,,,,,3,0,0,6,,6,6,0,6,,0,0,1,5,,54,8,46,14,31,0,,,,24,31,18,13,,,,,,1,1,1,1,,,0,,,,0,00,6,6,6,6
File,"PullWebViewActivity.java",1,1,1,1,10,0,9,0,,,,,3,0,0,6,,6,6,0,6,,0,0,1,5,,58,9,49,16,33,1,,,,27,34,20,14,,,,,,1,1,1,1,,,0,,,,0,02,6,6,6,6
File,"PullZoomView.java",2,2,3,1,9,0,8,0,,,,,4,0,3,22,,22,22,22,22,,0,2,2,18,,289,34,240,80,140,41,,,,134,195,77,118,,,,,,12,12,18,4,,,4,,,,0,17,62,58,75,25
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.lzy",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.lzy.pullzoomview",1,1,1,1,9,0,8,0,,,,,27,1,0,,9,,66,10,67,,0,0,7,60,,715,109,602,223,352,13,,,,346,434,235,199,,,,,,8,2,8,1,,,1,,,,0,02,83,75,83,67
Public Class,"com.lzy.pullzoomview.ColorUtil",1,1,1,1,11,0,7,8,1,0,0,0,,1,0,,,,0,0,1,1,0,0,0,1,,13,0,9,6,5,8,,,,5,7,6,1,,,,,,1,1,1,1,,1,0,,0,0,0,89,1,1,1,1
Public Static Method,"com.lzy.pullzoomview.ColorUtil.generateBeautifulColor",,,,,,,,,,,,,,,,,,,,,,,,,,,3,11,0,7,5,5,8,3,1,0,5,6,5,1,1,1,1,1,0,,,,,0,,0,0,,,1,14,1,1,1,1
Public Class,"com.lzy.pullzoomview.MainActivity",2,1,2,1,15,1,14,0,4,7,7,0,,0,0,,,,6,6,6,6,0,0,1,5,,117,15,102,26,73,4,,,,65,75,20,55,,,,,,8,2,8,1,,2,1,,66,66,0,04,17,9,17,6
Public Method,"com.lzy.pullzoomview.MainActivity.onCheckedChanged",,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,0,10,1,7,0,3,3,0,4,6,1,5,3,2,3,1,1,,,,,0,,1,0,,,0,00,3,2,3,1
