Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AnimeUtil.java",1,1,1,1,7,0,7,0,,,,,4,0,0,9,,7,9,4,9,,0,1,0,8,,84,11,70,27,36,3,,,,37,52,30,22,,,,,,3,3,3,3,,,2,,,,0,04,14,14,15,11
File,"ApplicationTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,13,2,8,5,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"ApplicationTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,13,2,8,5,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"ExampleUnitTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,15,3,9,6,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,33,1,1,1,1
File,"ExampleUnitTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,15,3,9,6,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,33,1,1,1,1
File,"MainActivity.java",2,1,2,1,17,1,16,0,,,,,1,0,0,4,,4,4,1,4,,0,1,1,2,,97,14,83,32,54,0,,,,58,65,29,36,,,,,,7,3,7,1,,,2,,,,0,00,10,6,10,4
File,"RadarData.java",1,1,1,1,3,0,3,0,,,,,1,0,0,21,,21,21,8,21,,0,1,0,20,,117,25,88,34,31,4,,,,44,67,35,32,,,,,,2,2,2,1,,,1,,,,0,05,22,22,22,21
File,"RadarView.java",1,1,1,1,7,0,7,0,,,,,3,0,7,87,,87,87,44,87,,0,19,3,65,,874,111,737,236,424,26,,,,432,581,235,346,,,,,,12,12,12,1,,,4,,,,0,04,150,145,161,87
File,"RandomColor.java",3,3,3,1,15,0,15,0,,,,,1,0,0,1,,1,1,2,1,,0,0,0,1,,51,4,38,12,24,9,,,,29,32,12,20,,,,,,3,3,3,1,,,2,,,,0,24,3,3,3,1
File,"RotateUtil.java",3,3,3,2,11,0,11,0,,,,,1,5,1,5,,5,0,0,5,,0,0,0,5,,76,7,65,23,42,4,,,,35,51,22,29,,,,,,7,7,7,7,,,2,,,,0,06,15,15,15,11
Package,"rorbin",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"rorbin.q",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"rorbin.q.radarview",1,1,1,1,6,0,6,0,,,,,6,0,7,,4,,110,52,110,,0,20,3,87,,1019,141,842,281,457,36,,,,484,660,280,380,,,,,,12,12,12,1,,,4,,,,0,04,174,169,185,110
Public Class,"rorbin.q.radarview.ApplicationTest",1,1,1,1,3,0,3,0,1,0,0,0,,0,0,,,,1,0,1,1,0,0,0,1,,7,0,4,2,1,3,,,,1,3,2,1,,,,,,1,1,1,1,,2,0,,0,0,0,75,1,1,1,1
Public Constructor,"rorbin.q.radarview.ApplicationTest.ApplicationTest",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Class,"rorbin.q.radarview.ExampleUnitTest",1,1,1,1,3,0,3,0,1,0,0,0,,0,0,,,,1,0,1,1,0,0,0,1,,8,0,5,3,1,3,,,,1,3,2,1,,,,,,1,1,1,1,,1,0,,0,0,0,60,1,1,1,1
Public Method,"rorbin.q.radarview.ExampleUnitTest.addition_isCorrect",,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Class,"rorbin.q.radarview.RadarData",1,1,1,1,3,0,3,0,1,1,1,0,,0,0,,,,21,8,21,21,0,1,0,20,,109,21,84,30,31,4,,,,40,63,31,32,,,,,,2,2,2,1,,1,1,,85,69,0,05,22,22,22,21
Public Constructor,"rorbin.q.radarview.RadarData.RadarData",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Constructor,"rorbin.q.radarview.RadarData.RadarData",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Constructor,"rorbin.q.radarview.RadarData.RadarData",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Constructor,"rorbin.q.radarview.RadarData.RadarData",,,,,,,,,,,,,,,,,,,,,,,,,,,6,10,0,10,1,8,0,9,1,0,8,9,1,8,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"rorbin.q.radarview.RadarData.getColor",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"rorbin.q.radarview.RadarData.getLabel",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"rorbin.q.radarview.RadarData.getLineWidth",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"rorbin.q.radarview.RadarData.getValue",,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"rorbin.q.radarview.RadarData.getValueText",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"rorbin.q.radarview.RadarData.getValueTextSize",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"rorbin.q.radarview.RadarData.getVauleTextColor",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Private Method,"rorbin.q.radarview.RadarData.initValueText",,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,0,6,1,3,0,5,2,0,4,6,2,4,2,2,2,1,0,,,,,0,,1,0,,,0,00,2,2,2,1
Public Method,"rorbin.q.radarview.RadarData.isValueTextEnable",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"rorbin.q.radarview.RadarData.setColor",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"rorbin.q.radarview.RadarData.setLabel",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"rorbin.q.radarview.RadarData.setLineWidth",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"rorbin.q.radarview.RadarData.setValue",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,1,2,0,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"rorbin.q.radarview.RadarData.setValueText",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"rorbin.q.radarview.RadarData.setValueTextEnable",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"rorbin.q.radarview.RadarData.setValueTextSize",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"rorbin.q.radarview.RadarData.setVauleTextColor",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Class,"rorbin.q.radarview.RadarView",1,1,1,1,7,0,7,0,1,5,5,0,,0,7,,,,83,44,83,83,0,19,3,61,,844,106,712,211,424,26,,,,407,556,210,346,,,,,,12,12,12,1,,2,4,,94,90,0,04,143,138,154,83
Private Class,"rorbin.q.radarview.RadarView.GestureListener",2,2,2,1,9,0,9,0,1,2,2,0,,0,0,,,,3,0,3,3,0,0,0,3,,36,3,33,10,20,0,,,,14,21,6,15,,,,,,3,3,3,1,,2,1,,0,0,0,00,6,6,6,3
Public Method,"rorbin.q.radarview.RadarView.GestureListener.onDown",,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,0,6,1,3,0,3,2,0,2,4,1,3,2,2,2,1,0,,,,,0,,1,0,,,0,00,2,2,2,1
Public Method,"rorbin.q.radarview.RadarView.GestureListener.onFling",,,,,,,,,,,,,,,,,,,,,,,,,,,6,13,0,13,1,10,0,8,3,0,6,9,1,8,3,3,3,1,1,,,,,0,,1,0,,,0,00,3,3,3,1
Public Method,"rorbin.q.radarview.RadarView.GestureListener.onScroll",,,,,,,,,,,,,,,,,,,,,,,,,,,6,9,0,9,4,7,0,7,1,0,6,7,3,4,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Constructor,"rorbin.q.radarview.RadarView.RadarView",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Constructor,"rorbin.q.radarview.RadarView.RadarView",,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Constructor,"rorbin.q.radarview.RadarView.RadarView",,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,0,6,1,4,0,4,1,0,4,5,1,4,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"rorbin.q.radarview.RadarView.addData",,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,0,5,1,3,0,3,1,0,3,4,1,3,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
