Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AmountGenerator.java",1,1,1,1,4,0,4,0,,,,,1,0,0,5,,5,4,4,4,,0,0,1,3,,44,7,37,19,15,0,,,,21,28,18,10,,,,,,3,3,3,1,,,2,,,,0,00,7,7,7,5
File,"BooleanGenerator.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,1,1,,0,0,0,1,,15,4,11,8,2,0,,,,6,8,7,1,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"Country.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,1,0,,0,0,0,0,,246,1,245,244,240,0,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"CreditCardItem.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,4,0,,0,0,0,0,,12,3,9,8,0,0,,,,7,8,8,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"CreditCardRow.java",1,1,1,1,4,0,4,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,23,4,19,13,5,0,,,,12,15,12,3,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
File,"DataContext.java",1,1,1,1,3,0,3,0,,,,,1,0,2,5,,5,5,1,5,,2,0,0,3,,36,9,27,16,10,0,,,,15,21,16,5,,,,,,1,1,1,1,,,0,,,,0,00,5,5,5,5
File,"DateGenerator.java",1,1,1,1,3,0,3,0,,,,,1,0,1,5,,5,4,3,4,,0,0,1,3,,35,7,28,17,8,0,,,,16,21,15,6,,,,,,1,1,1,1,,,0,,,,0,00,5,5,5,5
File,"DoubleAltitudeGenerator.java",1,1,1,1,2,0,2,0,,,,,1,0,0,3,,3,2,1,2,,0,0,1,1,,21,5,16,11,3,0,,,,8,11,9,2,,,,,,1,1,1,1,,,0,,,,0,00,3,3,3,3
File,"DoubleLatitudeGenerator.java",1,1,1,1,2,0,2,0,,,,,1,0,0,3,,3,2,1,2,,0,0,1,1,,21,5,16,11,3,0,,,,8,11,9,2,,,,,,1,1,1,1,,,0,,,,0,00,3,3,3,3
File,"DoubleLongitudeGenerator.java",1,1,1,1,2,0,2,0,,,,,1,0,0,3,,3,2,1,2,,0,0,1,1,,21,5,16,11,3,0,,,,8,11,9,2,,,,,,1,1,1,1,,,0,,,,0,00,3,3,3,3
