Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ApkLibraryInstaller.java",4,4,5,3,28,2,21,4,,,,,2,0,2,6,,6,6,2,6,,0,4,0,2,,216,24,152,48,92,40,,,,72,104,41,63,,,,,,10,10,12,8,,,4,,,,0,26,28,28,32,21
File,"ApkLibraryInstallerTest.java",2,2,2,1,13,1,12,0,,,,,1,0,0,3,,3,3,1,3,,0,1,0,2,,86,12,59,35,28,15,,,,39,47,32,15,,,,,,4,4,4,1,,,3,,,,0,25,6,6,6,3
File,"ApkLibraryInstallerWithSplitsTest.java",1,1,1,1,12,1,10,0,,,,,1,0,0,5,,5,5,6,5,,0,1,0,4,,115,25,90,49,42,0,,,,62,72,42,30,,,,,,4,4,4,1,,,3,,,,0,00,8,8,8,5
File,"App.java",1,1,1,1,4,0,4,0,,,,,1,0,1,1,,1,1,0,1,,0,0,0,1,,14,3,11,7,2,0,,,,6,8,6,2,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"Dynamic32Structure.java",2,2,2,1,9,1,8,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,32,3,14,8,5,15,,,,9,11,7,4,,,,,,2,2,2,1,,,0,,,,1,07,2,2,2,1
File,"Dynamic64Structure.java",2,2,2,1,9,1,8,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,32,3,14,8,5,15,,,,9,11,7,4,,,,,,2,2,2,1,,,0,,,,1,07,2,2,2,1
File,"Elf.java",0,0,0,0,0,0,0,0,,,,,5,0,8,0,,3,3,16,3,,0,0,0,3,,64,9,40,35,8,24,,,,29,34,34,0,,,,,,0,0,0,0,,,0,,,,0,60,0,0,0,0
File,"Elf32Header.java",1,1,1,1,6,0,6,0,,,,,1,0,0,4,,4,4,1,4,,0,0,0,4,,57,8,34,15,15,15,,,,20,25,11,14,,,,,,2,2,2,1,,,0,,,,0,44,5,5,5,4
File,"Elf64Header.java",1,1,1,1,6,0,6,0,,,,,1,0,0,4,,4,4,1,4,,0,0,0,4,,57,8,34,15,15,15,,,,20,25,11,14,,,,,,2,2,2,1,,,0,,,,0,44,5,5,5,4
File,"ElfParser.java",2,2,3,1,13,1,10,1,,,,,1,0,0,11,,11,11,2,11,,0,1,6,4,,193,27,138,50,80,29,,,,80,111,51,60,,,,,,11,11,11,4,,,3,,,,0,21,31,31,33,18
File,"ElfParserTest.java",1,1,1,1,4,0,4,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,23,5,18,11,4,0,,,,9,13,9,4,,,,,,2,2,2,1,,,1,,,,0,00,3,3,3,2
File,"ExampleUnitTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,15,3,9,6,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,33,1,1,1,1
File,"MainActivity.java",1,1,1,1,18,1,17,0,,,,,9,0,0,13,,13,13,4,13,,0,2,2,9,,166,19,147,41,95,0,,,,73,100,50,50,,,,,,5,5,5,3,,,2,,,,0,00,23,23,23,15
File,"MissingLibraryException.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,22,1,6,3,1,15,,,,2,4,3,1,,,,,,1,1,1,1,,,0,,,,2,50,1,1,1,1
File,"Native.java",0,0,0,0,0,0,0,0,,,,,1,1,0,0,,1,0,0,1,,0,0,0,1,,5,1,4,3,0,0,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"Program32Header.java",2,2,2,1,11,1,10,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,34,3,16,9,7,15,,,,11,13,8,5,,,,,,2,2,2,1,,,0,,,,0,94,2,2,2,1
File,"Program64Header.java",2,2,2,1,11,1,10,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,34,3,16,9,7,15,,,,11,13,8,5,,,,,,2,2,2,1,,,0,,,,0,94,2,2,2,1
File,"ReLinker.java",1,1,1,1,3,0,3,0,,,,,5,7,0,8,,17,10,0,17,,9,1,0,7,,86,14,52,33,7,20,,,,19,32,25,7,,,,,,1,1,1,1,,,0,,,,0,38,8,8,8,8
