Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ApplicationTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,13,2,8,5,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"BaseFileDownload.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,0,0,0,1,,14,3,6,5,0,5,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,0,83,0,0,0,0
File,"BaseFileUpload.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,0,0,0,1,,15,4,6,5,0,5,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,0,83,0,0,0,0
File,"CrashHandler.java",2,2,2,1,16,0,13,3,,,,,2,1,2,8,,8,7,4,8,,0,4,0,4,,179,14,130,53,79,35,,,,80,103,55,48,,,,,,6,6,6,1,,,3,,,,0,27,21,21,22,8
File,"DiseaseDetail.java",1,1,1,1,3,0,3,0,,,,,1,0,0,5,,5,5,2,5,,0,0,0,5,,38,6,24,10,8,8,,,,8,14,9,5,,,,,,1,1,1,1,,,0,,,,0,33,5,5,5,5
File,"DiseaseDetailPost.java",1,1,1,1,3,0,3,0,,,,,1,0,0,3,,3,3,2,3,,0,0,0,3,,34,8,20,12,4,6,,,,10,14,10,4,,,,,,1,1,1,1,,,0,,,,0,30,3,3,3,3
File,"ExampleUnitTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,15,3,9,6,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,33,1,1,1,1
File,"FileDownloadEntity.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,25,6,13,8,2,6,,,,6,9,7,2,,,,,,1,1,1,1,,,0,,,,0,46,2,2,2,2
File,"FileRequestBody.java",1,1,1,1,9,0,6,2,,,,,2,0,0,6,,6,6,5,6,,0,1,0,5,,88,12,50,21,20,26,,,,27,36,21,15,,,,,,2,2,2,1,,,1,,,,0,52,8,8,8,6
File,"FileResponseBody.java",1,1,1,1,6,0,5,0,,,,,2,0,0,6,,6,6,4,6,,0,1,0,5,,70,13,46,22,17,11,,,,25,33,21,12,,,,,,2,2,2,1,,,1,,,,0,24,8,8,8,6
File,"FileUploadEntity.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,2,2,,0,0,0,2,,29,7,17,11,3,5,,,,10,13,10,3,,,,,,1,1,1,1,,,0,,,,0,29,2,2,2,2
File,"HHProgressAlertDialog.java",1,1,1,1,8,0,7,0,,,,,3,0,0,9,,9,9,6,9,,0,1,2,6,,96,15,64,24,30,17,,,,32,43,25,18,,,,,,2,2,2,1,,,1,,,,0,27,10,10,10,9
File,"HttpResultFunc.java",2,2,2,1,6,0,6,0,,,,,1,0,0,1,,3,3,0,3,,0,0,0,3,,31,8,18,12,3,5,,,,11,14,11,3,,,,,,2,2,2,1,,,1,,,,0,28,2,2,2,1
File,"MainActivity.java",2,1,2,1,19,1,18,0,,,,,6,0,0,11,,11,11,7,11,,0,0,1,10,,180,20,160,54,103,0,,,,97,116,60,56,,,,,,7,4,7,1,,,2,,,,0,00,22,18,22,11
File,"MyApp.java",1,1,1,1,5,0,5,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,18,3,11,7,3,4,,,,6,8,6,2,,,,,,1,1,1,1,,,0,,,,0,36,1,1,1,1
File,"OptAnimationLoader.java",5,5,5,2,23,3,19,0,,,,,1,3,0,3,,3,0,0,3,,0,2,0,1,,95,18,76,31,43,1,,,,41,56,26,30,,,,,,10,10,12,3,,,3,,,,0,01,15,15,17,7
File,"ProgressCancelListener.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,9,1,4,3,0,4,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,1,00,0,0,0,0
File,"ProgressSubscriber.java",2,2,2,1,7,0,6,1,,,,,1,0,0,9,,9,9,4,9,,0,3,0,6,,108,15,75,28,31,18,,,,33,52,24,28,,,,,,4,4,4,1,,,2,,,,0,24,18,18,18,9
File,"ProgressWheel.java",2,2,2,1,14,1,9,3,,,,,4,0,2,41,,42,42,36,42,,1,8,4,29,,760,123,461,141,300,176,,,,279,362,139,223,,,,,,10,10,10,1,,,2,,,,0,38,84,84,85,41
File,"ResponseResult.java",1,1,1,1,3,0,3,0,,,,,1,0,0,7,,7,7,3,7,,0,0,0,7,,56,8,32,13,11,16,,,,11,19,12,7,,,,,,1,1,1,1,,,0,,,,0,50,7,7,7,7
File,"ResultErrorException.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,14,3,6,3,1,5,,,,2,4,3,1,,,,,,1,1,1,1,,,0,,,,0,83,1,1,1,1
File,"RetrofitCallback.java",1,1,1,1,4,0,4,0,,,,,1,0,0,2,,3,3,0,3,,0,0,0,3,,25,4,16,9,4,5,,,,7,11,8,3,,,,,,2,2,2,1,,,1,,,,0,31,3,3,3,2
File,"RetrofitFileUtils.java",1,1,1,1,8,0,7,1,,,,,2,4,1,6,,6,2,0,6,,0,3,0,3,,77,11,51,27,29,15,,,,27,34,26,8,,,,,,1,1,1,1,,,0,,,,0,29,6,6,6,6
File,"RetrofitService.java",0,0,0,0,0,0,0,0,,,,,1,0,1,0,,3,3,0,3,,3,0,0,0,,45,9,30,29,1,6,,,,23,24,24,0,,,,,,0,0,0,0,,,0,,,,0,20,0,0,0,0
File,"RetrofitUtils.java",1,1,1,1,11,0,9,1,,,,,1,1,3,3,,3,2,2,3,,0,1,0,2,,61,7,45,19,22,9,,,,21,28,19,9,,,,,,3,3,3,1,,,2,,,,0,20,5,5,5,3
File,"ToastUtils.java",1,1,1,1,3,0,3,0,,,,,1,0,0,13,,13,13,2,13,,0,0,0,13,,72,15,51,19,17,9,,,,20,35,19,16,,,,,,2,2,2,1,,,1,,,,0,18,14,14,14,13
File,"User.java",1,1,1,1,3,0,3,0,,,,,2,0,0,22,,22,22,10,22,,0,0,0,22,,142,28,95,37,34,19,,,,33,57,35,22,,,,,,1,1,1,1,,,0,,,,0,20,22,22,22,22
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.mph",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.mph.retrofitutils",1,1,1,1,7,0,6,0,,,,,16,0,1,,10,,51,24,51,,3,0,1,47,,539,92,387,179,160,60,,,,201,267,171,96,,,,,,7,4,7,1,,,2,,,,0,16,59,55,59,48
