Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"BackslashSyntax.java",1,1,1,1,9,0,5,4,,,,,1,0,0,5,,5,5,0,5,,4,0,0,1,,91,8,41,18,17,42,,,,22,28,11,17,,,,,,1,1,1,1,,,0,,,,1,02,5,5,5,5
File,"BlockQuote.java",0,0,0,0,0,0,0,0,,,,,2,0,0,0,,0,0,3,0,,0,0,0,0,,32,3,11,9,4,18,,,,8,9,8,1,,,,,,0,0,0,0,,,0,,,,1,64,0,0,0,0
File,"BlockQuotesController.java",5,5,12,3,29,1,28,0,,,,,1,0,0,3,,3,3,1,3,,0,0,0,3,,105,10,92,26,66,3,,,,47,64,26,38,,,,,,8,8,18,5,,,4,,,,0,03,16,16,36,10
File,"BlockQuotesLive.java",4,4,5,2,16,0,16,0,,,,,1,0,0,3,,3,3,0,3,,0,1,0,2,,90,7,61,23,32,22,,,,31,45,21,24,,,,,,7,7,8,4,,,1,,,,0,36,13,13,15,6
File,"BlockQuotesSyntax.java",3,3,3,2,14,0,12,2,,,,,1,1,1,3,,3,2,1,3,,0,1,0,2,,92,8,56,29,27,29,,,,34,45,28,17,,,,,,4,4,4,4,,,2,,,,0,52,9,9,9,8
File,"BlockQuotesSyntax.java",2,2,2,1,10,0,9,1,,,,,1,1,0,6,,6,5,3,6,,4,1,0,1,,122,15,78,33,35,30,,,,41,56,27,29,,,,,,6,6,7,4,,,2,,,,0,38,14,14,16,11
File,"BoldSyntax.java",2,2,2,1,7,0,7,0,,,,,2,0,2,6,,6,6,3,6,,4,0,0,2,,103,11,69,31,29,23,,,,32,46,24,22,,,,,,3,3,3,1,,,1,,,,0,33,13,13,14,6
File,"BoldSyntax.java",1,1,1,1,4,0,4,0,,,,,1,0,2,3,,3,3,0,3,,0,0,0,3,,59,7,29,20,8,23,,,,18,22,17,5,,,,,,1,1,1,1,,,0,,,,0,79,3,3,3,3
File,"CenterAlignController.java",2,2,3,1,13,0,13,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,41,5,33,14,19,3,,,,18,24,14,10,,,,,,4,4,5,1,,,2,,,,0,09,5,5,6,2
File,"CenterAlignLive.java",2,2,3,1,8,0,8,0,,,,,1,0,0,4,,4,4,0,4,,0,2,0,2,,74,8,46,18,19,20,,,,22,33,16,17,,,,,,5,5,6,4,,,1,,,,0,43,10,10,13,7
File,"CenterAlignSyntax.java",1,1,1,1,3,0,3,0,,,,,1,0,0,5,,5,5,0,5,,4,0,0,1,,66,8,35,22,7,23,,,,16,22,15,7,,,,,,1,1,2,1,,,0,,,,0,66,5,5,6,5
File,"CenterAlignSyntax.java",1,1,1,1,3,0,3,0,,,,,1,0,1,3,,3,3,0,3,,0,0,0,3,,54,7,24,17,4,23,,,,13,17,14,3,,,,,,1,1,1,1,,,0,,,,0,96,3,3,3,3
File,"CharacterProtector.java",2,2,2,2,13,0,9,3,,,,,1,7,6,7,,7,0,0,7,,0,2,0,5,,133,11,79,21,46,43,,,,41,62,23,39,,,,,,3,3,3,3,,,2,,,,0,54,20,20,20,19
File,"Code.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,2,0,,0,0,0,0,,26,2,6,5,2,18,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,3,00,0,0,0,0
File,"CodeBlockLive.java",4,4,5,2,16,0,16,0,,,,,1,0,0,3,,3,3,0,3,,0,1,0,2,,91,8,61,23,32,22,,,,31,45,21,24,,,,,,7,7,8,4,,,1,,,,0,36,13,13,15,6
File,"CodeBlockSyntax.java",3,3,3,1,14,0,14,0,,,,,1,0,0,4,,4,4,4,4,,0,0,0,4,,121,9,88,43,43,28,,,,59,72,41,31,,,,,,11,11,11,1,,,3,,,,0,32,15,15,15,4
File,"CodeBlockSyntax.java",5,5,5,1,19,0,19,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,87,7,56,30,29,25,,,,39,47,30,17,,,,,,9,9,9,1,,,3,,,,0,45,10,10,10,2
File,"CodeController.java",5,5,6,3,25,0,24,0,,,,,1,0,0,4,,4,4,1,4,,0,1,0,3,,118,9,106,31,80,4,,,,64,82,31,51,,,,,,9,9,12,6,,,3,,,,0,04,20,20,25,12
File,"CodeLive.java",3,3,3,2,10,0,10,0,,,,,1,0,0,3,,3,3,0,3,,0,1,0,2,,72,7,45,19,20,20,,,,23,33,17,16,,,,,,5,5,6,4,,,1,,,,0,44,9,9,11,6
File,"CodeSyntax.java",1,1,2,1,11,0,8,2,,,,,1,0,1,7,,7,7,1,7,,4,2,0,1,,135,13,83,38,43,41,,,,45,58,30,28,,,,,,4,4,4,4,,,2,,,,0,49,13,13,14,12
File,"CodeSyntax.java",1,1,1,1,3,0,3,0,,,,,1,0,1,3,,3,3,1,3,,0,0,0,3,,56,8,26,18,5,22,,,,15,19,15,4,,,,,,1,1,1,1,,,0,,,,0,85,3,3,3,3
File,"CombinePrefixPattern.java",7,7,9,2,35,2,28,6,,,,,2,3,1,7,,7,4,2,7,,0,0,4,3,,303,28,219,56,152,66,,,,114,165,62,103,,,,,,22,22,25,5,,,4,,,,0,30,55,55,69,14
File,"CompareActivity.java",1,1,1,1,12,0,11,0,,,,,2,0,0,10,,10,10,7,10,,0,2,1,7,,174,18,149,47,92,7,,,,68,82,44,38,,,,,,2,2,2,1,,,1,,,,0,05,13,13,13,10
File,"Const.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,2,0,,0,0,0,0,,1430,6,1419,8,1413,133,,,,5,6,6,0,,,,,,0,0,0,0,,,0,,,,0,09,0,0,0,0
File,"DefaultLoader.java",2,1,2,1,9,0,8,0,,,,,1,4,0,8,,8,4,1,8,,0,6,0,2,,128,12,91,46,48,25,,,,50,63,39,24,,,,,,7,3,7,1,,,2,,,,0,27,17,12,17,8
File,"EditActivity.java",2,2,2,1,15,0,14,0,,,,,4,0,0,15,,15,15,10,15,,0,2,3,10,,294,27,255,76,160,12,,,,123,160,73,87,,,,,,9,9,9,4,,,3,,,,0,05,36,36,37,18
File,"EditFactory.java",1,1,1,1,4,0,4,0,,,,,1,1,0,22,,22,21,2,22,,0,2,0,20,,181,27,128,57,46,26,,,,52,82,39,43,,,,,,6,6,8,3,,,1,,,,0,20,27,27,29,24
File,"EditLive.java",1,1,1,1,2,0,2,0,,,,,1,0,0,3,,3,3,2,3,,0,0,0,3,,45,7,18,12,3,20,,,,7,11,9,2,,,,,,1,1,1,1,,,0,,,,1,11,3,3,3,3
File,"EditScrollView.java",1,1,1,1,3,0,3,0,,,,,2,0,0,5,,6,6,1,6,,1,0,1,4,,40,8,29,14,7,3,,,,12,20,13,7,,,,,,2,2,2,1,,,1,,,,0,10,6,6,6,5
File,"EditSyntaxAdapter.java",1,1,1,1,2,0,2,0,,,,,1,0,0,3,,3,3,0,3,,1,0,0,2,,44,6,17,11,2,21,,,,6,10,8,2,,,,,,1,1,1,1,,,0,,,,1,24,3,3,3,3
File,"EditToken.java",1,1,1,1,6,0,3,2,,,,,1,0,0,6,,6,6,4,6,,0,0,0,6,,73,8,30,14,9,35,,,,16,23,14,9,,,,,,1,1,1,1,,,0,,,,1,17,6,6,6,6
File,"FootnoteSyntax.java",2,2,3,2,15,0,11,3,,,,,1,4,1,9,,9,5,0,9,,4,4,0,1,,193,13,127,48,75,57,,,,66,90,41,49,,,,,,8,8,11,7,,,4,,,,0,45,24,24,27,22
File,"ForwardingDrawable.java",1,1,1,1,4,0,3,0,,,,,1,1,0,22,,22,21,1,22,,0,2,3,17,,161,24,111,49,40,26,,,,44,69,32,37,,,,,,2,2,4,1,,,1,,,,0,23,24,24,28,22
File,"Header.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,6,0,,0,0,0,0,,28,1,9,8,6,18,,,,7,8,8,0,,,,,,0,0,0,0,,,0,,,,2,00,0,0,0,0
File,"HeaderController.java",6,4,6,1,21,0,21,0,,,,,1,0,0,5,,5,5,2,5,,0,3,0,2,,128,9,116,19,85,5,,,,62,85,19,66,,,,,,13,13,13,3,,,2,,,,0,04,32,22,32,7
File,"HeaderLive.java",4,4,5,2,18,0,17,0,,,,,1,0,0,3,,3,3,0,3,,0,1,0,2,,95,7,66,24,36,22,,,,33,48,22,26,,,,,,8,8,9,4,,,2,,,,0,33,14,14,16,6
File,"HeaderSyntax.java",3,3,4,1,18,0,14,5,,,,,1,2,2,8,,8,6,6,8,,0,6,0,2,,224,13,141,52,84,72,,,,77,107,51,56,,,,,,7,7,13,7,,,2,,,,0,51,28,28,39,14
File,"HeaderSyntax.java",2,2,3,1,9,0,9,0,,,,,1,0,0,5,,5,5,6,5,,4,0,0,1,,108,9,67,27,34,32,,,,36,48,20,28,,,,,,7,7,7,1,,,1,,,,0,48,11,11,16,5
File,"HorizontalEditScrollView.java",3,1,3,1,15,0,15,0,,,,,1,0,0,8,,8,8,12,8,,0,0,1,7,,183,13,167,48,107,3,,,,117,129,43,86,,,,,,22,3,22,1,,,1,,,,0,02,30,11,30,8
File,"HorizontalRule.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,2,0,,0,0,0,0,,26,2,6,5,2,18,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,3,00,0,0,0,0
File,"HorizontalRulesController.java",4,4,5,1,16,0,16,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,49,5,41,20,25,3,,,,26,33,20,13,,,,,,7,7,9,1,,,2,,,,0,07,8,8,10,2
File,"HorizontalRulesLive.java",3,3,3,1,12,0,11,0,,,,,1,0,0,8,,8,8,1,8,,0,4,0,4,,155,13,113,46,60,29,,,,56,84,46,38,,,,,,7,7,9,4,,,3,,,,0,26,26,26,31,11
File,"HorizontalRulesSyntax.java",1,1,1,1,4,0,4,0,,,,,1,0,2,3,,3,3,2,3,,0,0,0,3,,68,8,32,21,10,28,,,,21,25,18,7,,,,,,1,1,1,1,,,0,,,,0,88,3,3,3,3
File,"HorizontalRulesSyntax.java",2,2,2,2,7,0,6,1,,,,,1,1,0,6,,6,5,2,6,,4,1,0,1,,101,10,56,24,21,35,,,,26,39,19,20,,,,,,5,5,5,5,,,2,,,,0,62,12,12,12,12
File,"HyperLinkSyntax.java",3,3,4,2,19,0,16,3,,,,,1,2,2,9,,9,7,3,9,,4,4,0,1,,245,14,180,71,113,53,,,,116,149,67,82,,,,,,8,8,14,7,,,4,,,,0,29,33,33,43,23
File,"IEditLive.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,4,4,0,4,,4,0,0,0,,66,7,9,8,0,50,,,,7,8,8,0,,,,,,0,0,0,0,,,0,,,,5,56,0,0,0,0
File,"ISpecialChain.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,3,3,0,3,,3,0,0,0,,61,5,8,7,0,48,,,,5,6,6,0,,,,,,0,0,0,0,,,0,,,,6,00,0,0,0,0
File,"Image.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,2,1,,0,0,0,1,,34,5,11,8,2,18,,,,7,9,8,1,,,,,,1,1,1,1,,,0,,,,1,64,1,1,1,1
